                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.284941             0.998782             0.996349             0.992709             0.981845             0.963842             0.924706             0.850989 
                 0.4             0.563658             0.997612             0.992859              0.98576             0.964672             0.929925             0.855259             0.716475 
                 0.6             0.830414             0.996529             0.989629             0.979348             0.948943             0.899111             0.793192             0.598801 
                 0.8              1.08038             0.995554             0.986728             0.973601             0.934946             0.871895             0.739221             0.498582 
                   1              1.30993             0.994698             0.984186             0.968579              0.92279             0.848425             0.693343             0.415065 
                 1.2               1.5168             0.993961             0.982004             0.964281             0.912442             0.828579             0.655052             0.346632 
                 1.4              1.70008             0.993338             0.980165             0.960666             0.903782             0.812066             0.623559             0.291294 
                 1.6              1.86006              0.99282             0.978638              0.95767             0.896633             0.798506             0.597965              0.24701 
                 1.8              1.99801             0.992397             0.977386             0.955215             0.890802             0.787494             0.577368             0.211864 
                   2              2.11597             0.992051             0.976369             0.953226             0.886087             0.778629             0.560919             0.184146 
                 2.2              2.21643             0.991771             0.975548             0.951621             0.882296             0.771526             0.547832             0.162347 
                 2.4              2.30218             0.991546             0.974884             0.950325             0.879244             0.765828             0.537401             0.145157 
                 2.6              2.37607             0.991361             0.974342              0.94927              0.87676             0.761206              0.52899             0.131432 
                 2.8              2.44092             0.991207             0.973889             0.948388             0.874689             0.757361             0.522025             0.120167 
                   3              2.49932             0.991071             0.973492             0.947616              0.87288             0.754014             0.515988              0.11047 
                 3.2              2.55352             0.990946             0.973125             0.946903             0.871208              0.75092             0.510422             0.101565 
                 3.4               2.6054             0.990821             0.972761             0.946197             0.869556             0.747864              0.50493            0.0927921 
                 3.6              2.65653             0.990692             0.972382             0.945457             0.867825             0.744664             0.499178            0.0835977 
                 3.8              2.70864             0.990549             0.971963             0.944643             0.865922             0.741146             0.492861            0.0734933 
                   4              2.76282              0.99039             0.971494             0.943729             0.863788             0.737195              0.48577            0.0621567 
                 4.2              2.81811             0.990213             0.970975             0.942721              0.86143             0.732834             0.477952             0.049669 
                 4.4               2.8722             0.990024             0.970423              0.94165             0.858926             0.728208             0.469669            0.0364607 
                 4.6              2.92234             0.989835             0.969869              0.94057             0.856409             0.723558              0.46136             0.023244 
                 4.8              2.96601             0.989656             0.969345             0.939552             0.854039             0.719184             0.453566            0.0108922 
                   5              3.00152             0.989499             0.968889             0.938665              0.85197             0.715374             0.446794          0.000208243 
                 5.2              3.02836             0.989374             0.968521             0.937951             0.850312             0.712321             0.441384          -0.00828625 
                 5.4              3.04714             0.989282             0.968251             0.937427             0.849094             0.710084             0.437429           -0.0144679 
                 5.6              3.05923             0.989219              0.96807             0.937077             0.848281             0.708591             0.434795           -0.0185743 
                 5.8              3.06637             0.989182              0.96796             0.936863             0.847788             0.707685             0.433199           -0.0210544 
                   6              3.07021             0.989162               0.9679             0.936746             0.847517             0.707189             0.432324           -0.0224124 
                 6.2              3.07208             0.989151             0.967871             0.936689             0.847383             0.706943             0.431891           -0.0230832 
                 6.4              3.07291             0.989147             0.967857             0.936664             0.847323             0.706834               0.4317           -0.0233804 
                 6.6              3.07323             0.989145             0.967852             0.936653             0.847299             0.706791             0.431624           -0.0234978 
                 6.8              3.07334             0.989144              0.96785              0.93665             0.847291             0.706776             0.431597           -0.0235389 
                   7              3.07338             0.989144              0.96785             0.936649             0.847289             0.706771             0.431589            -0.023551 
                 7.2              3.07339             0.989144              0.96785             0.936648             0.847288              0.70677             0.431587           -0.0235543 
                 7.4              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235553 
                 7.6              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235553 
                 7.8              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                   8              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 8.2              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 8.4              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 8.6              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 8.8              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                   9              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 9.2              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 9.4              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 9.6              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                 9.8              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
                  10              3.07339             0.989144             0.967849             0.936648             0.847288             0.706769             0.431586           -0.0235554 
