            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2       0.724222       0.996886       0.990683       0.981411       0.953923       0.908563        0.81135       0.630445
           0.4        1.43213        0.99393       0.981888       0.963939       0.911334       0.825336        0.64564       0.319573
           0.6        2.10869       0.991212       0.973834       0.948005       0.873099       0.751682       0.503931      0.0650673
           0.8        2.74131       0.988777       0.966656       0.933854       0.839621       0.688029       0.385291      -0.139175
             1        3.32057       0.986649       0.960405       0.921563       0.810901       0.634035       0.287489      -0.301008
           1.2        3.84072       0.984822       0.955056       0.911074       0.786651       0.588881       0.207704      -0.428374
           1.4        4.29953       0.983279       0.950547       0.902248       0.766426       0.551514       0.143068      -0.528358
           1.6        4.69801        0.98199       0.946788       0.894899       0.749713       0.520834      0.0909272      -0.606862
           1.8        5.03971       0.980921       0.943679       0.888829       0.735989       0.495769       0.048947      -0.668641
             2        5.32999        0.98004       0.941119       0.883833        0.72475       0.475327      0.0151199      -0.717474
           2.2        5.57537       0.979312       0.939008       0.879717       0.715527       0.458611     -0.0122646      -0.756364
           2.4        5.78296       0.978708       0.937254       0.876297       0.707894       0.444816      -0.034667      -0.787716
           2.6        5.96005       0.978194       0.935769       0.873406       0.701458       0.433221     -0.0533473      -0.813492
           2.8        6.11372       0.977747       0.934474       0.870885       0.695865       0.423174     -0.0694027      -0.835313
             3        6.25055       0.977339       0.933295       0.868593       0.690792       0.414096      -0.083783      -0.854522
           3.2        6.37631        0.97695       0.932167       0.866405       0.685966       0.405494     -0.0972789      -0.872193
           3.4        6.49574       0.976558        0.93104        0.86422       0.681164       0.396973      -0.110513      -0.889135
           3.6        6.61279       0.976152        0.92987       0.861956       0.676205       0.388216      -0.123967      -0.905943
           3.8         6.7315       0.975718       0.928618       0.859537       0.670925       0.378936      -0.138061        -0.9231
             4        6.85446       0.975245        0.92726       0.856918       0.665228       0.368973       -0.15302      -0.940817
           4.2        6.97946       0.974741       0.925814       0.854132       0.659193       0.358474      -0.168584      -0.958697
           4.4        7.10133       0.974224       0.924331       0.851282       0.653042       0.347836      -0.184136      -0.975945
           4.6         7.2139        0.97372       0.922888       0.848512       0.647095       0.337614      -0.198856      -0.991626
           4.8        7.31163       0.973258       0.921569       0.845988       0.641698       0.328401      -0.211914       -1.00493
             5        7.39095       0.972866       0.920448       0.843848       0.637145       0.320677      -0.222693       -1.01542
           5.2        7.45088       0.972557       0.919569       0.842173       0.633591       0.314687      -0.230935       -1.02309
           5.4        7.49289       0.972335       0.918935       0.840965        0.63104       0.310406      -0.236756        -1.0283
           5.6        7.52014       0.972187       0.918515       0.840168       0.629357       0.307594      -0.240546       -1.03159
           5.8        7.53642       0.972097       0.918261       0.839685        0.62834         0.3059      -0.242814       -1.03351
             6        7.54535       0.972048        0.91812       0.839419        0.62778       0.304967      -0.244058       -1.03455
           6.2        7.54982       0.972023       0.918049       0.839284       0.627498       0.304499      -0.244682       -1.03507
           6.4        7.55185       0.972012       0.918017       0.839223       0.627369       0.304285      -0.244965        -1.0353
           6.6        7.55269       0.972007       0.918004       0.839198       0.627317       0.304198      -0.245081        -1.0354
           6.8        7.55299       0.972005          0.918       0.839189       0.627298       0.304166      -0.245124       -1.03543
             7        7.55309       0.972005       0.917998       0.839186       0.627291       0.304156      -0.245138       -1.03544
           7.2        7.55312       0.972005       0.917998       0.839185       0.627289       0.304153      -0.245142       -1.03545
           7.4        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           7.6        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           7.8        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
             8        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           8.2        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           8.4        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           8.6        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           8.8        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
             9        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           9.2        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           9.4        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           9.6        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
           9.8        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
            10        7.55313       0.972005       0.917998       0.839185       0.627289       0.304152      -0.245143       -1.03545
