            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.10264       0.995679       0.987084       0.974252        0.93639       0.874148       0.742131       0.498968 
           0.4        2.18358       0.991566       0.974885       0.950084       0.878061       0.761211       0.522079      0.0973059 
           0.6        3.22267       0.987768       0.963691       0.928029       0.825996       0.662447        0.33893      -0.215659 
           0.8        4.20256       0.984344       0.953662       0.908371        0.78051       0.577769       0.189114      -0.454932 
             1        5.10982       0.981318       0.944847       0.891164       0.741395       0.506157      0.0677981      -0.636076 
           1.2        5.93554       0.978684        0.93721       0.876305       0.708139       0.446141     -0.0299735      -0.772834 
           1.4        6.67543       0.976419       0.930665       0.863606       0.680092       0.396143      -0.108663      -0.876284 
           1.6        7.32953       0.974487       0.925104       0.852836       0.656574       0.354647      -0.172043      -0.954931 
           1.8        7.90144       0.972852       0.920404       0.843752       0.636925        0.32027      -0.223211       -1.01515 
             2        8.39743        0.97147       0.916445       0.836108       0.620519       0.291773      -0.264697       -1.06167 
           2.2        8.82549       0.970302       0.913104       0.829667       0.606788       0.268068      -0.298551       -1.09798 
           2.4        9.19453        0.96931        0.91027       0.824207       0.595218       0.248201       -0.32644       -1.12666 
           2.6        9.51382       0.968457       0.907837       0.819527       0.585352       0.231349      -0.349722       -1.14961 
           2.8        9.79254       0.967711       0.905715       0.815446       0.576791       0.216802       -0.36951       -1.16827 
             3        10.0396       0.967043       0.903815       0.811802       0.569182       0.203943      -0.386727       -1.18374 
           3.2        10.2632       0.966428       0.902066       0.808449       0.562214       0.192238      -0.402144       -1.19685 
           3.4        10.4708        0.96584       0.900401       0.805265       0.555624       0.181237      -0.416384       -1.20822 
           3.6        10.6686       0.965264       0.898768       0.802145       0.549202       0.170581      -0.429937       -1.21832 
           3.8        10.8615       0.964683       0.897125       0.799013       0.542783       0.159998       -0.44316       -1.22745 
             4        11.0533       0.964087       0.895441       0.795809       0.536246       0.149285      -0.456305        -1.2358 
           4.2        11.2475       0.963465        0.89369       0.792483        0.52949       0.138284      -0.469561       -1.24348 
           4.4        11.4472       0.962812       0.891852       0.788996        0.52244       0.126871      -0.483063       -1.25052 
           4.6        11.6514        0.96213       0.889937        0.78537       0.515144       0.115131       -0.49669       -1.25683 
           4.8        11.8528       0.961442       0.888004       0.781713       0.507824       0.103429      -0.509989        -1.2621 
             5        12.0423       0.960774       0.886131        0.77818       0.500788      0.0922642      -0.522391       -1.26609 
           5.2        12.2105        0.96016       0.884413       0.774941       0.494375       0.082166      -0.533334       -1.26871 
           5.4        12.3508       0.959628       0.882928       0.772153       0.488878      0.0735803      -0.542407       -1.27012 
           5.6        12.4602       0.959199       0.881733       0.769912       0.484483      0.0667657      -0.549439       -1.27062 
           5.8        12.5396       0.958879        0.88084       0.768242       0.481222      0.0617424      -0.554515        -1.2706 
             6        12.5932       0.958658       0.880226       0.767094       0.478986      0.0583161      -0.557918       -1.27039 
           6.2        12.6266       0.958518       0.879837       0.766367       0.477574      0.0561617      -0.560032       -1.27016 
           6.4        12.6457       0.958437       0.879611       0.765946       0.476756      0.0549167      -0.561243       -1.26998 
           6.6        12.6558       0.958393       0.879491       0.765722       0.476323      0.0542588       -0.56188       -1.26988 
           6.8        12.6607       0.958372       0.879433       0.765614       0.476115      0.0539415      -0.562185       -1.26983 
             7        12.6628       0.958363       0.879408       0.765568       0.476024      0.0538032      -0.562319       -1.26981 
           7.2        12.6636        0.95836       0.879398       0.765549       0.475987      0.0537487      -0.562372        -1.2698 
           7.4        12.6639       0.958358       0.879394       0.765543       0.475975      0.0537294       -0.56239        -1.2698 
           7.6         12.664       0.958358       0.879393       0.765541       0.475971       0.053724      -0.562396       -1.26979 
           7.8         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
             8         12.664       0.958358       0.879393        0.76554        0.47597      0.0537221      -0.562397       -1.26979 
           8.2         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           8.4         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           8.6         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           8.8         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
             9         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           9.2         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           9.4         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           9.6         12.664       0.958358       0.879393        0.76554        0.47597      0.0537222      -0.562397       -1.26979 
           9.8         12.664           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            10         12.664           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
