                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.00968             0.990639             0.972188             0.944936             0.866249             0.740345             0.487447            0.0518796 
                 0.4              10.0097             0.981707              0.94616             0.894441             0.750549             0.529529             0.125697            -0.491327 
                 0.6              14.9903             0.973349             0.922254             0.848978             0.652199             0.361921            -0.119174            -0.757097 
                 0.8              19.9415             0.965581             0.900424             0.808277             0.568968             0.229758              -0.2787            -0.845214 
                   1              24.8534             0.958331             0.880399             0.771662              0.49811             0.125409            -0.377773            -0.824441 
                 1.2              29.7158             0.951504             0.861846             0.738389             0.437126            0.0426198             -0.43419            -0.738919 
                 1.4              34.5185             0.945008             0.844476             0.707836              0.38407           -0.0232629            -0.460189            -0.616617 
                 1.6              39.2512             0.938779              0.82808              0.67955             0.337538           -0.0755936            -0.464268            -0.475744 
                 1.8              43.9038             0.932777             0.812522             0.653223             0.296525            -0.116834             -0.45255            -0.328587 
                   2               48.466             0.926979             0.797716             0.628648             0.260293            -0.148861            -0.429614            -0.183594 
                 2.2              52.9276             0.921372             0.783607             0.605684             0.228271            -0.173176            -0.398991           -0.0465295 
                 2.4              57.2781             0.915951             0.770167             0.584229             0.199999            -0.191026            -0.363446            0.0788361 
                 2.6              61.5071             0.910718             0.757376             0.564205             0.175085            -0.203475            -0.325151             0.190265 
                 2.8              65.6043             0.905677             0.745222             0.545549             0.153185            -0.211444            -0.285797             0.286695 
                   3              69.5601             0.900831             0.733701             0.528202              0.13399             -0.21574            -0.246676             0.367976 
                 3.2              73.3658             0.896186             0.722804             0.512112             0.117219            -0.217066             -0.20875             0.434624 
                 3.4              77.0142             0.891748             0.712526             0.497223              0.10261            -0.216033            -0.172695             0.487638 
                 3.6              80.5002             0.887518             0.702856             0.483477            0.0899222            -0.213169            -0.138952             0.528321 
                 3.8               83.821               0.8835             0.693776             0.470809            0.0789286            -0.208922            -0.107774             0.558136 
                   4              86.9752              0.87969             0.685271             0.459157            0.0694229             -0.20367            -0.079269             0.578588 
