            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        1.22528       0.995484       0.986508       0.973108         0.9336       0.868704       0.731295       0.478674
           0.4        2.43568       0.991161       0.973689       0.947723       0.872448       0.750504       0.501898      0.0621438
           0.6        3.61693       0.987118       0.961785       0.924297       0.817313       0.646249       0.309982       -0.26236
           0.8        4.75596       0.983402       0.950919       0.903024       0.768322       0.555483       0.151254       -0.51132
             1        5.84145       0.980026       0.941103       0.883898       0.725133       0.476947      0.0204623      -0.701027
           1.2        6.86431       0.976979        0.93229       0.866793       0.687192       0.409108     -0.0874308      -0.845362
           1.4        7.81799       0.974241       0.924408       0.851546       0.653908       0.350495      -0.176722      -0.955233
           1.6        8.69861       0.971789       0.917379       0.837989       0.624735       0.299816      -0.250885       -1.03893
           1.8        9.50497       0.969601       0.911127       0.825961       0.599183        0.25597      -0.312698       -1.10271
             2        10.2381       0.967653        0.90558       0.815311       0.576811       0.218002      -0.364403       -1.15133
           2.2        10.9012       0.965922       0.900662       0.805887        0.55722        0.18508      -0.407825       -1.18841
           2.4        11.4984       0.964383       0.896303       0.797546       0.540038       0.156468      -0.444457       -1.21669
           2.6        12.0349       0.963013       0.892432       0.790153       0.524931        0.13152      -0.475524       -1.23823
           2.8        12.5165       0.961792       0.888985        0.78358         0.5116       0.109674       -0.50202       -1.25459
             3        12.9488       0.960696       0.885903       0.777709       0.499777      0.0904423      -0.524764       -1.26692
           3.2        13.3378       0.959709       0.883128       0.772434       0.489219      0.0733948      -0.544429       -1.27609
           3.4        13.6896       0.958811       0.880608        0.76765       0.479706      0.0581457       -0.56159       -1.28276
           3.6        14.0101       0.957984       0.878293       0.763263       0.471032      0.0443449      -0.576734       -1.28741
           3.8        14.3055       0.957212       0.876135        0.75918       0.463007       0.031673      -0.590282       -1.29041
             4        14.5812       0.956479        0.87409       0.755319        0.45546       0.019849      -0.602594       -1.29203
           4.2        14.8424       0.955773       0.872122       0.751608       0.448247     0.00863337      -0.613963       -1.29246
           4.4        15.0933        0.95508       0.870196       0.747985       0.441244    -0.00217147       -0.62462       -1.29183
           4.6        15.3372       0.954394       0.868289       0.744403       0.434356     -0.0127198      -0.634738       -1.29021
           4.8        15.5769       0.953704       0.866377       0.740821       0.427504     -0.0231326      -0.644445       -1.28763
             5        15.8153       0.953007       0.864446       0.737204       0.420623     -0.0335156      -0.653853       -1.28413
           5.2        16.0542       0.952296       0.862482       0.733536       0.413682     -0.0439147      -0.663006        -1.2797
           5.4          16.29       0.951584       0.860515       0.729868       0.406773     -0.0541884      -0.671781       -1.27443
           5.6        16.5147        0.95089       0.858605        0.72631       0.400111     -0.0640189      -0.679903       -1.26847
           5.8        16.7189       0.950244       0.856826       0.723003       0.393952     -0.0730331      -0.687092       -1.26213
             6        16.8945       0.949672       0.855252       0.720083       0.388544     -0.0808792      -0.693119       -1.25584
           6.2        17.0366       0.949194       0.853942       0.717658       0.384075     -0.0873083      -0.697873       -1.25007
           6.4        17.1441       0.948822       0.852923       0.715775       0.380622     -0.0922364      -0.701389       -1.24523
           6.6          17.22       0.948553       0.852187       0.714418       0.378141     -0.0957539      -0.703823       -1.24152
           6.8        17.2696       0.948373       0.851695       0.713513       0.376493     -0.0980778      -0.705391       -1.23893
             7        17.2998       0.948263       0.851394       0.712959       0.375484     -0.0994955       -0.70633        -1.2373
           7.2        17.3166         0.9482       0.851224       0.712647       0.374916      -0.100291       -0.70685       -1.23636
           7.4        17.3251       0.948168       0.851136       0.712485       0.374624      -0.100699      -0.707115       -1.23587
           7.6        17.3292       0.948153       0.851095        0.71241       0.374488       -0.10089      -0.707238       -1.23564
           7.8        17.3308       0.948147       0.851078       0.712378        0.37443      -0.100971       -0.70729       -1.23555
             8        17.3315       0.948144       0.851071       0.712366       0.374408      -0.101001       -0.70731       -1.23551
           8.2        17.3317       0.948144       0.851069       0.712362         0.3744      -0.101012      -0.707316        -1.2355
           8.4        17.3318       0.948144       0.851068       0.712361       0.374398      -0.101015      -0.707319       -1.23549
           8.6        17.3318       0.948143       0.851068        0.71236       0.374397      -0.101016      -0.707319       -1.23549
           8.8        17.3318       0.948144       0.851068        0.71236       0.374397      -0.101016      -0.707319       -1.23549
             9        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
           9.2        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
           9.4        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
           9.6        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
           9.8        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
            10        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          10.2        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          10.4        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          10.6        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          10.8        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
            11        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          11.2        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          11.4        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          11.6        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
          11.8        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
            12        17.3318       0.948143       0.851068       0.712361       0.374397      -0.101016      -0.707319       -1.23549
