                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.725794             0.997596             0.992806             0.985652             0.964405             0.929384             0.854129             0.714198 
                 0.4              1.44493             0.995265             0.985869             0.971897             0.930796             0.863796             0.723132             0.468519 
                 0.6              2.15092             0.993056             0.979327             0.958997             0.899743             0.804181             0.608044             0.262431 
                 0.8              2.83765             0.990998             0.973261               0.9471              0.87151             0.750844              0.50849             0.092611 
                   1               3.4995             0.989101             0.967695             0.936245             0.846096             0.703579             0.423148           -0.0457922 
                 1.2              4.13158             0.987364             0.962624             0.926401             0.823341             0.661894             0.350272            -0.157956 
                 1.4              4.72981             0.985781             0.958017             0.917505             0.803021             0.625201             0.288099            -0.248621 
                 1.6               5.2911             0.984342             0.953848             0.909488              0.78491             0.592945             0.235062              -0.3218 
                 1.8              5.81343             0.983039             0.950085             0.902287             0.768806             0.564634             0.189831            -0.380768 
                   2              6.29584             0.981865             0.946707             0.895843              0.75453             0.539839             0.151294            -0.428186 
                 2.2              6.73844             0.980812             0.943683             0.890099             0.741916             0.518179             0.118495            -0.466228 
                 2.4              7.14226              0.97987             0.940989                0.885             0.730804             0.499302            0.0906096            -0.496683 
                 2.6              7.50911             0.979033             0.938596             0.880486              0.72104             0.482882            0.0669115            -0.521028 
                 2.8              7.84129             0.978288             0.936477               0.8765             0.712474              0.46861             0.046765            -0.540471 
                   3              8.14141             0.977629             0.934603             0.872985             0.704966             0.456209            0.0296192            -0.555998 
                 3.2              8.41213             0.977046             0.932948             0.869888             0.698387              0.44543            0.0150041            -0.568401 
                 3.4              8.65604             0.976531             0.931487              0.86716              0.69262             0.436054            0.0025246            -0.578312 
                 3.6              8.87555             0.976074             0.930197             0.864758             0.687567             0.427896          -0.00814641            -0.586231 
                 3.8              9.07285             0.975672              0.92906             0.862645             0.683141             0.420797           -0.0172808            -0.592551 
                   4              9.25001             0.975316             0.928059              0.86079             0.679266             0.414622           -0.0251045            -0.597587 
                 4.2              9.40898             0.975004             0.927178             0.859159             0.675875             0.409249           -0.0318114            -0.601589 
                 4.4              9.55169             0.974729             0.926403             0.857726             0.672904             0.404567           -0.0375742             -0.60477 
                 4.6              9.68001             0.974484             0.925717             0.856463             0.670293             0.400473           -0.0425482            -0.607306 
                 4.8              9.79579             0.974268             0.925109             0.855342             0.667982             0.396867            -0.046879            -0.609349 
                   5              9.90077             0.974073             0.924564             0.854338             0.665916             0.393655           -0.0506996            -0.611035 
                 5.2              9.99653             0.973897             0.924067             0.853426             0.664044              0.39075           -0.0541314            -0.612476 
                 5.4              10.0846             0.973733             0.923609             0.852583             0.662314             0.388069           -0.0572874            -0.613774 
                 5.6              10.1665             0.973578             0.923175             0.851786             0.660678             0.385535           -0.0602694             -0.61501 
                 5.8              10.2437             0.973428             0.922755             0.851013             0.659093             0.383076           -0.0631714            -0.616254 
                   6               10.317             0.973281             0.922343             0.850253             0.657535             0.380655           -0.0660428            -0.617547 
                 6.2              10.3851             0.973138             0.921941             0.849515              0.65602             0.378294             -0.06886            -0.618891 
                 6.4              10.4465             0.973003             0.921564             0.848818             0.654589             0.376056           -0.0715487            -0.620248 
                 6.6              10.4994             0.972882             0.921222             0.848187             0.653292             0.374022           -0.0740071            -0.621555 
                 6.8              10.5426             0.972778              0.92093             0.847647              0.65218             0.372275           -0.0761312            -0.622735 
                   7              10.5757             0.972694             0.920695             0.847213             0.651288             0.370871           -0.0778473            -0.623718 
                 7.2              10.5994             0.972632             0.920521             0.846891             0.650624             0.369823           -0.0791317            -0.624471 
                 7.4              10.6152             0.972589             0.920401             0.846669             0.650167             0.369102           -0.0800174            -0.624999 
                 7.6              10.6249             0.972563             0.920326              0.84653             0.649879             0.368647           -0.0805776            -0.625337 
                 7.8              10.6304             0.972547             0.920282             0.846449             0.649714             0.368385           -0.0808997            -0.625532 
                   8              10.6332             0.972539              0.92026             0.846407             0.649627             0.368248           -0.0810691            -0.625636 
                 8.2              10.6345             0.972535             0.920249             0.846387             0.649586             0.368183           -0.0811487            -0.625685 
                 8.4              10.6351             0.972534             0.920244             0.846379             0.649569             0.368156           -0.0811824            -0.625706 
                 8.6              10.6353             0.972533             0.920243             0.846376             0.649562             0.368145           -0.0811955            -0.625714 
                 8.8              10.6354             0.972533             0.920242             0.846374              0.64956             0.368142           -0.0812001            -0.625716 
                   9              10.6354             0.972533             0.920242             0.846374              0.64956              0.36814           -0.0812014            -0.625717 
                 9.2              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
                 9.4              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
                 9.6              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
                 9.8              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
                  10              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
                10.2              10.6354             0.972533             0.920242             0.846374             0.649559              0.36814           -0.0812015            -0.625717 
