            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.57602       0.994667       0.984076       0.968286       0.921883       0.845903       0.686244       0.395115 
           0.4         3.1377       0.989555       0.968955       0.938414       0.850444       0.708843        0.42461     -0.0694252 
           0.6        4.67106       0.984773       0.954931       0.910917       0.786505       0.589447       0.211103      -0.415182 
           0.8        6.16286       0.980368       0.942117       0.885959       0.729973       0.486537       0.038581       -0.66752 
             1        7.60099       0.976342        0.93049       0.863444       0.680184       0.398019      -0.100772       -0.84963 
           1.2        8.97475       0.972673       0.919959       0.843155       0.636292       0.321662      -0.213866      -0.979899 
           1.4        10.2752       0.969332       0.910424       0.824867       0.597512       0.255542      -0.306173       -1.07193 
           1.6        11.4953       0.966295       0.901801       0.808391       0.563208       0.198129      -0.381851       -1.13562 
           1.8        12.6303       0.963541       0.894022       0.793578       0.532875       0.148223      -0.444078        -1.1783 
             2        13.6777       0.961057       0.887031       0.780306       0.506102       0.104859      -0.495343        -1.2055 
           2.2        14.6373       0.958826       0.880776       0.768459       0.482526       0.067211      -0.537648       -1.22148 
           2.4        15.5108       0.956832       0.875202       0.757925       0.461814      0.0345528      -0.572637       -1.22946 
           2.6        16.3019       0.955056       0.870253       0.748588        0.44365      0.0062331      -0.601662       -1.23191 
           2.8        17.0154       0.953479       0.865869        0.74033       0.427738     -0.0183335      -0.625831       -1.23064 
             3        17.6566       0.952082       0.861993        0.73304       0.413802     -0.0396616      -0.646046       -1.22695 
           3.2        18.2313       0.950847       0.858571       0.726608         0.4016     -0.0581974      -0.663027        -1.2218 
           3.4        18.7449       0.949756       0.855556       0.720943       0.390919     -0.0743182      -0.677351       -1.21584 
           3.6        19.2025       0.948794       0.852901       0.715961       0.381578     -0.0883366      -0.689471       -1.20955 
           3.8        19.6087       0.947949       0.850573       0.711592       0.373423      -0.100516      -0.699746       -1.20326 
             4        19.9679        0.94721       0.848535        0.70777       0.366322      -0.111079      -0.708473       -1.19719 
           4.2        20.2845       0.946565       0.846759       0.704438       0.360152      -0.120227      -0.715892       -1.19149 
           4.4         20.563       0.946003       0.845212       0.701538       0.354799      -0.128141       -0.72221       -1.18623 
           4.6        20.8077       0.945514       0.843865       0.699012       0.350149      -0.134996      -0.727602       -1.18142 
           4.8        21.0231       0.945085       0.842688       0.696806       0.346097      -0.140956      -0.732225       -1.17702 
             5        21.2134       0.944708       0.841651       0.694864       0.342539      -0.146174      -0.736211       -1.17296 
           5.2        21.3824        0.94437       0.840727       0.693133       0.339377       -0.15079      -0.739671       -1.16915 
           5.4        21.5337       0.944066       0.839891        0.69157       0.336528      -0.154929        -0.7427       -1.16548 
           5.6        21.6705       0.943784        0.83912       0.690133       0.333919      -0.158697      -0.745381       -1.16188 
           5.8        21.7959       0.943521       0.838398       0.688784       0.331482      -0.162194      -0.747791       -1.15826 
             6        21.9116       0.943269       0.837712        0.68751       0.329185      -0.165464      -0.749964       -1.15459 
           6.2        22.0166       0.943035       0.837071       0.686319       0.327047      -0.168485      -0.751895       -1.15093 
           6.4        22.1091        0.94282       0.836486       0.685237       0.325113      -0.171195      -0.753556       -1.14742 
           6.6        22.1869       0.942633       0.835979       0.684299        0.32344      -0.173521      -0.754925        -1.1442 
           6.8        22.2488       0.942479       0.835561       0.683529       0.322073      -0.175409      -0.755994       -1.14145 
             7        22.2951       0.942362       0.835241       0.682938       0.321028      -0.176845      -0.756782       -1.13927 
           7.2        22.3274       0.942278       0.835013       0.682519       0.320286      -0.177859      -0.757323       -1.13767 
           7.4        22.3482       0.942223       0.834864       0.682243       0.319801      -0.178522       -0.75767       -1.13662 
           7.6        22.3607       0.942189       0.834773       0.682078       0.319508      -0.178919      -0.757876       -1.13597 
           7.8        22.3675       0.942171       0.834723       0.681987       0.319347      -0.179138      -0.757989       -1.13562 
             8        22.3709       0.942162       0.834698       0.681941       0.319266      -0.179248      -0.758046       -1.13544 
           8.2        22.3724       0.942158       0.834687        0.68192        0.31923      -0.179297      -0.758071       -1.13536 
           8.4        22.3731       0.942156       0.834683       0.681912       0.319215      -0.179318      -0.758082       -1.13532 
           8.6        22.3733       0.942156       0.834681       0.681909       0.319209      -0.179325      -0.758085       -1.13531 
           8.8        22.3734       0.942155        0.83468       0.681908       0.319207      -0.179328      -0.758087       -1.13531 
             9        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179328      -0.758087       -1.13531 
           9.2        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179328      -0.758087       -1.13531 
           9.4        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179329      -0.758087       -1.13531 
           9.6        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179329      -0.758087       -1.13531 
           9.8        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179329      -0.758087       -1.13531 
            10        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179329      -0.758087       -1.13531 
          10.2        22.3734       0.942155        0.83468       0.681907       0.319207      -0.179329      -0.758087       -1.13531 
