            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.96098       0.993446       0.980453       0.961104       0.904517       0.812226       0.620352        0.27426 
           0.4        3.90406       0.987165       0.961935       0.924623        0.81815       0.648122       0.314221       -0.25259 
           0.6        5.81181       0.981281       0.944765       0.891105       0.741516       0.507363      0.0726499      -0.619703 
           0.8        7.66773       0.975845       0.929062       0.860706       0.674247       0.387753      -0.115926      -0.866629 
             1        9.45672       0.970864         0.9148       0.833295       0.615397       0.286271      -0.262818       -1.02677 
           1.2        11.1655       0.966313       0.901874       0.808612       0.563856       0.199916      -0.377523       -1.12541 
           1.4         12.783       0.962162       0.890169       0.786383       0.518613       0.126136      -0.467389       -1.18071 
           1.6        14.3007       0.958383        0.87958       0.766374       0.478833      0.0628949       -0.53794       -1.20556 
           1.8        15.7127       0.954949        0.87002       0.748393       0.443845     0.00859068      -0.593355       -1.20927 
             2        17.0161       0.951845       0.861418       0.732276       0.413095     -0.0380767      -0.636857       -1.19866 
           2.2        18.2107       0.949047       0.853703        0.71787       0.386104     -0.0781935      -0.670981       -1.17874 
           2.4         19.299       0.946536       0.846806       0.705033       0.362436      -0.112694      -0.697731       -1.15315 
           2.6        20.2855       0.944286       0.840654       0.693614       0.341689      -0.142397      -0.718703        -1.1245 
           2.8        21.1763       0.942275       0.835172       0.683464       0.323496      -0.168011      -0.735146       -1.09457 
             3        21.9782       0.940477        0.83029       0.674447       0.307524      -0.190148      -0.748042       -1.06454 
           3.2        22.6983       0.938872        0.82594       0.666431       0.293483      -0.209327      -0.758149       -1.03519 
           3.4        23.3436       0.937437       0.822064       0.659301       0.281121      -0.225976      -0.766051       -1.00698 
           3.6        23.9204       0.936157        0.81861       0.652959       0.270228      -0.240451      -0.772197       -0.98022 
           3.8        24.4346       0.935012        0.81553       0.647322       0.260627      -0.253043      -0.776943      -0.955081 
             4        24.8918       0.933991       0.812789       0.642311       0.252165      -0.264001      -0.780566      -0.931647 
           4.2        25.2976       0.933079       0.810347       0.637858       0.244699      -0.273543       -0.78328      -0.909892 
           4.4        25.6573       0.932263       0.808166        0.63389         0.2381      -0.281865      -0.785251      -0.889704 
           4.6        25.9765       0.931528       0.806207       0.630338       0.232236      -0.289153      -0.786606      -0.870896 
           4.8        26.2605       0.930865       0.804437       0.627134       0.226991      -0.295573      -0.787453      -0.853263 
             5        26.5146       0.930256       0.802823       0.624223       0.222258      -0.301268      -0.787873      -0.836613 
           5.2        26.7434       0.929693       0.801332       0.621545        0.21794      -0.306375       -0.78794      -0.820748 
           5.4        26.9513       0.929168       0.799941       0.619054       0.213952      -0.311008      -0.787715      -0.805476 
           5.6        27.1424       0.928667       0.798622       0.616698       0.210212      -0.315277      -0.787235      -0.790586 
           5.8        27.3207       0.928187       0.797353        0.61444        0.20665      -0.319273      -0.786541      -0.775907 
             6        27.4881       0.927719       0.796127       0.612265       0.203241      -0.323039      -0.785669      -0.761424 
           6.2        27.6429       0.927274       0.794958       0.610199       0.200022      -0.326536      -0.784652       -0.74737 
           6.4        27.7814       0.926862        0.79388       0.608294       0.197075      -0.329688      -0.783554      -0.734172 
           6.6        27.9001       0.926497       0.792925       0.606615       0.194491      -0.332412      -0.782456      -0.722346 
           6.8        27.9967       0.926192       0.792127       0.605214       0.192347       -0.33464      -0.781451      -0.712367 
             7        28.0706       0.925952       0.791503       0.604119       0.190677       -0.33636      -0.780615      -0.704506 
           7.2        28.1236       0.925778       0.791048       0.603322       0.189467      -0.337599      -0.779982      -0.698765 
           7.4        28.1591       0.925661       0.790743       0.602786       0.188652      -0.338431      -0.779554      -0.694906 
           7.6        28.1811       0.925588       0.790553       0.602453       0.188145      -0.338949       -0.77929      -0.692519 
           7.8        28.1936       0.925546       0.790444       0.602263       0.187857      -0.339244       -0.77914       -0.69116 
             8        28.2002       0.925524       0.790387       0.602164       0.187706        -0.3394      -0.779064      -0.690455 
           8.2        28.2034       0.925514        0.79036       0.602117       0.187634      -0.339474      -0.779029      -0.690122 
           8.4        28.2048       0.925509       0.790348       0.602096       0.187602      -0.339507      -0.779016       -0.68998 
           8.6        28.2054       0.925507       0.790344       0.602088        0.18759       -0.33952       -0.77901      -0.689923 
           8.8        28.2056       0.925507       0.790342       0.602085       0.187586      -0.339524      -0.779008      -0.689904 
             9        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339525      -0.779007      -0.689898 
           9.2        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339525      -0.779007      -0.689896 
           9.4        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
           9.6        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
           9.8        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
            10        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
          10.2        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
          10.4        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
          10.6        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
          10.8        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
            11        28.2056       0.925507       0.790342       0.602084       0.187584      -0.339526      -0.779007      -0.689896 
          11.2        28.2056           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.4        28.2056           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.6        28.2056           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.8        28.2056           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            12        28.2056           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
