            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2       0.103466       0.999466       0.998397       0.996794       0.991997       0.984016       0.966537       0.933313 
           0.4       0.203627       0.998966       0.996901       0.993806        0.98456       0.969201       0.935704       0.872298 
           0.6       0.297607       0.998518       0.995559       0.991128       0.977912        0.95599       0.908358       0.818523 
           0.8       0.383325        0.99813         0.9944       0.988816       0.972183       0.944628       0.884949       0.772743 
             1       0.459752       0.997806       0.993429       0.986879       0.967394       0.935145       0.865487       0.734856 
           1.2       0.527031       0.997539       0.992631       0.985288       0.963466       0.927377       0.849594       0.704029 
           1.4       0.586434       0.997318       0.991974       0.983979       0.960239          0.921       0.836582       0.678857 
           1.6       0.640142        0.99713       0.991413       0.982861       0.957485       0.915563       0.825508       0.657478 
           1.8       0.690894       0.996955       0.990889       0.981818       0.954917       0.910496       0.815205       0.637631 
             2       0.741519       0.996769       0.990334       0.980711       0.952198       0.905139        0.80434       0.616769 
           2.2        0.79447       0.996548       0.989674         0.9794       0.948978       0.898808       0.791548       0.592336 
           2.4       0.851499       0.996271       0.988849       0.977757       0.944957       0.890921       0.775696        0.56228 
           2.6       0.913652       0.995924       0.987816       0.975707        0.93995       0.881137       0.756154       0.525561 
           2.8       0.981327       0.995505        0.98657       0.973238       0.933937       0.869433       0.732943       0.482377 
             3        1.05313       0.995026       0.985145       0.970413       0.927081       0.856131       0.706759       0.434159 
           3.2        1.12566       0.994502       0.983594       0.967354       0.919676       0.841829       0.678817       0.383255 
           3.4        1.19454       0.993968       0.982011       0.964228       0.912142        0.82733       0.650724       0.332651 
           3.6        1.25567       0.993457       0.980496       0.961239       0.904965       0.813573       0.624301       0.285634 
           3.8        1.30614          0.993       0.979147       0.958587       0.898617       0.801463       0.601238       0.245123 
             4        1.34476       0.992627       0.978045       0.956418       0.893446       0.791638       0.582685       0.212936 
           4.2        1.37208       0.992346       0.977217       0.954797       0.889587       0.784335       0.568991       0.189446 
           4.4        1.38987       0.992155       0.976653       0.953691       0.886962       0.779381       0.559753        0.17374 
           4.6        1.40051       0.992035       0.976302       0.953005       0.885336       0.776321        0.55407       0.164146 
           4.8        1.40631       0.991969       0.976106       0.952618       0.884423       0.774605       0.550895        0.15881 
             5         1.4092       0.991934       0.976004       0.952423       0.883961       0.773737       0.549289        0.15612 
           5.2        1.41049       0.991918       0.975959       0.952334       0.883749        0.77334       0.548556       0.154895 
           5.4        1.41101       0.991913       0.975941       0.952297       0.883663       0.773177       0.548258       0.154396 
           5.6         1.4112       0.991911       0.975935       0.952282       0.883631       0.773118       0.548149       0.154214 
           5.8        1.41126        0.99191       0.975932       0.952279       0.883621         0.7731       0.548114       0.154156 
             6        1.41128        0.99191       0.975932       0.952278       0.883619       0.773094       0.548104        0.15414 
           6.2        1.41128       0.991909       0.975931       0.952278       0.883618       0.773093       0.548102       0.154136 
           6.4        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           6.6        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           6.8        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
             7        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           7.2        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           7.4        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           7.6        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
           7.8        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
             8        1.41128       0.991909       0.975931       0.952278       0.883617       0.773093       0.548102       0.154135 
