                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              0.13754             0.999302             0.997908              0.99582             0.989573             0.979194             0.956517             0.913549 
                 0.4              0.27092              0.99865             0.995959             0.991932             0.979915             0.960017              0.91681             0.835538 
                 0.6             0.396536             0.998061             0.994197             0.988423             0.971236             0.942853             0.881589             0.767118 
                 0.8             0.511815             0.997544             0.992651             0.985347             0.963656             0.927927             0.851207             0.708719 
                   1             0.615559               0.9971             0.991327             0.982716             0.957192             0.915243             0.825574              0.65992 
                 1.2             0.708093             0.996722             0.990204             0.980489             0.951737             0.904572             0.804149             0.619483 
                 1.4               0.7912             0.996399             0.989241             0.978579             0.947071             0.895474             0.785983             0.585455 
                 1.6             0.867832             0.996107             0.988372             0.976858             0.942873             0.887308             0.769759             0.555269 
                 1.8             0.941626             0.995817             0.987511             0.975155             0.938729             0.879261             0.753842              0.52583 
                   2               1.0163             0.995496             0.986558              0.97327             0.934152             0.870397             0.736386              0.49374 
                 2.2              1.09506             0.995109             0.985409                0.971             0.928654             0.859776             0.715593              0.45582 
                 2.4              1.18018             0.994627             0.983978             0.968178             0.921838             0.846665             0.690119              0.40987 
                 2.6              1.27305             0.994032             0.982219             0.964713             0.913505             0.830712             0.659421             0.355269 
                 2.8               1.3744             0.993325             0.980129             0.960607             0.903677             0.812005             0.623828             0.292998 
                   3              1.48238             0.992521             0.977761             0.955965             0.892621             0.791088             0.584517             0.225444 
                 3.2              1.59206             0.991654             0.975209             0.950973             0.880798             0.768852             0.543269             0.155886 
                 3.4              1.69718             0.990768             0.972603             0.945886             0.868817             0.746461              0.50229            0.0881602 
                 3.6              1.79169             0.989915             0.970099             0.941006             0.857393              0.72525             0.464019            0.0262751 
                 3.8              1.87109             0.989147             0.967852             0.936637             0.847222             0.706495             0.430666           -0.0264177 
                   4              1.93323             0.988507             0.965983             0.933012             0.838828             0.691119             0.403698           -0.0680461 
                 4.2               1.9784             0.988016             0.964549             0.930239             0.832436             0.679482             0.383538           -0.0985072 
                 4.4              2.00881             0.987669             0.963541             0.928292             0.827965             0.671381             0.369641            -0.119129 
                 4.6              2.02771             0.987446             0.962892              0.92704             0.825098             0.666206             0.360832            -0.132021 
                 4.8              2.03851             0.987315             0.962511             0.926305             0.823417             0.663183             0.355711            -0.139441 
                   5              2.04416             0.987245             0.962307             0.925913             0.822521             0.661572             0.352992            -0.143354 
                 5.2              2.04685             0.987211             0.962208             0.925722             0.822086             0.660793             0.351679            -0.145234 
                 5.4              2.04802             0.987196             0.962165             0.925639             0.821896             0.660452             0.351107            -0.146051 
                 5.6              2.04847             0.987189             0.962148             0.925607             0.821822             0.660319             0.350882            -0.146371 
                 5.8              2.04862             0.987188             0.962142             0.925595             0.821796             0.660272             0.350804            -0.146482 
                   6              2.04867             0.987187              0.96214             0.925591             0.821788             0.660257              0.35078            -0.146517 
                 6.2              2.04868             0.987187              0.96214             0.925591             0.821785             0.660254             0.350774            -0.146526 
                 6.4              2.04869             0.987187             0.962139              0.92559             0.821785             0.660253             0.350772            -0.146528 
                 6.6              2.04869             0.987187              0.96214              0.92559             0.821785             0.660252             0.350772            -0.146528 
                 6.8              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                   7              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                 7.2              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                 7.4              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                 7.6              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                 7.8              2.04869             0.987187             0.962139              0.92559             0.821785             0.660252             0.350772            -0.146528 
                   8              2.04869                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
