                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2             0.724222          -0.00311397          3.19671e-05           1.2039e-06         -1.16885e-05          7.92664e-05         -0.000592836           0.00493003 
                 0.4              1.43213          -0.00606988          0.000123902         -9.35868e-06          2.13608e-05         -0.000111498          0.000688439          -0.00486018 
                 0.6              2.10869          -0.00878833           0.00025659         -9.62408e-06         -2.06852e-05           0.00013622         -0.000992262           0.00820286 
                 0.8              2.74131           -0.0112233          0.000422888           -3.307e-05          2.08098e-05         -9.79931e-05          0.000630327          -0.00468119 
                   1              3.32057           -0.0133508          0.000599044         -5.04176e-05          1.61664e-05         -7.85349e-05          0.000613194          -0.00524678 
                 1.2              3.84072           -0.0151779          0.000779058         -7.92134e-05          4.00722e-05         -0.000176704           0.00118844          -0.00920519 
                 1.4              4.29953           -0.0167209          0.000947445         -9.89308e-05          1.83764e-05         -2.67393e-05          0.000179156          -0.00145395 
                 1.6              4.69801           -0.0180101            0.0011023         -0.000120628          7.74583e-06          4.86901e-05         -0.000236304            0.0010354 
                 1.8              5.03971            -0.019079           0.00124276         -0.000149633          3.22598e-05         -4.97031e-05          0.000348629          -0.00302387 
                   2              5.32999             -0.01996           0.00136397         -0.000170494          2.81117e-05          8.86008e-06         -8.42462e-05          0.000521386 
                 2.2              5.57537           -0.0206875           0.00146984         -0.000193198          4.25952e-05         -4.16056e-05           0.00022466          -0.00175641 
                 2.4              5.78296           -0.0212923           0.00155994         -0.000208917          3.65004e-05          9.70479e-06         -7.22676e-05          0.000163869 
                 2.6              5.96005           -0.0218056            0.0016408         -0.000230227          5.87011e-05         -6.99797e-05          0.000324445          -0.00205152 
                 2.8              6.11372           -0.0222526            0.0017103         -0.000241627          4.94954e-05         -1.50646e-05          6.55684e-05         -0.000850703 
                   3              6.25055           -0.0226607           0.00177696         -0.000261332          8.01746e-05         -0.000165077           0.00101509          -0.00770974 
                 3.2              6.37631           -0.0230504           0.00183776         -0.000265188          3.34726e-05          0.000134424          -0.00105013           0.00843048 
                 3.4              6.49574           -0.0234417           0.00190335          -0.00028661          7.29725e-05         -7.95408e-05          0.000454062          -0.00376712 
                 3.6              6.61279           -0.0238477           0.00197021         -0.000302568          8.07223e-05         -9.28265e-05          0.000478994          -0.00350972 
                 3.8               6.7315            -0.024282           0.00204055         -0.000313495          6.24367e-05          2.15011e-05          -0.00019384          0.000911123 
                   4              6.85446           -0.0247545           0.00212014         -0.000332506          6.71611e-05          4.29649e-05         -0.000462002           0.00376509 
                 4.2              6.97946           -0.0252586           0.00220651         -0.000355306          8.48105e-05          -2.2688e-05         -3.60903e-05          0.000423421 
                 4.4              7.10133            -0.025776           0.00229602         -0.000377744          9.47655e-05         -3.43496e-05         -3.59266e-05          0.000901289 
                 4.6               7.2139           -0.0262801           0.00238394         -0.000399174          0.000104346         -6.61717e-05          0.000233092          -0.00160664 
                 4.8              7.31163           -0.0267416           0.00246644         -0.000421439          0.000119809         -0.000119028          0.000576108            -0.004312 
                   5              7.39095           -0.0271341           0.00253675         -0.000436164            0.0001078         -7.41343e-06         -0.000241982            0.0023169 
                 5.2              7.45088           -0.0274431           0.00259497         -0.000457194          0.000143718         -0.000184894          0.000920118            -0.006506 
                 5.4              7.49289           -0.0276648           0.00263298         -0.000455875           9.2997e-05          0.000111586         -0.000998671           0.00770779 
