                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              0.98328           -0.0036699            4.394e-05          1.02933e-06         -1.02141e-05          6.28732e-05         -0.000445207           0.00356037 
                 0.4               1.9546          -0.00718602          0.000174505          -1.9106e-05          4.88194e-05         -0.000249851           0.00155239           -0.0112763 
                 0.6              2.90245            -0.010463          0.000364551          -2.6337e-05          1.16411e-05         -2.22153e-05          -4.4258e-05           0.00163794 
                 0.8              3.81632           -0.0134644            0.0006062          -5.6505e-05          3.58798e-05         -0.000156824          0.000966524          -0.00695347 
                   1              4.68704           -0.0161788          0.000875579         -8.45191e-05          5.10385e-06          2.78169e-05         -0.000125451          0.000436837 
                 1.2              5.50724           -0.0186203           0.00116633         -0.000134107          2.61442e-05         -2.52188e-05          0.000123303         -0.000786577 
                 1.4              6.27155           -0.0208055           0.00146285         -0.000187752          3.29901e-05          1.42288e-05         -0.000196928           0.00182463 
                 1.6               6.9768            -0.022754           0.00175646         -0.000243544          2.73307e-05          0.000134907          -0.00104449           0.00837766 
                 1.8              7.62193           -0.0244854           0.00204386         -0.000312553          7.17365e-05         -2.47146e-05          1.39581e-05          4.43681e-05 
                   2               8.2078           -0.0260172           0.00231584         -0.000375209          7.99381e-05          3.53962e-05         -0.000435692           0.00356902 
                 2.2              8.73677           -0.0273695           0.00257298         -0.000443676          0.000115903         -5.33789e-05          0.000105171         -0.000631079 
                 2.4              9.21228           -0.0285599           0.00281034         -0.000505987          0.000133476         -4.80004e-05          8.40255e-05         -0.000973664 
                 2.6              9.63844           -0.0296077           0.00302958         -0.000568259          0.000159872         -7.74711e-05           0.00018988          -0.00150067 
                 2.8              10.0197           -0.0305305           0.00323053         -0.000627814          0.000185386         -9.53807e-05          0.000178964         -0.000939632 
                   3              10.3606           -0.0313444           0.00341355         -0.000683582          0.000211003         -0.000128672          0.000330293          -0.00199162 
                 3.2              10.6657           -0.0320643           0.00357819         -0.000728948          0.000207994          -2.8364e-05         -0.000261413           0.00164425 
                 3.4              10.9399           -0.0327069           0.00373174         -0.000782008          0.000248565         -0.000143066          0.000364603          -0.00259873 
                 3.6              11.1879           -0.0332843           0.00387128         -0.000826406          0.000263637         -0.000127361          0.000177513         -0.000961526 
                 3.8              11.4143           -0.0338108           0.00400093         -0.000869106          0.000282829         -0.000145636          0.000262742          -0.00174247 
                   4              11.6237           -0.0342993           0.00412321         -0.000910267           0.00030079         -0.000147776          0.000164051         -0.000542794 
                 4.2              11.8198           -0.0347608           0.00423979         -0.000949162          0.000315916         -0.000148457          0.000139227         -0.000516812 
                 4.4               12.006           -0.0352054           0.00435273         -0.000984848          0.000315983         -5.25363e-05         -0.000589534           0.00527057 
                 4.6              12.1846            -0.035641           0.00446561          -0.00102666          0.000347897         -0.000147042           1.3714e-06          0.000658543 
                 4.8              12.3577           -0.0360729            0.0045783          -0.00106893           0.00038029         -0.000237685          0.000527361          -0.00317312 
                   5              12.5271           -0.0365058           0.00469061           -0.0011063          0.000387714         -0.000192766          0.000208006         -0.000969089 
                 5.2              12.6941           -0.0369427           0.00480539           -0.0011466          0.000401828         -0.000168936         -4.87473e-05            0.0012453 
                 5.4              12.8562            -0.037377           0.00492028          -0.00118847          0.000425591         -0.000215231          0.000251086          -0.00136817 
                 5.6              13.0083           -0.0377953           0.00503106          -0.00122618           0.00042913         -0.000125631         -0.000480408           0.00474298 
                 5.8              13.1442            -0.038181           0.00513456          -0.00126543          0.000454198         -0.000180081         -0.000143027           0.00189236 
                   6              13.2588           -0.0385174           0.00522523          -0.00130041          0.000477196         -0.000224474           7.0951e-05          0.000470566 
                 6.2              13.3496           -0.0387925           0.00529897          -0.00132617          0.000479689         -0.000159895         -0.000458831           0.00486141 
                 6.4              13.4165           -0.0390017           0.00535598          -0.00135009          0.000504383         -0.000250179          0.000114125          0.000473275 
                 6.6              13.4623           -0.0391485           0.00539557          -0.00136566          0.000518346         -0.000306021          0.000529052          -0.00309324 
                 6.8              13.4913           -0.0392434           0.00542092          -0.00137363          0.000513396         -0.000246593          8.37891e-05          0.000488858 
