                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              1.22528          -0.00451568          6.85818e-05         -6.10413e-06            2.084e-05         -0.000122932          0.000850572          -0.00671771 
                 0.4              2.43568          -0.00883882          0.000259608           -1.801e-05          2.62803e-05         -0.000171764           0.00131798           -0.0113083 
                 0.6              3.61693           -0.0128822            0.0005516          -4.3114e-05           2.3071e-06          2.88988e-05         -0.000283681           0.00276575 
                 0.8              4.75596           -0.0165981          0.000919837         -9.78328e-05          4.05303e-05         -0.000167577           0.00116878          -0.00936835 
                   1              5.84145           -0.0199741           0.00133641         -0.000164797          3.66652e-05         -4.43468e-05          0.000226413          -0.00154776 
                 1.2              6.86431           -0.0230211           0.00178193         -0.000250199          4.25022e-05          4.75368e-05          -0.00041969           0.00323302 
                 1.4              7.81799            -0.025759           0.00224084         -0.000356036          8.18566e-05         -9.99476e-06           -0.0001337           0.00134687 
                 1.6              8.69861           -0.0282105           0.00269883         -0.000473255          0.000128254         -7.53223e-05          0.000221518           -0.0014213 
                 1.8              9.50497           -0.0303989           0.00314509         -0.000593258          0.000153532          2.43776e-05         -0.000593472           0.00492193 
                   2              10.2381           -0.0323471           0.00357441         -0.000724879          0.000224035         -0.000112238          0.000103061          0.000258403 
                 2.2              10.9012           -0.0340776           0.00397662         -0.000842825          0.000234382          8.35099e-05          -0.00127224            0.0103276 
                 2.4              11.4984           -0.0356175           0.00435851         -0.000978085           0.00033372         -0.000207241          0.000533822            -0.003678 
                 2.6              12.0349           -0.0369872           0.00471204          -0.00110172          0.000391724         -0.000241273          0.000512985          -0.00298717 
                 2.8              12.5165           -0.0382084           0.00503709          -0.00121191          0.000409789          -5.3762e-05         -0.000976864            0.0088832 
                   3              12.9488           -0.0393037           0.00534075          -0.00132939          0.000491317         -0.000259406          0.000314172          -0.00159863 
                 3.2              13.3378           -0.0402909           0.00562004          -0.00143075          0.000510074         -6.49986e-05          -0.00133017            0.0120541 
                 3.4              13.6896           -0.0411893           0.00588163          -0.00153602          0.000577671         -0.000187785         -0.000704889           0.00749241 
                 3.6              14.0101           -0.0420161           0.00612646          -0.00163344          0.000625584         -0.000204094         -0.000763467           0.00784257 
                 3.8              14.3055           -0.0427879           0.00635848           -0.0017275          0.000675326         -0.000245379         -0.000612737           0.00636611 
                   4              14.5812           -0.0435213           0.00658441          -0.00182782          0.000757281         -0.000438311          0.000350525          2.31626e-05 
                 4.2              14.8424           -0.0442274           0.00680128           -0.0019144          0.000784147         -0.000343352          -0.00046126           0.00631193 
                 4.4              15.0933           -0.0449198           0.00701834          -0.00200975          0.000851998         -0.000482637           0.00032296          8.86325e-05 
                 4.6              15.3372           -0.0456059           0.00723383          -0.00209904          0.000886492         -0.000425075         -0.000222403           0.00413635 
                 4.8              15.5769           -0.0462962           0.00745638          -0.00220324            0.0009728         -0.000617522          0.000717327          -0.00215076 
                   5              15.8153           -0.0469931           0.00767956          -0.00229726           0.00100871         -0.000558303          0.000213636           0.00109652 
                 5.2              16.0542           -0.0477035            0.0079121          -0.00240282           0.00107315         -0.000612955          0.000305524          0.000607389 
                 5.4                16.29           -0.0484165           0.00814904          -0.00251502           0.00115575         -0.000741123          0.000740137          -0.00143638 
                 5.6              16.5147           -0.0491096           0.00838069          -0.00262333           0.00122893         -0.000844617           0.00118991          -0.00486829 
                 5.8              16.7189           -0.0497562           0.00859812          -0.00272379           0.00128662         -0.000873369           0.00116847           -0.0049038 
                   6              16.8945           -0.0503282           0.00878948          -0.00280429           0.00129178         -0.000627132         -0.000704022           0.00956188 
                 6.2              17.0366           -0.0508065           0.00895467          -0.00289048           0.00138277         -0.000910864           0.00098971          -0.00327319 
                 6.4              17.1441            -0.051178           0.00908073          -0.00294554           0.00139398         -0.000791626          5.56536e-05           0.00383657 
                 6.6                17.22           -0.0514471           0.00917377          -0.00299188           0.00143315         -0.000888646          0.000649707          -0.00108572 
                 6.8              17.2696           -0.0516267           0.00923522          -0.00301876           0.00143602         -0.000803716         -4.92134e-05           0.00467112 
                   7              17.2998           -0.0517372           0.00927363          -0.00303783           0.00145035         -0.000825251          2.21608e-05           0.00433546 
                 7.2              17.3166           -0.0517996           0.00929561           -0.0030491           0.00145866         -0.000829363         -3.81936e-05           0.00519264 
                 7.4              17.3251           -0.0518315            0.0093065          -0.00305441           0.00146507         -0.000864818          0.000271924           0.00224721 
                 7.6              17.3292           -0.0518466           0.00931193          -0.00305754           0.00146915         -0.000879194          0.000358748           0.00158329 
                 7.8              17.3308           -0.0518532           0.00931472          -0.00306058           0.00147891         -0.000931826          0.000714716          -0.00121533 
                   8              17.3315           -0.0518556           0.00931554          -0.00306096           0.00147863         -0.000925085          0.000638357         -0.000384628 
