            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2       0.725794      -0.002404        1.4e-05    4.54548e-06   -1.94548e-05    9.58839e-05   -0.000551808     0.00363414
           0.4        1.44493      -0.004735        5.9e-05    2.46544e-06   -2.36544e-05     0.00015828    -0.00116616     0.00954052
           0.6        2.15092      -0.006944       0.000128   -6.98358e-06    1.88358e-05    -0.00012738    0.000964224    -0.00809566
           0.8        2.83765      -0.009002       0.000213   -8.89556e-06    6.95556e-06   -5.52879e-05    0.000450711       -0.00388
             1         3.4995      -0.010899        0.00031   -8.81554e-06   -3.28446e-05    0.000212561     -0.0015271       0.012382
           1.2        4.13158      -0.012636       0.000417   -2.64106e-05    2.21056e-05   -0.000138342      0.0010391    -0.00866642
           1.4        4.72981      -0.014219       0.000524   -2.93487e-05   -9.51315e-06    4.78919e-05    -0.00017085     0.00018114
           1.6         5.2911      -0.015658       0.000633   -3.93514e-05   -1.54859e-05    0.000112683   -0.000739325     0.00543024
           1.8        5.81343      -0.016961       0.000741   -5.49281e-05    5.28145e-06    1.16647e-05    -0.00012651     0.00120024
             2        6.29584      -0.018135       0.000844   -6.85502e-05    2.05018e-05   -7.61412e-05    0.000491576    -0.00363611
           2.2        6.73844      -0.019188        0.00094   -7.55661e-05    4.66084e-06    6.87515e-06    3.30337e-05   -0.000784514
           2.4        7.14226       -0.02013       0.001034    -9.9166e-05    6.76597e-05   -0.000349887     0.00244076     -0.0193479
           2.6        7.50911      -0.020967       0.001115   -9.70161e-05    5.16146e-06    2.91932e-05   -0.000157611    0.000942545
           2.8        7.84129      -0.021712       0.001195   -0.000118265    5.96504e-05   -0.000275414     0.00190561     -0.0151316
             3        8.14141      -0.022371       0.001265   -0.000128264    6.36429e-05   -0.000282867     0.00190271     -0.0147116
           3.2        8.41213      -0.022954       0.001327   -0.000132358    4.25752e-05   -0.000149628    0.000985691    -0.00753667
           3.4        8.65604      -0.023469        0.00138   -0.000124807   -3.09324e-05    0.000277898    -0.00184596      0.0138477
           3.6        8.87555      -0.023926       0.001434    -0.00014445    3.05019e-05   -6.76778e-05    0.000462532    -0.00379565
           3.8        9.07285      -0.024328       0.001478   -0.000146805    1.50457e-05    1.59925e-05   -4.16383e-05     -0.0002961
             4        9.25001      -0.024684       0.001521   -0.000161556    5.25588e-05   -0.000161248    0.000957544    -0.00669655
           4.2        9.40898      -0.024996       0.001554   -0.000156128    4.27672e-06    0.000107879   -0.000747521     0.00560291
           4.4        9.55169      -0.025271       0.001584   -0.000155293   -2.00679e-05    0.000254366    -0.00176555      0.0137773
           4.6        9.68001      -0.025516       0.001616   -0.000174626    5.22566e-05   -0.000148414    0.000885754    -0.00625559
           4.8        9.79579      -0.025732       0.001639    -0.00017146    2.35994e-05    2.58115e-06    -2.1137e-05   -4.17756e-05
             5        9.90077      -0.025927       0.001663   -0.000181154    5.65408e-05   -0.000188959     0.00128335     -0.0101156
           5.2        9.99653      -0.026103       0.001681   -0.000173896    4.96286e-06     0.00012532   -0.000909812     0.00726919
           5.4        10.0846      -0.026267       0.001701   -0.000180052    2.15228e-05    3.20165e-05   -0.000272243     0.00224695
           5.6        10.1665      -0.026422        0.00172   -0.000185627    3.62665e-05   -5.32059e-05    0.000322342    -0.00249848
           5.8        10.2437      -0.026572       0.001738   -0.000188442    3.84242e-05    -7.1527e-05    0.000509525    -0.00444773
             6         10.317      -0.026719       0.001756   -0.000191949    4.24945e-05   -8.38726e-05    0.000514405    -0.00381429
           6.2        10.3851      -0.026862       0.001773   -0.000189506    1.20599e-05    0.000113731   -0.000886637     0.00724305
           6.4        10.4465      -0.026997       0.001792   -0.000202349     6.9489e-05   -0.000246866     0.00170383     -0.0137037
           6.6        10.4994      -0.027118       0.001805   -0.000193185     8.8542e-06    0.000130326   -0.000982528     0.00800127
           6.8        10.5426      -0.027222       0.001818   -0.000193195     9.4864e-07    0.000167292    -0.00117373     0.00913324
             7        10.5757      -0.027306       0.001831   -0.000202428    3.62821e-05   -2.90896e-05    0.000114265   -0.000575075
