            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        2.52925      -0.007459        0.00015   -4.40171e-06   -1.98292e-06    8.35626e-06   -4.02749e-05    0.000248095
           0.4        5.04552      -0.014612       0.000575   -4.04987e-05    8.98656e-06   -1.12677e-05   -3.19673e-05    0.000900249
           0.6        7.53602      -0.021336       0.001218   -0.000120793    3.19343e-05   -0.000103811    0.000733719    -0.00593804
           0.8        9.98823      -0.027592       0.002025   -0.000252078    3.87771e-05    5.45615e-05   -0.000583389      0.0054117
             1        12.3901      -0.033398       0.002949   -0.000440348    9.34812e-05   -1.59605e-05   -9.03607e-05    0.000918319
           1.2        14.7304      -0.038803       0.003959   -0.000682642    0.000177422   -0.000117379    0.000519691    -0.00451734
           1.4        16.9984      -0.043854       0.005032    -0.00098147    0.000332697   -0.000495104     0.00280596     -0.0216923
           1.6        19.1847      -0.048589       0.006146    -0.00130771    0.000427126   -0.000371767     0.00165385       -0.01298
           1.8        21.2807      -0.053032       0.007288    -0.00167187    0.000542688   -0.000224246    0.000175918    -0.00133529
             2        23.2792        -0.0572       0.008448    -0.00208472     0.00075516   -0.000481238      0.0011502    -0.00733928
           2.2        25.1747        -0.0611       0.009606    -0.00251795    0.000966528   -0.000637505     0.00149017    -0.00953663
           2.4         26.963      -0.064738       0.010746    -0.00295106     0.00110362   -0.000257182     -0.0019324      0.0176386
           2.6        28.6423      -0.068124       0.011866    -0.00341425     0.00134946    -0.00044953    -0.00146506      0.0142464
           2.8        30.2123      -0.071267       0.012958    -0.00390226     0.00169257    -0.00110268     0.00179326    -0.00900603
             3        31.6748      -0.074175       0.014004     -0.0043638     0.00191298    -0.00101269    0.000119764     0.00441372
           3.2        33.0332      -0.076863       0.015011     -0.0048457     0.00226498    -0.00166269     0.00332694     -0.0189798
           3.4        34.2918      -0.079342       0.015965    -0.00529576     0.00250161    -0.00161718     0.00171628    -0.00466452
           3.6        35.4554      -0.081627       0.016869    -0.00573157      0.0027327    -0.00158856    0.000478487     0.00476492
           3.8        36.5287      -0.083732       0.017726    -0.00616259     0.00299887    -0.00174464    0.000272581     0.00764764
