                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2            0.0581952         -0.000295845         -3.00107e-07           1.7356e-06         -7.27048e-06          3.96843e-05         -0.000266021           0.00210208 
                 0.4             0.114697         -0.000575419          5.35938e-07           1.2156e-06         -4.06939e-06          1.99522e-05           -0.0001333            0.0011112 
                 0.6             0.168034          -0.00082959          1.33761e-06          4.25853e-06            -2.31e-05          0.000145398          -0.00104675           0.00850301 
                 0.8             0.217156          -0.00105263          3.72146e-06          4.30562e-07           -3.381e-06          2.20654e-05         -0.000151517           0.00113269 
                   1             0.261574          -0.00124134          3.73414e-06          3.59102e-06         -1.09654e-05          3.46101e-05         -7.81997e-05         -0.000392846 
                 1.2             0.301438          -0.00140098          6.58746e-06          8.09949e-07         -6.98609e-06          5.31012e-05         -0.000430691           0.00382079 
                 1.4             0.337508           -0.0015348          7.96562e-06         -1.17276e-06          9.00913e-06         -6.74481e-05          0.000532905          -0.00458544 
                 1.6             0.371035          -0.00165393          9.65781e-06         -4.48902e-08         -4.77889e-06          4.56102e-05          -0.00039501           0.00355464 
                 1.8             0.403555          -0.00176935          1.08242e-05         -1.24559e-06          6.85946e-06         -4.32705e-05           0.00030029           -0.0023131 
                   2             0.436628          -0.00189751          1.31039e-05         -2.71524e-06          1.07773e-05         -5.44619e-05          0.000324787          -0.00224267 
                 2.2             0.471585          -0.00205227          1.42873e-05          6.24028e-07         -3.35113e-06          1.64895e-05          -9.3588e-05           0.00060037 
                 2.4             0.509371          -0.00224796          1.80907e-05         -1.96984e-06          7.52612e-06          -4.0492e-05          0.000257746          -0.00189005 
                 2.6             0.550575          -0.00249061          2.19952e-05         -1.37211e-06          5.64105e-06         -3.46912e-05           0.00024112          -0.00188579 
                 2.8              0.59553          -0.00278166          2.81507e-05         -2.79436e-06          8.31264e-06         -3.09496e-05          9.85234e-05          3.02501e-05 
                   3             0.643442          -0.00311346          3.37622e-05          2.79952e-06         -1.52714e-05          7.79809e-05         -0.000458643           0.00305689 
                 3.2             0.692188          -0.00347459          4.27092e-05          1.98343e-06         -1.40608e-05          7.62782e-05          -0.00047394           0.00334506 
                 3.4             0.739008          -0.00384719          5.41633e-05         -4.60064e-06          1.44435e-05         -7.89709e-05          0.000515977           -0.0039126 
                 3.6             0.781208          -0.00420658          5.95472e-05          1.10218e-05         -5.16422e-05          0.000257537          -0.00152588              0.01048 
                 3.8             0.816741          -0.00453818          7.78014e-05         -1.52678e-05          5.74472e-05         -0.000309219           0.00197251           -0.0145256 
                   4             0.844575          -0.00481168          8.27602e-05          -2.9644e-06          8.21476e-06         -7.31879e-05          0.000626424          -0.00563757 
                 4.2             0.864786          -0.00502558          9.11323e-05         -2.90466e-06         -2.56316e-06          2.25849e-05         -0.000185733           0.00164436 
                 4.4             0.878328          -0.00517491          9.49284e-05          2.47302e-06         -2.61138e-05          0.000145619          -0.00095489           0.00723115 
                 4.6             0.886668          -0.00527285          0.000102102         -9.34387e-06           2.4506e-05         -0.000123639          0.000739388          -0.00508524 
                 4.8             0.891361          -0.00532878          0.000103166         -3.41942e-06         -1.06912e-05          0.000110027          -0.00101806           0.00974994 
                   5             0.893761          -0.00535693          0.000101384          4.56058e-06         -3.57233e-05          0.000188475           -0.0011669           0.00835374 
                 5.2             0.894869          -0.00537161           0.00010356          3.66893e-07         -2.22685e-05          0.000135868         -0.000925004           0.00706969 
                 5.4             0.895329          -0.00537812          0.000106015         -7.99334e-06          1.40896e-05         -4.74166e-05          0.000128757          0.000283627 
                 5.6             0.895497           -0.0053804          0.000107274         -1.57927e-05          6.43181e-05         -0.000396129           0.00280164           -0.0223988 
                 5.8             0.895552          -0.00538009          0.000104505         -5.98064e-06          2.02062e-05          -0.00015261             0.001206              -0.0103 
                   6             0.895567          -0.00538109          0.000106847         -1.38943e-05          5.31116e-05         -0.000317584           0.00218154           -0.0169746 
                 6.2             0.895571          -0.00538043          0.000104846         -5.77298e-06          1.12748e-05         -5.98406e-05          0.000341597          -0.00205741 
                 6.4             0.895572          -0.00538009          0.000103617         -1.08453e-06         -1.02643e-05          5.83185e-05         -0.000417175           0.00354164 
                 6.6             0.895572          -0.00538032          0.000104176         -2.98147e-06         -2.12284e-06          1.59595e-05         -0.000157693            0.0017106 
                 6.8             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                   7             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                 7.2             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                 7.4             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                 7.6             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                 7.8             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
                   8             0.895572          -0.00538009          0.000103506         -5.26232e-07         -1.32791e-05          7.70811e-05         -0.000551118           0.00462472 
