            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2       0.103466      -0.000534         -1e-06      5.712e-06     -2.512e-05    0.000140056   -0.000943568     0.00742358
           0.4       0.203627      -0.001034          3e-06    -1.5954e-06     1.0954e-05   -7.77632e-05    0.000600852    -0.00511078
           0.6       0.297607      -0.001482          5e-06     3.1483e-06    -1.4483e-05    7.78287e-05   -0.000489683     0.00355457
           0.8       0.383325       -0.00187          1e-05   -3.08592e-06    1.38592e-05   -7.57576e-05    0.000479693    -0.00345493
             1       0.459752      -0.002194        1.1e-05    5.78747e-06   -2.88747e-05    0.000174227    -0.00124392      0.0102151
           1.2       0.527031      -0.002461        1.4e-05    6.20623e-06   -3.10623e-05    0.000188255    -0.00135381      0.0112089
           1.4       0.586434      -0.002682          2e-05   -6.03168e-06    2.93168e-05   -0.000175815     0.00122685    -0.00977741
           1.6       0.640142       -0.00287        2.3e-05   -7.81107e-06    3.81107e-05   -0.000228607     0.00159412     -0.0126925
           1.8       0.690894      -0.003045        2.4e-05    -6.3581e-07    -1.6419e-06    2.44958e-05   -0.000246013     0.00239839
             2       0.741519      -0.003231        2.7e-05   -2.67724e-06    1.47724e-05    -0.00010207    0.000778358    -0.00656935
           2.2        0.79447      -0.003452          3e-05     3.1112e-06    -2.3112e-05    0.000161767    -0.00125634      0.0108383
           2.4       0.851499      -0.003729        3.6e-05   -2.05585e-06    1.25585e-05   -9.69919e-05    0.000785185    -0.00688451
           2.6       0.913652      -0.004076        4.4e-05   -1.98173e-06    9.81732e-06   -7.69616e-05    0.000633376    -0.00563317
           2.8       0.981327      -0.004495        5.5e-05   -1.70481e-06     4.0481e-06   -3.00102e-05    0.000233163    -0.00195277
             3        1.05313      -0.004974        6.7e-05    2.16574e-06   -5.65738e-06   -1.93079e-05     0.00039349    -0.00465001
           3.2        1.12566      -0.005498        8.8e-05   -6.51229e-06    1.11229e-05   -2.49207e-05   -5.15727e-05     0.00185714
           3.4        1.19454      -0.006032       0.000107    -6.2233e-06    9.23296e-06   -3.24347e-05    9.96683e-05    7.45902e-05
           3.6        1.25567      -0.006543       0.000125    6.13223e-07   -2.11322e-05    0.000109916   -0.000679348     0.00490598
           3.8        1.30614         -0.007       0.000147     -5.109e-06      -6.91e-06     5.8494e-05   -0.000481824     0.00428272
             4        1.34476      -0.007373       0.000164   -6.66991e-06    7.69914e-06   -7.76897e-05    0.000708073    -0.00658615
           4.2        1.37208      -0.007654       0.000179   -7.01624e-06   -7.83762e-06    6.93197e-05   -0.000588763     0.00535044
           4.4        1.38987      -0.007845       0.000188    -3.7059e-06    -2.5941e-05    0.000171755    -0.00127804      0.0107243
           4.6        1.40051      -0.007965       0.000197   -1.26848e-05    1.28482e-05   -4.56069e-05    0.000166678   -0.000357762
           4.8        1.40631      -0.008031       0.000199   -9.47516e-06    7.75158e-06   -6.52412e-05    0.000550149    -0.00483433
             5         1.4092      -0.008066       0.000202   -9.24392e-06   -6.56082e-06    6.13043e-05   -0.000488505     0.00409468
           5.2        1.41049      -0.008082       0.000205   -1.87634e-05    4.16339e-05   -0.000223022      0.0014389     -0.0107373
           5.4        1.41101      -0.008087       0.000202   -7.22584e-06   -9.74161e-06    5.71213e-05   -0.000369678     0.00274096
           5.6         1.4112      -0.008089       0.000202   -1.00091e-05     1.6091e-05   -0.000147525     0.00130247       -0.01196
           5.8        1.41126       -0.00809       0.000202   -6.93711e-06    -9.6289e-06    5.09666e-05   -0.000312265     0.00230354
             6        1.41128       -0.00809       0.000202   -7.92902e-06    -1.7098e-06   -9.29716e-06    0.000181769    -0.00214294
           6.2        1.41128      -0.008091       0.000204   -1.38813e-05     2.1813e-05   -0.000126006    0.000881759    -0.00708136
           6.4        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           6.6        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           6.8        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
             7        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           7.2        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           7.4        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           7.6        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
           7.8        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
             8        1.41128      -0.008091       0.000204   -1.38813e-05     2.0813e-05   -0.000111006    0.000706759    -0.00512235
