                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              13.1461              1.24374             0.819806             0.726056             0.259964           -0.0245113            -0.904346            -0.959464 
                 0.4              26.4716              1.16309             0.667035             0.508713            -0.134559            -0.380828            -0.716603             0.200828 
                 0.6              40.1419              1.08405             0.537314             0.334882            -0.322479            -0.413944            -0.136895              1.07075 
                 0.8              54.2955              1.00675             0.426217             0.193892            -0.389646            -0.303287             0.319461               1.2148 
                   1              69.0335             0.931176             0.330034            0.0782201            -0.386524            -0.137778             0.560883             0.878972 
                 1.2              84.4115             0.857347             0.246152           -0.0166584            -0.342839            0.0375588             0.619937             0.345471 
                 1.4              100.436             0.785397              0.17298           -0.0930549            -0.277298              0.19771             0.555025            -0.187681 
                 1.6              117.061             0.715554             0.109644            -0.151971            -0.202761             0.327741             0.422186            -0.608411 
                 1.8              134.194             0.648088            0.0556638            -0.193814            -0.128491             0.419289             0.266363            -0.874826 
                   2              151.695             0.583272            0.0107051            -0.218843           -0.0610031             0.469072             0.118496            -0.993529 
                 2.2              169.391             0.521354           -0.0255715            -0.227401          -0.00446513             0.477655          -0.00390542            -0.993704 
                 2.4              187.077             0.462553           -0.0535899            -0.220008            0.0389626             0.448189           -0.0937251            -0.904084 
                 2.6              204.533             0.407057           -0.0738951            -0.197383            0.0687492              0.38538            -0.150334            -0.740593 
                 2.8              221.533             0.355026           -0.0871561            -0.160441            0.0856039             0.294945            -0.176407            -0.507578 
                   3              237.849               0.3066           -0.0941548            -0.110302            0.0911133             0.183628            -0.176193            -0.209404 
                 3.2              253.266             0.261906           -0.0957656           -0.0483365            0.0874434            0.0596137            -0.155097             0.134844 
                 3.4              267.587             0.221059           -0.0929408            0.0237763            0.0771083           -0.0671303            -0.119847             0.482705 
                 3.6              280.653             0.184135            -0.086687             0.104103            0.0627398            -0.185402           -0.0781982             0.774148 
                 3.8              292.354             0.151141           -0.0780101             0.190685            0.0467839            -0.284044           -0.0376162             0.947709 
                   4              302.636             0.122004           -0.0678447             0.281692             0.031235            -0.352519          -0.00391161             0.953724 
                 4.2              311.493            0.0965772            -0.057009             0.375339            0.0175412            -0.380846            0.0193207             0.766186 
                 4.4              318.952            0.0746802           -0.0461997             0.469667            0.0066377             -0.36023            0.0308411             0.400675 
                 4.6              325.067            0.0561533           -0.0359975             0.562336            -0.001012            -0.285327            0.0318411           -0.0701054 
                 4.8              329.923            0.0408612           -0.0268617             0.650618          -0.00542566            -0.157434            0.0256325            -0.523556 
                   5              333.641             0.028629            -0.019111             0.731661          -0.00708418             0.013536            0.0165146            -0.826045 
                 5.2              336.371            0.0192121           -0.0129026             0.802838          -0.00679064              0.20952           0.00818015            -0.888736 
                 5.4              338.285            0.0122828          -0.00822764             0.862194          -0.00544406             0.407872           0.00257988            -0.708517 
                 5.6              339.558           0.00744173          -0.00493328             0.908863          -0.00380838             0.587238         -0.000162309            -0.364064 
                 5.8              340.359           0.00425023          -0.00276968             0.943257          -0.00236996             0.733094         -0.000964255            0.0310805 
                   6              340.833           0.00227624          -0.00145009             0.966898          -0.00132626             0.840259         -0.000866553             0.383049 
                 6.2              341.095           0.00113691         -0.000705059             0.981994         -0.000671902             0.911689         -0.000544548             0.645509 
                 6.4              341.229           0.00052653         -0.000316913             0.990914          -0.00030931              0.95501         -0.000279516             0.815298 
                 6.6              341.293          0.000224693         -0.000130996             0.995771         -0.000129519             0.978952         -0.000123666             0.912531 
                 6.8              341.321          8.77436e-05         -4.94892e-05             0.998196         -4.92489e-05             0.991001          -4.8292e-05             0.962373 
                   7              341.332          3.11136e-05         -1.69661e-05             0.999301         -1.69339e-05             0.996506         -1.68052e-05              0.98535 
                 7.2              341.336          9.93257e-06         -5.23471e-06             0.999756         -5.23121e-06             0.998778         -5.21719e-06              0.99487 
                 7.4              341.338          2.82743e-06         -1.44004e-06             0.999924         -1.43973e-06             0.999618         -1.43852e-06             0.998397 
                 7.6              341.338          7.10098e-07         -3.49505e-07             0.999979         -3.49485e-07             0.999895         -3.49403e-07             0.999559 
                 7.8              341.338          1.55492e-07         -7.39648e-08             0.999994         -7.39638e-08             0.999974         -7.39596e-08             0.999893 
                   8              341.338          2.92986e-08         -1.34704e-08             0.999999         -1.34704e-08             0.999995         -1.34702e-08             0.999978 
                 8.2              341.338          4.68123e-09         -2.08035e-09                    1         -2.08035e-09             0.999999         -2.08034e-09             0.999996 
                 8.4              341.338          6.23868e-10         -2.67988e-10                    1         -2.67988e-10             0.999999         -2.67987e-10             0.999998 
                 8.6              341.338          6.80754e-11         -2.82637e-11                    1         -2.82637e-11                    1         -2.82637e-11                    1 
                 8.8              341.338          5.95608e-12         -2.38969e-12                    1         -2.38969e-12                    1         -2.38969e-12                    1 
                   9              341.338          4.08038e-13         -1.58147e-13                    1         -1.58147e-13                    1         -1.58147e-13                    1 
                 9.2              341.338          2.12842e-14         -7.95696e-15                    1         -7.95696e-15                    1         -7.95696e-15                    1 
                 9.4              341.338          8.04411e-16          -2.8665e-16                    1          -2.8665e-16                    1          -2.8665e-16                    1 
                 9.6              341.338          1.60021e-17         -4.88593e-18                    1         -4.88593e-18                    1         -4.88593e-18                    1 
                 9.8              341.338                    0                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  10              341.338                    0                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
