                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              11.7655              1.32641             0.835519             0.758821             0.310959            0.0675225            -0.867273            -0.981695 
                 0.4              23.6539              1.25006              0.69451             0.563793           -0.0818245            -0.311536            -0.830272           -0.0943521 
                 0.6               35.781              1.17539             0.573767             0.405337            -0.288963            -0.401081            -0.320154             0.812047 
                 0.8               48.248               1.1024             0.469556             0.274786            -0.382778            -0.347721             0.161498               1.1802 
                   1              61.1352              1.03093              0.37848             0.165513            -0.407241            -0.227646             0.485402              1.09329 
                 1.2              74.4968             0.960821             0.297985            0.0732076            -0.388479           -0.0805723             0.646868             0.732972 
                 1.4              88.3574             0.892071             0.226433          -0.00451383            -0.342791            0.0706393             0.675805             0.253845 
                 1.6              102.711             0.824802               0.1629           -0.0687508            -0.281413             0.210883             0.609548            -0.230182 
                 1.8               117.52             0.759223             0.106908            -0.119892            -0.212822             0.329464             0.484708            -0.642979 
                   2              132.719             0.695572             0.058205            -0.158021            -0.143633              0.41912             0.333418            -0.942761 
                 2.2               148.22              0.63408            0.0166134            -0.183158           -0.0788955             0.475681             0.180991             -1.11619 
                 2.4               163.91             0.574946           -0.0180511             -0.19539           -0.0222132             0.497715            0.0450095              -1.1692 
                 2.6              179.664             0.518341           -0.0460288            -0.194927            0.0241489              0.48607           -0.0642227             -1.11669 
                 2.8              195.341              0.46441           -0.0676348            -0.182133             0.059112             0.443364            -0.142278            -0.974468 
                   3              210.794             0.413279           -0.0832672            -0.157522            0.0825982              0.37357            -0.188932             -0.75596 
                 3.2              225.871             0.365057           -0.0934058            -0.121763            0.0953289             0.281758            -0.206729            -0.473765 
                 3.4              240.417             0.319847           -0.0986047           -0.0756862            0.0986216             0.174013            -0.200006            -0.144707 
                 3.6              254.281             0.277747            -0.099485           -0.0203146            0.0942076            0.0574989            -0.174361             0.204591 
                 3.8               267.32             0.238847           -0.0967251            0.0430925            0.0840748           -0.0595315            -0.136344             0.535323 
                   4              279.406              0.20322           -0.0910523             0.113055            0.0703125            -0.168171            -0.092992             0.801325 
                 4.2              290.439             0.170901           -0.0832146             0.187988            0.0549194            -0.259793           -0.0508937             0.959991 
                 4.4              300.356             0.141874           -0.0739389             0.266358             0.039604            -0.326925           -0.0151408              0.98235 
                 4.6              309.122             0.116067           -0.0638882             0.346785            0.0256537            -0.363532            0.0112488              0.85775 
                 4.8              316.738            0.0933633           -0.0536368             0.428017            0.0139093            -0.364804            0.0272769             0.595333 
                   5              323.229            0.0736054           -0.0436637             0.508856           0.00481217            -0.327044            0.0335895             0.226785 
                 5.2              328.637            0.0566338           -0.0343611             0.587999          -0.00151564            -0.248209            0.0320706             -0.18918 
                 5.4              333.019            0.0423273           -0.0260386             0.663873          -0.00521925            -0.129568            0.0254842            -0.569146 
                 5.6              336.455            0.0305761           -0.0189148              0.73467          -0.00669669            0.0226465            0.0169364            -0.824001 
                 5.8              339.048            0.0212363           -0.0131059             0.798511          -0.00654146             0.196859           0.00908599             -0.88915 
                   6              340.924            0.0141047          -0.00861758             0.853688          -0.00542602              0.37737           0.00348302             -0.75145 
                 6.2              342.215           0.00891012          -0.00535016             0.899007          -0.00396176              0.54736          0.000406879             -0.45674 
                 6.4              343.057           0.00532482          -0.00312121             0.934104          -0.00258645             0.692922          -0.00075073            -0.089468 
                 6.6              343.576           0.00299445          -0.00170327             0.959566          -0.00152264             0.806295         -0.000863928             0.264914 
                 6.8              343.875           0.00157612         -0.000865612             0.976781         -0.000812587             0.886702         -0.000611374             0.550726 
                   7              344.036          0.000772172         -0.000407811             0.987582         -0.000394405             0.938712         -0.000342265             0.750325 
                 7.2              344.116          0.000350046         -0.000177219             0.993847         -0.000174327             0.969432         -0.000162923             0.873533 
                 7.4              344.153          0.000145892         -7.06302e-05             0.997191         -7.01042e-05             0.985998         -6.80137e-05             0.941596 
                 7.6              344.168          5.55079e-05         -2.56471e-05             0.998827         -2.55673e-05             0.994142         -2.52494e-05             0.975466 
                 7.8              344.174          1.91281e-05         -8.42107e-06             0.999555         -8.41115e-06             0.997776         -8.37154e-06             0.990669 
                   8              344.176          5.91801e-06         -2.47888e-06             0.999848         -2.47788e-06             0.999241          -2.4739e-06              0.99681 
                 8.2              344.177          1.62795e-06         -6.47923e-07             0.999954         -6.47844e-07             0.999768         -6.47528e-07             0.999028 
                 8.4              344.177          3.93888e-07         -1.48771e-07             0.999988         -1.48766e-07             0.999938         -1.48746e-07             0.999739 
                 8.6              344.177          8.28244e-08         -2.96522e-08             0.999998          -2.9652e-08             0.999986         -2.96511e-08             0.999939 
                 8.8              344.177          1.49345e-08         -5.06257e-09                    1         -5.06257e-09             0.999997         -5.06254e-09             0.999988 
                   9              344.177          2.27498e-09          -7.2946e-10                    1          -7.2946e-10                    1         -7.29459e-10             0.999998 
                 9.2              344.177          2.87885e-10         -8.72321e-11                    1         -8.72321e-11                    1          -8.7232e-11                    1 
                 9.4              344.177          2.96949e-11         -8.49536e-12                    1         -8.49536e-12                    1         -8.49536e-12                    1 
