                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.78899              1.97842             0.947013             0.933923             0.748304             0.691151            0.0641302            -0.103457 
                 0.4              5.62169              1.93408             0.896884             0.871957             0.534079             0.439915            -0.531099            -0.690205 
                 0.6              8.54051              1.88358              0.84988             0.814045             0.353675             0.237614            -0.876306            -0.929541 
                 0.8              11.5853              1.82811             0.805854             0.759686             0.202071            0.0752271             -1.04579            -0.945344 
                   1              14.7919              1.76885             0.764361             0.708109            0.0741445           -0.0551346             -1.09382            -0.820324 
                 1.2              18.1907              1.70701             0.724863             0.658508            -0.034393            -0.159425             -1.05707            -0.607186 
                 1.4              21.8053              1.64378             0.686888             0.610217            -0.126671            -0.241626            -0.960005            -0.340594 
                 1.6              25.6513              1.58028             0.650098             0.562796            -0.204787            -0.304208            -0.819977           -0.0460259 
                 1.8              29.7359               1.5175             0.614299             0.516026            -0.270118            -0.348713            -0.650681             0.255351 
                   2              34.0573              1.45627             0.579411             0.469875            -0.323645            -0.376272            -0.463866             0.544862 
                 2.2              38.6052              1.39726             0.545431             0.424448            -0.366183            -0.387942            -0.269934             0.806161 
                 2.4              43.3613              1.34093             0.512411             0.379941            -0.398523            -0.384924           -0.0779613              1.02585 
                 2.6              48.3009              1.28759             0.480423             0.336599            -0.421491            -0.368641             0.104452              1.19412 
                 2.8              53.3938               1.2374             0.449554             0.294688            -0.435985            -0.340752             0.271368              1.30517 
                   3              58.6056              1.19039             0.419891             0.254469            -0.442954            -0.303103             0.418565              1.35726 
                 3.2              63.8994              1.14654             0.391518             0.216179            -0.443388            -0.257649             0.543496              1.35235 
                 3.4              69.2366              1.10574             0.364505             0.180018            -0.438285             -0.20636             0.645136               1.2954 
                 3.6              74.5784              1.06788             0.338913              0.14614            -0.428624            -0.151141              0.72374              1.19355 
                 3.8              79.8862              1.03281             0.314783             0.114651            -0.415341           -0.0937514             0.780573              1.05522 
                   4              85.1222              1.00038             0.292145            0.0856121            -0.399308           -0.0357618             0.817608             0.889323 
                 4.2              90.2492             0.970467             0.271012            0.0590427            -0.381323            0.0214742             0.837276             0.704605 
                 4.4              95.2301             0.942946             0.251386            0.0349304            -0.362104            0.0768206             0.842242             0.509238 
                 4.6              100.027             0.917731             0.233266            0.0132386            -0.342295             0.129348             0.835239             0.310558 
