            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2         5.8378        1.97739       0.887431       0.861603       0.496401       0.401894      -0.613914      -0.748826 
           0.4        11.7723        1.89551       0.786206       0.740316       0.140569      0.0262731       -1.07377      -0.897646 
           0.6        17.8981        1.80972       0.695807       0.634115        -0.1048      -0.196116      -0.982311      -0.463809 
           0.8        24.3046        1.72126       0.614683       0.540081      -0.270856      -0.315884      -0.668434      0.0853849 
             1        31.0736        1.63113       0.540944       0.455286      -0.380055      -0.365986      -0.292675       0.563407 
           1.2        38.2754        1.54031       0.472949       0.377422      -0.447074      -0.366534      0.0701572       0.903179 
           1.4        45.9649        1.44979       0.409565       0.305014      -0.481273      -0.330081       0.383552        1.08354 
           1.6        54.1789        1.36058       0.350148       0.237344      -0.489039      -0.265537       0.628329        1.10398 
           1.8        62.9325         1.2736       0.294425       0.174249      -0.475369      -0.180392       0.795407       0.978272 
             2        72.2181        1.18962       0.242349       0.115932      -0.444692     -0.0817246       0.883665       0.732434 
           2.2        82.0054        1.10926       0.193989      0.0627974      -0.401198      0.0235544       0.898813       0.401866 
           2.4        92.2431        1.03293       0.149454      0.0153254       -0.34888       0.128852       0.851941      0.0267976 
           2.6        102.861       0.960867       0.108842     -0.0260235      -0.291451       0.228209       0.757547      -0.353015 
           2.8        113.775       0.893179      0.0722098     -0.0608757      -0.232219       0.316625       0.631397      -0.703074 
             3         124.89       0.829863      0.0395594     -0.0889879       -0.17397       0.390298       0.488578      -0.997296 
           3.2        136.105       0.770838      0.0108294       -0.11027      -0.118909       0.446724       0.342108       -1.21915 
           3.4        147.318       0.715983     -0.0141033      -0.124785     -0.0686395       0.484654       0.202145       -1.36096 
           3.6        158.426       0.665148     -0.0354177      -0.132741     -0.0241928       0.503964      0.0758135       -1.42218 
           3.8         169.33       0.618183     -0.0533435      -0.134477      0.0139054       0.505444     -0.0325735       -1.40728 
             4        179.937        0.57494     -0.0681505      -0.130443      0.0455482       0.490602      -0.121034       -1.32402 
           4.2        190.158       0.535283     -0.0801394      -0.121188      0.0709596       0.461469      -0.189391        -1.1822 
           4.4         199.91        0.49909     -0.0896312       -0.10735      0.0906053       0.420442      -0.238769      -0.992941 
           4.6        209.114       0.466254      -0.096957       -0.08965       0.105115       0.370138      -0.271164      -0.768178 
