            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        7.36738        1.94587       0.861743       0.830231       0.397546        0.29161      -0.804696      -0.883884 
           0.4        14.8541        1.84874       0.739631       0.685236     0.00582449      -0.101105       -1.07185      -0.714076 
           0.6        22.5764        1.74903       0.632253       0.561243      -0.238704      -0.294015      -0.746868     -0.0407973 
           0.8        30.6443        1.64787       0.537253       0.453905      -0.383636       -0.36381      -0.272057       0.561671 
             1        39.1578        1.54616       0.452135       0.359305      -0.460904       -0.35703       0.172282       0.934031 
           1.2        48.2028        1.44472       0.374865        0.27454      -0.490609      -0.301063       0.521532        1.06263 
           1.4        57.8464         1.3444       0.304095       0.197849      -0.485555      -0.213073       0.756928        0.97873 
           1.6        68.1335        1.24605       0.239086       0.128413      -0.454717      -0.105524       0.878943       0.729727 
           1.8        79.0833         1.1505       0.179533      0.0660815      -0.405259      0.0111048       0.898787       0.371808 
             2        90.6885        1.05838       0.125384      0.0111131      -0.343459       0.127365       0.835108     -0.0350775 
           2.2        102.914       0.970233      0.0767026     -0.0360299      -0.274988       0.234794       0.711214      -0.433828 
           2.4        115.702       0.886375      0.0335751       -0.07483      -0.204878       0.326237       0.551918      -0.777064 
           2.6         128.97       0.806987    -0.00394229      -0.104826      -0.137393       0.396225       0.380423       -1.03214 
           2.8        142.621       0.732125     -0.0358593      -0.125686     -0.0758965       0.441229       0.215912        -1.1828 
             3        156.544       0.661742     -0.0622618       -0.13725     -0.0227901       0.459732      0.0721821       -1.22749 
           3.2        170.622       0.595737     -0.0833183      -0.139548      0.0204817       0.452086     -0.0425948       -1.17533 
           3.4        184.735       0.533967     -0.0992762      -0.132796      0.0533556       0.420233      -0.125267       -1.04152 
           3.6        198.766       0.476277      -0.110456      -0.117372      0.0760225       0.367339      -0.176595      -0.843548 
           3.8        212.605         0.4225      -0.117242      -0.093776      0.0892676       0.297406      -0.200015      -0.599043 
             4        226.149        0.37248      -0.120067     -0.0625897      0.0942961       0.214913      -0.200503      -0.325184 
           4.2        239.297       0.326071      -0.119399     -0.0244314      0.0925612       0.124548      -0.183661     -0.0392253 
           4.4        251.952       0.283162      -0.115727      0.0200363      0.0856202      0.0311434      -0.155105       0.240063 
           4.6         264.01        0.24368      -0.109561      0.0700681      0.0750472     -0.0603113      -0.120184       0.491587 
           4.8        275.367       0.207581      -0.101433       0.124846      0.0623613      -0.144884     -0.0837521       0.693844 
             5        285.933       0.174817      -0.091888       0.183595      0.0489319      -0.218171     -0.0497895       0.828803 
           5.2        295.638       0.145312     -0.0814497       0.245784      0.0358679      -0.276685     -0.0210067       0.884731 
           5.4        304.434       0.118947     -0.0705846       0.311258      0.0239492      -0.317482     0.00125261       0.853853 
           5.6        312.293      0.0955816     -0.0596846       0.380151      0.0136611      -0.336922      0.0166147       0.727404 
           5.8          319.2      0.0750587     -0.0490757       0.452786     0.00528214      -0.329548      0.0252117       0.496192 
             6        325.136      0.0573004     -0.0390574        0.52894   -0.000992862      -0.287755      0.0274349        0.16473 
           6.2        330.081      0.0422974     -0.0299196       0.607304    -0.00505719      -0.204047      0.0242974      -0.226404 
           6.4        334.047      0.0300195     -0.0219211       0.685452    -0.00699805     -0.0748153      0.0177338      -0.590913 
           6.6        337.092      0.0203643     -0.0152566       0.759913    -0.00715609      0.0951949      0.0102757      -0.813511 
           6.8        339.314      0.0131268     -0.0100183       0.826754    -0.00610335       0.290112     0.00418723      -0.804469 
             7        340.847     0.00799427    -0.00616818        0.88263    -0.00450663       0.485763    0.000560194      -0.561791 
           7.2        341.841      0.0045744    -0.00354139       0.925769    -0.00292914       0.658138   -0.000854839      -0.178107 
           7.4        342.445     0.00244623    -0.00188708       0.956377    -0.00169302       0.792055   -0.000987516       0.220271 
           7.6        342.785     0.00121601   -0.000929197       0.976276   -0.000876713       0.884398   -0.000677292       0.543062 
           7.8        342.963    0.000558768   -0.000420896       0.988109   -0.000408884       0.941305   -0.000362051       0.760796 
             8        343.048    0.000235915   -0.000174496       0.994532   -0.000172191       0.972821   -0.000163079       0.887409 
           8.2        343.086    9.09127e-05   -6.58178e-05       0.997704   -6.54511e-05       0.988555   -6.39913e-05       0.952207 
           8.4        343.101    3.17411e-05    -2.2428e-05       0.999126   -2.23803e-05       0.995637   -2.21896e-05       0.981715 
           8.6        343.106    9.95788e-06   -6.84834e-06       0.999701   -6.84333e-06       0.998503    -6.8233e-06       0.993719 
           8.8        343.108     2.7815e-06    -1.8565e-06       0.999908   -1.85609e-06       0.999541   -1.85442e-06       0.998075 
             9        343.108    6.84778e-07   -4.42189e-07       0.999976   -4.42163e-07       0.999875   -4.42055e-07       0.999479 
           9.2        343.108    1.46924e-07   -9.14747e-08       0.999994   -9.14735e-08       0.999971   -9.14682e-08       0.999876 
           9.4        343.108    2.71321e-08   -1.62255e-08       0.999999   -1.62254e-08       0.999994   -1.62252e-08       0.999974 
           9.6        343.108    4.25286e-09    -2.4327e-09              1    -2.4327e-09       0.999999   -2.43269e-09       0.999995 
           9.8        343.108    5.57082e-10   -3.03417e-10              1   -3.03417e-10              1   -3.03417e-10              1 
            10        343.108    5.99207e-11   -3.09224e-11              1   -3.09224e-11              1   -3.09224e-11       0.999999 
          10.2        343.108     5.1886e-12   -2.52375e-12              1   -2.52375e-12              1   -2.52375e-12              1 
          10.4        343.108    3.53644e-13   -1.61229e-13              1   -1.61229e-13              1   -1.61229e-13              1 
          10.6        343.108     1.8468e-14   -7.83532e-15              1   -7.83532e-15              1   -7.83532e-15              1 
          10.8        343.108    7.01945e-16    -2.6979e-16              1    -2.6979e-16              1    -2.6979e-16              1 
            11        343.108    1.43772e-17    -3.9012e-18              1    -3.9012e-18              1    -3.9012e-18              1 
          11.2        343.108              0           -nan           -nan           -nan           -nan           -nan           -nan 
          11.4        343.108              0           -nan           -nan           -nan           -nan           -nan           -nan 
          11.6        343.108              0           -nan           -nan           -nan           -nan           -nan           -nan 
          11.8        343.108              0           -nan           -nan           -nan           -nan           -nan           -nan 
            12        343.108              0           -nan           -nan           -nan           -nan           -nan           -nan 
