            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2         2.0028        2.72295       0.953274       0.947008       0.776368       0.748938       0.153317       0.072739 
           0.4        4.03238        2.66907       0.908923       0.897096       0.582298       0.537558      -0.424385      -0.496826 
           0.6        6.11524        2.60675       0.867328       0.850493       0.415925        0.36167      -0.794996      -0.806465 
           0.8        8.27727         2.5372       0.828449       0.806996       0.273696       0.215753       -1.01388      -0.935626 
             1        10.5432         2.4617       0.791947       0.766092        0.15151      0.0942413       -1.12392      -0.941878 
           1.2        12.9361        2.38154        0.75735       0.727164      0.0456696    -0.00755116        -1.1551      -0.863788 
           1.4        15.4763        2.29809       0.724217       0.689635     -0.0466678     -0.0930707       -1.12739       -0.72666 
           1.6        18.1807        2.21273       0.692205       0.653057      -0.127466      -0.164624       -1.05442      -0.547979 
           1.8        21.0622        2.12682       0.661089       0.617129      -0.198006       -0.22366      -0.946348      -0.341206 
             2        24.1283         2.0416       0.630745       0.581684      -0.259134      -0.271085      -0.811613      -0.117885 
           2.2        27.3813        1.95816       0.601121       0.546652       -0.31145      -0.307512      -0.657755       0.111439 
           2.4        30.8181         1.8774       0.572213       0.512044      -0.355444      -0.333431      -0.491734       0.336945 
           2.6        34.4303        1.79998       0.544047       0.477927      -0.391584      -0.349336      -0.319957        0.54967 
           2.8        38.2045         1.7264       0.516663         0.4444      -0.420357      -0.355789      -0.148179       0.741782 
             3         42.124        1.65695       0.490108       0.411589      -0.442287      -0.353457      0.0186172       0.906856 
           3.2        46.1684        1.59174       0.464429       0.379622      -0.457935      -0.343117       0.176322        1.04011 
           3.4        50.3159        1.53079       0.439667       0.348635      -0.467896      -0.325645       0.321738        1.13852 
           3.6        54.5434        1.47398       0.415861       0.318749      -0.472774       -0.30199       0.452577        1.20081 
           3.8        58.8283        1.42112       0.393042       0.290069       -0.47318      -0.273139       0.567404        1.22732 
             4        63.1486          1.372       0.371234       0.262685      -0.469712      -0.240081       0.665552        1.21976 
           4.2        67.4843        1.32633       0.350455       0.236656      -0.462944      -0.203774       0.747005         1.1809 
           4.4        71.8187        1.28384       0.330707       0.212019       -0.45341      -0.165107       0.812264        1.11428 
           4.6        76.1375        1.24425       0.311986       0.188783      -0.441607      -0.124882       0.862235        1.02381 
           4.8        80.4297        1.20728       0.294277       0.166935      -0.427977      -0.083799        0.89808       0.913544 
             5        84.6858        1.17269       0.277553       0.146448      -0.412921     -0.0424584       0.921117       0.787443 
           5.2        88.8972        1.14029       0.261786       0.127285      -0.396792    -0.00137239        0.93273       0.649268 
           5.4         93.053        1.10991       0.246946       0.109415      -0.379913      0.0390016       0.934317        0.50259 
           5.6        97.1379        1.08146       0.233011      0.0928164      -0.362583      0.0782472        0.92726       0.350779 
           5.8        101.131        1.05489       0.219966       0.077483      -0.345088       0.115962       0.912927       0.197108 
             6        105.005        1.03018       0.207811      0.0634204      -0.327711       0.151749       0.892689      0.0448011 
           6.2         108.73        1.00735       0.196554      0.0506359      -0.310723       0.185245       0.867943      -0.103033 
           6.4         112.27       0.986448       0.186214      0.0391392      -0.294401       0.216112        0.84013      -0.243444 
           6.6        115.584       0.967533       0.176823      0.0289425      -0.279016       0.244055       0.810688      -0.373792 
           6.8        118.631       0.950657       0.168406      0.0200367      -0.264804       0.268878       0.780977       -0.49203 
             7        121.357       0.935951       0.161028       0.012454       -0.25204       0.290311       0.752372      -0.595965 
           7.2          123.7       0.923577       0.154777     0.00623155      -0.241017       0.308097       0.726225      -0.683604 
           7.4        125.618       0.913601       0.149699     0.00134617      -0.231927       0.322178       0.703639      -0.753994 
           7.6        127.104       0.905949       0.145773    -0.00230211       -0.22482        0.33275       0.685299      -0.807515 
           7.8        128.187       0.900406       0.142907    -0.00487623      -0.219592       0.340232       0.671396      -0.845784 
             8        128.924       0.896644       0.140948    -0.00658341      -0.216001       0.345199       0.661624      -0.871388 
           8.2         129.39        0.89427       0.139703    -0.00764119      -0.213712       0.348275         0.6553      -0.887333 
           8.4        129.661       0.892887       0.138972    -0.00824888       -0.21237       0.350042       0.651551      -0.896531 
           8.6        129.806       0.892151        0.13858    -0.00857058       -0.21165       0.350977       0.649529      -0.901411 
           8.8        129.876       0.891793       0.138387    -0.00872639      -0.211299        0.35143        0.64854      -0.903779 
             9        129.907       0.891637       0.138302    -0.00879477      -0.211144       0.351628       0.648104      -0.904819 
           9.2        129.919       0.891575       0.138268    -0.00882169      -0.211083       0.351707       0.647933      -0.905231 
           9.4        129.923       0.891554       0.138256    -0.00883123      -0.211062       0.351734       0.647873      -0.905375 
           9.6        129.924       0.891547       0.138252     -0.0088341      -0.211055       0.351743       0.647854      -0.905421 
           9.8        129.925       0.891545       0.138251    -0.00883493      -0.211053       0.351745       0.647849      -0.905433 
            10        129.925       0.891545       0.138251    -0.00883505      -0.211053       0.351746       0.647848      -0.905436 
          10.2        129.925       0.891545       0.138251    -0.00883506      -0.211053       0.351746       0.647848      -0.905437 
          10.4        129.925       0.891545       0.138251    -0.00883506      -0.211053       0.351746       0.647848      -0.905437 
          10.6        129.925       0.891545       0.138251    -0.00883506      -0.211053       0.351746       0.647848      -0.905437 
          10.8        129.925       0.891545       0.138251    -0.00883506      -0.211053       0.351746       0.647848      -0.905437 
            11        129.925       0.891545       0.138251    -0.00883506      -0.211053       0.351746       0.647848      -0.905437 
