                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              4.38276              2.73234             0.895675             0.882829             0.527868             0.481647            -0.557001            -0.611521 
                 0.4              8.82627              2.63006             0.801261             0.779182             0.182754             0.132415             -1.09416            -0.946044 
                 0.6              13.3909              2.52235             0.716662             0.688177           -0.0643351           -0.0936548             -1.10115            -0.718078 
                 0.8              18.1359              2.41054             0.640627             0.607804            -0.239596            -0.233727            -0.864929            -0.300213 
                   1              23.1188              2.29569             0.571452             0.535728            -0.362823             -0.31394            -0.534132             0.136068 
                 1.2              28.3937              2.17881             0.507565             0.469904            -0.447248            -0.351065            -0.181573             0.516724 
                 1.4              34.0097              2.06101             0.447818             0.408842            -0.501251            -0.355589             0.155266              0.80901 
                 1.6              40.0086              1.94354             0.391501             0.351606             -0.53029            -0.334413             0.454371             0.997741 
                 1.8              46.4226              1.82762             0.338248             0.297695            -0.538313            -0.292632             0.701494               1.0773 
                   2              53.2717              1.71442             0.287914             0.246918            -0.528589            -0.234556             0.887788              1.04956 
                 2.2              60.5626              1.60494             0.240492             0.199297             -0.50412            -0.164224              1.00924             0.923383 
                 2.4              68.2868                  1.5             0.196047             0.154999            -0.467825           -0.0856324              1.06647             0.714049 
                 2.6              76.4211              1.40018             0.154669             0.114265            -0.422573          -0.00276076              1.06424             0.442148 
                 2.8              84.9286              1.30585             0.116442            0.0773744            -0.371143            0.0805078              1.01077             0.131713 
                   3              93.7605              1.21722            0.0814271             0.044593            -0.316139             0.160549             0.916552            -0.192119 
                 3.2              102.858               1.1343            0.0496461            0.0161491            -0.259914             0.234152             0.793233            -0.505469 
                 3.4              112.158                1.057            0.0210814          -0.00779385            -0.204494             0.298682             0.652406            -0.787819 
                 3.6               121.59             0.985124          -0.00432455           -0.0271492            -0.151535             0.352166             0.504676             -1.02337 
                 3.8              131.089              0.91842           -0.0266665           -0.0419116            -0.102307              0.39334             0.359007             -1.20171 
                   4              140.587             0.856603           -0.0460705           -0.0521563           -0.0576999             0.421631             0.222367             -1.31777 
                 4.2              150.026             0.799366           -0.0626923           -0.0580297           -0.0182507              0.43709            0.0996443             -1.37117 
                 4.4              159.354             0.746413            -0.076711           -0.0597353             0.015814             0.440284          -0.00621748             -1.36532 
                 4.6              168.525             0.697453           -0.0883256           -0.0575187            0.0445248             0.432172           -0.0939426             -1.30628 
                 4.8              177.503             0.652217           -0.0977501           -0.0516505            0.0681104             0.413974            -0.163574             -1.20178 
                   5              186.256             0.610464            -0.105209            -0.042417            0.0869445             0.387056            -0.216121             -1.06025 
                 5.2              194.753             0.571987            -0.110931            -0.030115              0.10149             0.352843            -0.253219            -0.890244 
                 5.4              202.964             0.536618            -0.115145           -0.0150555              0.11226             0.312755            -0.276855            -0.699917 
                 5.6              210.848             0.504228            -0.118077           0.00242427             0.119781             0.268176             -0.28916            -0.496764 
                 5.8              218.361             0.474724             -0.11994            0.0219421             0.124574             0.220449            -0.292262            -0.287516 
                   6              225.448             0.448039            -0.120941            0.0430529              0.12714             0.170891             -0.28819           -0.0781609 
                 6.2              232.053             0.424116            -0.121273            0.0652338             0.127959             0.120814            -0.278839             0.125931 
                 6.4              238.124             0.402901            -0.121116             0.087888              0.12748            0.0714994            -0.265951             0.320068 
                 6.6              243.609             0.384331            -0.120632             0.110385             0.126111            0.0241077            -0.251063             0.500746 
                 6.8              248.475             0.368304            -0.119962             0.132112             0.124208           -0.0204079            -0.235464             0.665861 
                   7              252.681             0.354761            -0.119207             0.152376             0.122038           -0.0609717            -0.220089             0.812745 
                 7.2              256.178             0.343674            -0.118439             0.170413             0.119807           -0.0963292            -0.205665             0.937538 
                 7.4              258.955             0.334951            -0.117714             0.185584             0.117694            -0.125447            -0.192847              1.03706 
                 7.6              261.042             0.328412            -0.117079             0.197531              0.11585             -0.14786            -0.182181              1.11055 
                 7.8              262.519             0.323781            -0.116568             0.206272             0.114378            -0.163862            -0.173977              1.16043 
                   8              263.494             0.320709            -0.116195             0.212178              0.11331            -0.174419            -0.168205              1.19163 
                 8.2              264.092             0.318815            -0.115948              0.21585              0.11261            -0.180848            -0.164507              1.20972 
                 8.4              264.431             0.317739            -0.115802             0.217943             0.112197            -0.184458            -0.162357               1.2195 
                 8.6              264.606             0.317177            -0.115724             0.219032             0.111976            -0.186319            -0.161223              1.22441 
                 8.8              264.689             0.316911            -0.115688             0.219548              0.11187            -0.187195             -0.16068               1.2267 
                   9              264.725             0.316795            -0.115672             0.219769             0.111824             -0.18757            -0.160446              1.22766 
                 9.2              264.738             0.316751            -0.115666             0.219855             0.111806            -0.187714            -0.160355              1.22803 
                 9.4              264.743             0.316736            -0.115664             0.219884               0.1118            -0.187764            -0.160324              1.22816 
                 9.6              264.744             0.316731            -0.115664             0.219893             0.111798            -0.187779            -0.160314               1.2282 
                 9.8              264.745              0.31673            -0.115664             0.219895             0.111797            -0.187783            -0.160311              1.22821 
                  10              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187784            -0.160311              1.22821 
                10.2              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                10.4              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                10.6              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                10.8              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                  11              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                11.2              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                11.4              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                11.6              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                11.8              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                  12              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                12.2              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                12.4              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                12.6              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                12.8              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                  13              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                13.2              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                13.4              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                13.6              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                13.8              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
                  14              264.745              0.31673            -0.115664             0.219896             0.111797            -0.187785            -0.160311              1.22821 
