            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.47252        2.69202       0.873022       0.857638       0.438021       0.387438      -0.750879      -0.770395 
           0.4        11.0199        2.57164       0.759768       0.734303      0.0543575      0.0116972       -1.14276      -0.878572 
           0.6        16.7165         2.4473       0.659492       0.628023      -0.199684      -0.203258      -0.936507       -0.41644 
           0.8        22.6353        2.32031       0.570291       0.535799      -0.363338      -0.312968      -0.523717       0.131037 
             1        28.8464        2.19162       0.489939       0.454527      -0.464138      -0.353785     -0.0814516       0.582751 
           1.2        35.4159        2.06214       0.416512       0.381642      -0.519743      -0.348065        0.31657       0.884373 
           1.4        42.4032         1.9329        0.34865       0.315344      -0.541241      -0.309643       0.639941        1.02802 
           1.6        49.8588        1.80497       0.285549       0.254527      -0.536038      -0.247827       0.876091        1.02346 
           1.8        57.8213        1.67951       0.226811       0.198617      -0.509733      -0.169743        1.02163       0.889806 
             2        66.3149        1.55755       0.172307       0.147412      -0.467103     -0.0815405        1.07989       0.653306 
           2.2        75.3477        1.43997        0.12205       0.100954      -0.412548      0.0110954        1.05989       0.345749 
           2.4          84.91        1.32749      0.0761286      0.0594359       -0.35022       0.102795       0.975321     0.00221505 
           2.6         94.975        1.22058      0.0346409      0.0231256      -0.283993       0.188586       0.843007      -0.342001 
           2.8        105.499        1.11955    -0.00233933    -0.00769568      -0.217365       0.264091       0.681056       -0.65482 
             3        116.427        1.02449     -0.0347797     -0.0327791      -0.153348       0.325729       0.507005      -0.910423 
           3.2        127.688       0.935362     -0.0627062      -0.051949     -0.0943811       0.370914       0.336225       -1.09138 
           3.4         139.21       0.852022     -0.0861999     -0.0651294     -0.0422733       0.398166       0.180806       -1.18946 
           3.6        150.911       0.774237      -0.105395     -0.0723566      0.0017945       0.407133      0.0490382       -1.20517 
           3.8        162.715       0.701728      -0.120472     -0.0737872      0.0372431       0.398531     -0.0546067       -1.14627 
             4        174.545       0.634194      -0.131655     -0.0696895      0.0640315       0.373991      -0.129063       -1.02567 
           4.2        186.333       0.571331      -0.139202     -0.0604248      0.0825722       0.335848      -0.175986      -0.859107 
           4.4        198.024        0.51283        -0.1434     -0.0464193      0.0936278       0.286887      -0.198937      -0.663038 
           4.6        209.573       0.458399      -0.144561     -0.0281202      0.0982037       0.230063      -0.202555      -0.452771 
           4.8        220.945       0.407757      -0.143006    -0.00594944      0.0974328       0.168238      -0.191794      -0.241185 
             5        232.117       0.360648      -0.139066      0.0197384      0.0924758          0.104      -0.171336     -0.0382244 
           5.2        243.064       0.316851      -0.133068      0.0486802      0.0844426      0.0395905      -0.145223       0.148795 
           5.4        253.756       0.276191      -0.125335      0.0807103        0.07434     -0.0230845      -0.116692       0.314428 
           5.6        264.136       0.238569      -0.116188        0.11567      0.0630517     -0.0821474     -0.0882269       0.453049 
           5.8        274.124       0.203964       -0.10597       0.153315      0.0513874      -0.135711     -0.0618576       0.559632 
             6        283.638        0.17236     -0.0950484       0.193591      0.0400354      -0.182575     -0.0389163       0.632679 
           6.2        292.614       0.143679     -0.0837633       0.236821      0.0294764      -0.221802     -0.0199801       0.669967 
           6.4        301.001       0.117816     -0.0724093       0.283643      0.0200497      -0.252325    -0.00532688       0.669357 
           6.6        308.736      0.0946796     -0.0612445       0.335229        0.01195      -0.273543      0.0052893       0.632367 
           6.8         315.76      0.0741711     -0.0504882       0.393823     0.00521046      -0.284042      0.0126012       0.549319 
             7        321.974      0.0563149     -0.0403447       0.461015   -0.000128267      -0.276082      0.0167031       0.385531 
           7.2        327.268      0.0411924     -0.0310308       0.536508    -0.00391051       -0.23663       0.017174       0.122351 
           7.4        331.576      0.0288438     -0.0227887        0.61826    -0.00601613      -0.153038      0.0143701      -0.216749 
           7.6        334.904      0.0192038     -0.0158395       0.702372     -0.0065335     -0.0160772     0.00955017      -0.557468 
           7.8        337.327       0.012073     -0.0103256       0.782865    -0.00580043       0.171571     0.00450473      -0.750388 
             8        338.983     0.00711904    -0.00626111       0.853123    -0.00437012       0.386148    0.000914349      -0.662473 
