            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        23.7351       0.913058       0.707818       0.471126    -0.00970476      -0.487207      -0.632743       0.147169
           0.4          47.53       0.815939       0.493689       0.145104      -0.268881      -0.409291       0.159116        1.23202
           0.6        71.4192       0.728511       0.334583     -0.0563098      -0.271342     -0.0994703       0.408676       0.477498
           0.8          95.39       0.648745        0.21463       -0.17961      -0.200185       0.136438       0.325162      -0.222075
             1        119.365       0.574977       0.123345      -0.251493      -0.119653       0.268795       0.179386      -0.465736
           1.2        143.193       0.506063      0.0540107      -0.286921      -0.050394       0.324485      0.0668644      -0.450186
           1.4        166.652       0.441364     0.00229135      -0.294263     0.00238016       0.330627     -0.0035764      -0.389818
           1.6        189.457       0.380642     -0.0347917      -0.278243      0.0387332       0.303431     -0.0467987      -0.373791
           1.8        211.282       0.323926     -0.0595032      -0.241554      0.0603311       0.248888     -0.0747074      -0.376907
             2        231.774       0.271435     -0.0737592      -0.185909       0.069211       0.167621     -0.0899832      -0.318334
           2.2        250.579       0.223517     -0.0793626      -0.113007       0.067669      0.0616348     -0.0902311      -0.134383
           2.4        267.406       0.180532     -0.0781742      -0.025119      0.0585351     -0.0610416     -0.0750509       0.169576
           2.6        282.093       0.142659     -0.0720866      0.0753876      0.0449726      -0.186924     -0.0488243       0.517231
           2.8        294.606       0.109858     -0.0628358       0.186533      0.0298998      -0.298023     -0.0189007       0.781281
             3        304.967      0.0820452     -0.0519127       0.305874      0.0157593      -0.370175     0.00656931       0.811944
           3.2         313.26      0.0591069     -0.0405914       0.429537     0.00444648      -0.375925      0.0211716       0.517977
           3.4        319.639      0.0408432     -0.0299299       0.551933    -0.00294287      -0.294829        0.02332      -0.030318
           3.6        324.327       0.026915     -0.0207149       0.666295    -0.00635525      -0.126192      0.0169457      -0.587553
           3.8        327.602      0.0168199      -0.013395       0.766042    -0.00669688       0.104554     0.00841708      -0.873159
             4        329.763     0.00991487    -0.00805938        0.84652    -0.00534931       0.353492     0.00227471       -0.76955
           4.2        331.106     0.00548521    -0.00449671       0.906229    -0.00355313        0.57713   -0.000483553      -0.382354
           4.4        331.886     0.00283408    -0.00231993        0.94684    -0.00203893       0.749198    -0.00103674      0.0828714
           4.6        332.307     0.00136076    -0.00110357        0.97213    -0.00103238       0.864819   -0.000764135        0.47151
           4.8        332.518    0.000603927    -0.00048239       0.986538   -0.000467148       0.933669   -0.000407911       0.730845
             5        332.616      0.0002463   -0.000192922       0.994035   -0.000190186       0.970371   -0.000179382        0.87744
           5.2        332.657    9.16923e-05   -7.01996e-05       0.997589   -6.97923e-05        0.98798   -6.81717e-05       0.949823
           5.4        332.672     3.0926e-05   -2.30823e-05       0.999117   -2.30327e-05       0.995592   -2.28347e-05       0.981526
           5.6        332.677    9.37022e-06   -6.80273e-06        0.99971   -6.79786e-06       0.998548   -6.77841e-06       0.993907
           5.8        332.679    2.52626e-06   -1.78021e-06       0.999915   -1.77983e-06       0.999575   -1.77832e-06       0.998213
             6        332.679    5.99632e-07    -4.0929e-07       0.999978   -4.09268e-07       0.999891   -4.09177e-07       0.999538
           6.2         332.68    1.23828e-07   -8.16953e-08       0.999995   -8.16943e-08       0.999975   -8.16901e-08       0.999896
           6.4         332.68    2.19548e-08   -1.39697e-08       0.999999   -1.39697e-08       0.999995   -1.39695e-08       0.999979
           6.6         332.68    3.29288e-09   -2.01616e-09              1   -2.01616e-09       0.999999   -2.01615e-09       0.999997
           6.8         332.68    4.10888e-10   -2.41506e-10              1   -2.41506e-10              1   -2.41506e-10              1
             7         332.68    4.18616e-11   -2.35607e-11              1   -2.35607e-11              1   -2.35607e-11              1
           7.2         332.68    3.40907e-12   -1.83241e-12              1   -1.83241e-12              1   -1.83241e-12              1
           7.4         332.68    2.16614e-13   -1.10869e-13              1   -1.10869e-13              1   -1.10869e-13              1
           7.6         332.68    1.04162e-14   -5.05183e-15              1   -5.05183e-15              1   -5.05183e-15              1
           7.8         332.68    3.47743e-16   -1.56272e-16              1   -1.56272e-16              1   -1.56272e-16              1
             8         332.68              0              0              1              0              1              0              1
