            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        7.38342        1.15585       0.898476        0.83087       0.545611        0.28333      -0.460432      -0.980839 
           0.4        14.8414        1.11501       0.808785       0.686585       0.227487      -0.135454      -0.903466      -0.940986 
           0.6        22.4409        1.07484       0.729128       0.561714     0.00460737       -0.36808      -0.881026      -0.282337 
           0.8        30.2348        1.03538       0.657554       0.451494      -0.151761      -0.483037      -0.662882       0.449719 
             1        38.2564       0.996626       0.592305       0.352235      -0.260654      -0.520513      -0.376173        1.06419 
           1.2        46.5164       0.958636       0.532051       0.261455      -0.334271      -0.503942      -0.081206        1.50248 
           1.4        55.0021        0.92155       0.475929       0.177716       -0.38056      -0.447862       0.191771         1.7527 
           1.6        63.6777       0.885556       0.423458       0.100329      -0.405092      -0.362476       0.426759        1.82123 
           1.8        72.4872       0.850862       0.374411      0.0290392      -0.412164      -0.255868       0.615737        1.72384 
             2        81.3592       0.817656       0.328694     -0.0361901      -0.405356      -0.134928       0.755912        1.48198 
           2.2        90.2104       0.786097       0.286273     -0.0953331      -0.387769    -0.00566182       0.848143         1.1203 
           2.4        98.9502        0.75631       0.247129      -0.148367      -0.362122       0.126679       0.895731       0.664889 
           2.6        107.482       0.728395       0.211242      -0.195306      -0.330793       0.257516       0.903517       0.142315 
           2.8        115.704       0.702441       0.178595      -0.236199      -0.295868       0.382828        0.87727      -0.420478 
             3        123.506       0.678542       0.149183      -0.271144      -0.259212        0.49909       0.823472      -0.995773 
           3.2        130.782         0.6568       0.123006      -0.300333      -0.222505       0.603395       0.749282       -1.55597 
           3.4        137.439       0.637287       0.100009      -0.324118      -0.187158        0.69386       0.662122       -2.07691 
           3.6        143.413        0.62001      0.0800593      -0.343001      -0.154215       0.769739       0.568778        -2.5409 
           3.8        148.669       0.604918      0.0629512       -0.35756      -0.124358       0.831187       0.474851       -2.93684 
             4        153.185       0.591962      0.0484981      -0.368355     -0.0980597       0.878829        0.38501       -3.25816 
           4.2        156.947       0.581102      0.0365652      -0.375964     -0.0756963       0.913709       0.303426       -3.50268 
           4.4        159.965       0.572283      0.0270135      -0.381006     -0.0574594       0.937515       0.233391       -3.67496 
           4.6        162.285       0.565399      0.0196499      -0.384125     -0.0432868       0.952507       0.176813       -3.78631 
           4.8        163.982       0.560273      0.0142167      -0.385922     -0.0328462       0.961155       0.133928       -3.85206 
             5        165.158       0.556659      0.0104011      -0.386889     -0.0255861       0.965708        0.10348       -3.88762 
           5.2        165.927       0.554262     0.00786446      -0.387385     -0.0208369       0.967907       0.083259       -3.90543 
           5.4        166.398       0.552775     0.00627678      -0.387628     -0.0179248       0.968888      0.0707105       -3.91385 
           5.6        166.667       0.551917     0.00534655      -0.387744     -0.0162569       0.969299      0.0634499       -3.91769 
           5.8         166.81       0.551458     0.00483855      -0.387799     -0.0153686       0.969466      0.0595484       -3.91942 
             6        166.881       0.551233     0.00458257      -0.387826     -0.0149335       0.969525       0.057614       -3.92017 
           6.2        166.912       0.551131     0.00446279      -0.387839     -0.0147358       0.969553      0.0567295       -3.92052 
           6.4        166.925       0.551089      0.0044125      -0.387843     -0.0146546       0.969562      0.0563645       -3.92064 
           6.6         166.93       0.551074     0.00439304      -0.387846     -0.0146246       0.969564      0.0562274       -3.92069 
           6.8        166.932       0.551068     0.00438653      -0.387845     -0.0146133       0.969567      0.0561769       -3.92072 
             7        166.932       0.551066      0.0043842      -0.387846     -0.0146105       0.969567      0.0561632       -3.92072 
           7.2        166.932       0.551066     0.00438349      -0.387846     -0.0146095       0.969567      0.0561589       -3.92072 
           7.4        166.932       0.551066     0.00438366      -0.387846     -0.0146096       0.969566      0.0561582       -3.92072 
           7.6        166.932       0.551066     0.00438355      -0.387846     -0.0146096       0.969566      0.0561583       -3.92071 
           7.8        166.932       0.551066     0.00438346      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
             8        166.932       0.551066     0.00438347      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           8.2        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           8.4        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           8.6        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           8.8        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
             9        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           9.2        166.932       0.551066     0.00438353      -0.387846     -0.0146097       0.969566      0.0561582       -3.92071 
           9.4        166.932           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
           9.6        166.932           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
           9.8        166.932           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            10        166.932           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
