            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2       0.848697        10.5909       0.950206       0.949137       0.760911       0.758304      0.0878107       0.100905 
           0.4        1.71552        10.3324       0.903512       0.902246       0.554149       0.557582      -0.548314      -0.457273 
           0.6        2.61879        10.0159       0.860377       0.859707       0.377353       0.393542      -0.975803      -0.771688 
           0.8        3.57716        9.64949       0.820533       0.821189       0.225527       0.259624       -1.25394      -0.921801 
             1        4.60963        9.24215       0.783332       0.785968      0.0934501       0.149202       -1.42437       -0.96332 
           1.2        5.73558        8.80341         0.7481       0.753264     -0.0229195      0.0568995       -1.51251      -0.931882 
           1.4        6.97452        8.34339       0.714314       0.722431      -0.126191     -0.0211376       -1.53353      -0.849847 
           1.6        8.34573         7.8724       0.681664       0.693006      -0.217849      -0.087504       -1.49754      -0.731874 
           1.8        9.86815        7.39985       0.649968       0.664676      -0.298733       -0.14394        -1.4128      -0.588359 
             2        11.5595        6.93424       0.619152        0.63723      -0.369394      -0.191639       -1.28715      -0.427253 
           2.2        13.4361        6.48258       0.589178       0.610532      -0.430269      -0.231454       -1.12838      -0.255038 
           2.4         15.512        6.05026       0.560054       0.584493       -0.48178      -0.264022      -0.944274     -0.0772474 
           2.6        17.7983        5.64124       0.531787       0.559058        -0.5244       -0.28984      -0.742426       0.101226 
           2.8        20.3027        5.25805       0.504404         0.5342       -0.55864      -0.309319      -0.530062       0.275956 
             3         23.029        4.90197       0.477928       0.509915      -0.585059      -0.322823      -0.313791       0.442904 
           3.2         25.977        4.57335       0.452393       0.486213      -0.604269      -0.330695     -0.0995075       0.598428 
           3.4        29.1428        4.27163       0.427813       0.463116      -0.616893      -0.333282       0.107753       0.739298 
           3.6        32.5188        3.99581       0.404208       0.440649      -0.623585      -0.330941       0.303902       0.862783 
           3.8        36.0948        3.74434       0.381581       0.418841      -0.624986      -0.324047       0.485753       0.966667 
             4        39.8578        3.51556       0.359934       0.397722      -0.621728      -0.312993       0.651007        1.04929 
           4.2        43.7931        3.30763       0.339263       0.377319      -0.614415      -0.298191       0.798142        1.10955 
           4.4        47.8849        3.11868       0.319557       0.357659      -0.603604      -0.280059       0.926311        1.14693 
