            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        5.87806        1.37815       0.914968       0.874153       0.610773       0.445888      -0.322186      -0.699277
           0.4        11.8167        1.33693       0.838392       0.763442       0.318999      0.0771914      -0.872453       -1.01054
           0.6        17.8729        1.29514       0.769466       0.665358       0.100683      -0.163406       -1.00322      -0.726813
           0.8        24.0962        1.25298       0.706897       0.577112     -0.0635091      -0.316034      -0.915973      -0.231528
             1         30.526         1.2106       0.649306       0.496177      -0.187604       -0.40648      -0.719194       0.301942
           1.2        37.1885        1.16819       0.595532       0.420659      -0.280974      -0.450411      -0.470981       0.794604
           1.4        44.0952          1.126       0.544769       0.349362      -0.349678      -0.457422      -0.204767        1.20599
           1.6        51.2421        1.08434       0.496543       0.281683      -0.397766      -0.433985      0.0578278        1.51219
           1.8        58.6104        1.04355       0.450624       0.217427      -0.428233      -0.385197        0.30161        1.69908
             2        66.1673        1.00392       0.406935       0.156649      -0.443558      -0.315636       0.515857        1.76061
           2.2        73.8679       0.965715       0.365484      0.0995298      -0.445981        -0.2297       0.693551        1.69809
           2.4        81.6573       0.929133       0.326318      0.0462984      -0.437606      -0.131683       0.830892        1.51929
           2.6        89.4724       0.894327       0.289495    -0.00282045      -0.420434     -0.0257433       0.926829        1.23732
           2.8        97.2443       0.861407        0.25507     -0.0476365      -0.396357       0.084168        0.98256       0.869391
             3          104.9       0.830452       0.223088     -0.0880173      -0.367149       0.194388        1.00105       0.435655
           3.2        112.365       0.801521       0.193579      -0.123894      -0.334441        0.30163       0.986607     -0.0419755
           3.4        119.562       0.774659        0.16655      -0.155276      -0.299717       0.403053       0.944435      -0.541018
           3.6         126.42       0.749901       0.141992      -0.182244      -0.264297       0.496325       0.880333       -1.03944
           3.8        132.865       0.727281       0.119875      -0.204968      -0.229343       0.579687       0.800382       -1.51695
             4        138.838       0.706814       0.100142      -0.223707      -0.195825       0.652059       0.710613       -1.95649
           4.2         144.29       0.688493      0.0827045      -0.238813      -0.164506       0.713072       0.616644       -2.34575
           4.4        149.189       0.672279      0.0674395      -0.250701      -0.135916       0.763021       0.523261       -2.67784
