                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.92522              2.04054             0.941959              0.92839             0.725614             0.667193          -0.00840226            -0.172348 
                 0.4              5.89864              1.99164             0.888192             0.862576             0.498895             0.404652            -0.613024            -0.751274 
                 0.6               8.9673              1.93658              0.83876             0.802197             0.312738             0.198651            -0.942009            -0.959526 
                 0.8              12.1758              1.87649             0.793133             0.746281              0.15904            0.0362693              -1.0896            -0.943946 
                   1              15.5646              1.81254             0.750499             0.693609            0.0305963           -0.0927277             -1.11735            -0.792624 
                 1.2              19.1686              1.74593             0.710054             0.643061           -0.0779577             -0.19534             -1.06289            -0.556827 
                 1.4              23.0149              1.67794             0.671187             0.593801            -0.170145            -0.275833             -0.94967             -0.26872 
                 1.6              27.1213              1.60978              0.63352             0.545324            -0.248126            -0.336627             -0.79404            0.0479134 
                 1.8              31.4948               1.5426             0.596864             0.497403            -0.313242            -0.379117            -0.609078             0.372673 
                   2              36.1314              1.47735             0.561162             0.450028            -0.366428            -0.404279            -0.406273             0.686914 
                 2.2              41.0152              1.41476             0.526451             0.403335             -0.40848             -0.41305            -0.195981             0.973799 
                 2.4              46.1204              1.35539             0.492813             0.357563            -0.440192            -0.406536            0.0126702              1.21899 
                 2.6              51.4117              1.29956              0.46035             0.312997            -0.462433            -0.386119             0.211986              1.41143 
                 2.8              56.8468              1.24745             0.429174             0.269944            -0.476143            -0.353448              0.39591              1.54384 
                   3              62.3784               1.1991             0.399393             0.228696            -0.482338            -0.310395             0.560094              1.61286 
                 3.2              67.9563              1.15444               0.3711             0.189514            -0.482061            -0.258962             0.701856              1.61888 
                 3.4              73.5293              1.11335             0.344375             0.152614            -0.476367            -0.201201             0.819992              1.56545 
                 3.6              79.0467              1.07566             0.319277             0.118157            -0.466282             -0.13911             0.914584              1.45864 
                 3.8              84.4598               1.0412             0.295848            0.0862536             -0.45278           -0.0745659             0.986713               1.3063 
                   4              89.7221              1.00979              0.27411            0.0569601            -0.436766          -0.00927465              1.03821              1.11733 
                 4.2              94.7897              0.98126              0.25407             0.030288            -0.419072            0.0552599              1.07143             0.901104 
                 4.4              99.6214             0.955471             0.235719           0.00621123            -0.400441             0.117752              1.08903             0.667016 
                 4.6              104.179             0.932291             0.219037           -0.0153251            -0.381527             0.177137               1.0938             0.423981 
                 4.8              108.426             0.911606             0.203994            -0.034405            -0.362896             0.232576              1.08853             0.180201 
                   5              112.335             0.893303             0.190546           -0.0511387            -0.345014             0.283455              1.07591           -0.0572032 
                 5.2              115.882             0.877263             0.178636           -0.0656589            -0.328251             0.329374              1.05833            -0.282365 
                 5.4              119.051             0.863367             0.168195           -0.0781106            -0.312869             0.370144               1.0379            -0.490843 
                 5.6              121.836             0.851482             0.159143           -0.0886514            -0.299053              0.40573              1.01635             -0.67948 
