            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        3.69154        2.01683        0.92847       0.911683       0.666272        0.59664      -0.187644      -0.360231 
           0.4        7.44251        1.96027       0.862903       0.831623       0.401017       0.294948      -0.805976      -0.891623 
           0.6        11.3108        1.89836       0.803087       0.758965       0.191221      0.0710821       -1.06771      -0.960158 
           0.8        15.3512        1.83215       0.748217       0.692288       0.024447     -0.0946948       -1.11402      -0.783433 
             1        19.6133        1.76272       0.697235        0.63002      -0.109364      -0.216773        -1.0305      -0.482013 
           1.2        24.1395         1.6912       0.649164       0.570792       -0.21734      -0.304574      -0.867109      -0.122634 
           1.4         28.963        1.61874       0.603273       0.513619      -0.304093      -0.363826      -0.654417       0.253693 
           1.6        34.1055        1.54648       0.559111       0.457918      -0.372544      -0.397988      -0.413603       0.617129 
           1.8        39.5763        1.47545        0.51645       0.403437      -0.424646      -0.409381      -0.161356       0.943148 
             2        45.3709        1.40655       0.475218       0.350176      -0.461903      -0.399919      0.0883211        1.21114 
           2.2        51.4716        1.34045       0.435437       0.298302      -0.485677      -0.371543       0.323686        1.40477 
           2.4        57.8483        1.27765       0.397181       0.248084      -0.497324      -0.326419       0.535376        1.51274 
           2.6        64.4602        1.21843       0.360543       0.199844       -0.49826      -0.266998       0.716528        1.52934 
           2.8        71.2583        1.16295       0.325621       0.153914      -0.489942      -0.195972       0.862807        1.45441 
             3        78.1874        1.11122       0.292503       0.110606      -0.473856      -0.116193        0.97224        1.29303 
           3.2         85.189        1.06318       0.261261      0.0701877      -0.451463      -0.030532        1.04493        1.05456 
           3.4        92.2035         1.0187       0.231948      0.0328656      -0.424171      0.0582244         1.0827       0.751667 
           3.6         99.173       0.977611       0.204595    -0.00122214      -0.393293       0.147503        1.08864       0.399065 
           3.8        106.043       0.939725       0.179207     -0.0320102      -0.360025       0.235025        1.06674      0.0124236 
             4        112.763       0.904857       0.155763     -0.0595079      -0.325426       0.318878        1.02151      -0.392772 
           4.2        119.284        0.87284       0.134229     -0.0837737      -0.290412       0.397508       0.957624      -0.801921 
           4.4        125.557       0.843536       0.114565      -0.104902      -0.255778       0.469696       0.879736       -1.20172 
           4.6        131.531        0.81685       0.096732      -0.123018      -0.222225       0.534517       0.792404       -1.58037 
           4.8        137.154       0.792714      0.0806903      -0.138287      -0.190356       0.591398       0.699993       -1.92813 
             5        142.379       0.771058      0.0663823      -0.150928      -0.160653       0.640169       0.606465       -2.23818 
           5.2        147.172       0.751788      0.0537312      -0.161202      -0.133436       0.681047       0.515085       -2.50697 
           5.4        151.512       0.734784      0.0426305      -0.169393      -0.108872       0.714545       0.428299        -2.7339 
           5.6        155.385       0.719915      0.0329694      -0.175777     -0.0870198       0.741309       0.347828        -2.9201 
           5.8        158.788       0.707052      0.0246355      -0.180618     -0.0678641       0.762062       0.274848       -3.06807 
             6        161.711       0.696109      0.0175532       -0.18415     -0.0514146       0.777498       0.210417       -3.18054 
           6.2        164.147       0.687035      0.0116839      -0.186594     -0.0377021       0.788313        0.15549       -3.26099 
           6.4        166.101       0.679747     0.00697597      -0.188184     -0.0266832       0.795336       0.110576       -3.31435 
           6.6        167.601       0.674125     0.00334575      -0.189148     -0.0182082       0.799498      0.0756009        -3.3467 
           6.8        168.697       0.669988     0.00067503       -0.18969     -0.0120108       0.801689      0.0497967       -3.36442 
             7        169.453       0.667108     -0.0011919      -0.189977    -0.00772448         0.8027      0.0318593       -3.37308 
           7.2        169.943       0.665222    -0.00242257       -0.19012    -0.00493754       0.803086      0.0201495       -3.37684 
           7.4        170.241       0.664071    -0.00318504      -0.190191    -0.00324038       0.803195      0.0130025       -3.37829 
           7.6         170.41       0.663416    -0.00362644      -0.190226    -0.00227754       0.803208     0.00894084        -3.3788 
           7.8        170.497       0.663073    -0.00386284      -0.190242    -0.00177246       0.803197     0.00680412       -3.37894 
             8         170.54       0.662908    -0.00398008      -0.190249    -0.00152671       0.803188     0.00576389       -3.37901 
           8.2        170.558       0.662836    -0.00403361      -0.190253    -0.00141877       0.803181     0.00530447       -3.37901 
           8.4        170.565       0.662807     -0.0040556      -0.190255    -0.00137514       0.803178     0.00511716       -3.37902 
           8.6        170.568       0.662796    -0.00406434      -0.190256    -0.00135905       0.803177     0.00504727       -3.37903 
           8.8        170.569       0.662793    -0.00406642      -0.190255    -0.00135382       0.803176     0.00502769       -3.37902 
             9        170.569       0.662792    -0.00406727      -0.190254    -0.00135167       0.803176     0.00501855       -3.37902 
           9.2        170.569       0.662792    -0.00406761      -0.190254     -0.0013511       0.803177     0.00501706       -3.37903 
           9.4        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501766       -3.37903 
           9.6        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501741       -3.37903 
           9.8        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
            10        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
          10.2        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
          10.4        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
          10.6        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
          10.8        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
            11        170.569       0.662792    -0.00406769      -0.190255    -0.00135112       0.803177     0.00501742       -3.37903 
          11.2        170.569           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.4        170.569           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.6        170.569           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.8        170.569           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            12        170.569           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
