            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.19818        2.81802       0.946196       0.939311       0.744193        0.71472      0.0469573     -0.0336186 
           0.4        4.42674        2.75656       0.896231       0.883361       0.529745       0.483232      -0.556027       -0.61234 
           0.6        6.71588        2.68687       0.850345       0.832203       0.351575       0.297179      -0.911148      -0.887103 
           0.8        9.09523        2.61007       0.808143       0.785243         0.2029        0.14723       -1.09867      -0.967196 
             1        11.5935        2.52731       0.768891       0.741546      0.0772257      0.0251372       -1.17314       -0.92298 
           1.2        14.2377        2.43981       0.731834       0.700167     -0.0304998     -0.0752664       -1.16845      -0.796969 
           1.4        17.0524        2.34895       0.696362       0.660343      -0.123714      -0.158088       -1.10537      -0.615293 
           1.6        20.0581         2.2562       0.662068       0.621532      -0.204573      -0.225865      -0.997646      -0.395743 
           1.8        23.2709        2.16298       0.628708       0.583403      -0.274397      -0.280113      -0.855673      -0.152258 
             2        26.7007        2.07068       0.596166       0.545778      -0.334033      -0.321753      -0.688338       0.102938 
           2.2        30.3504         1.9805        0.56441       0.508597      -0.384091      -0.351401      -0.503771       0.358482 
           2.4        34.2157        1.89342       0.533453       0.471892      -0.425086      -0.369575       -0.30957       0.603701 
           2.6        38.2848        1.81022       0.503353       0.435754       -0.45754       -0.37682      -0.112753       0.828828 
           2.8        42.5388        1.73145       0.474176        0.40032      -0.482021       -0.37379      0.0803862        1.02534 
             3        46.9534        1.65744       0.445997       0.365754       -0.49915      -0.361277       0.264506        1.18638 
           3.2        51.4991        1.58834       0.418887       0.332227      -0.509612      -0.340229       0.435297        1.30704 
           3.4        56.1436        1.52415       0.392909       0.299907      -0.514134       -0.31172       0.589564        1.38451 
           3.6        60.8529        1.46476       0.368119       0.268946      -0.513461      -0.276912       0.725204        1.41805 
           3.8        65.5929        1.40996       0.344562       0.239477       -0.50834      -0.237013        0.84112        1.40883 
             4        70.3313        1.35947       0.322269       0.211599      -0.499496      -0.193227       0.937097        1.35963 
           4.2        75.0381          1.313       0.301261       0.185381      -0.487623      -0.146701        1.01366        1.27449 
           4.4        79.6872        1.27024       0.281545       0.160858      -0.473361     -0.0984984         1.0719        1.15828 
           4.6        84.2562        1.23088       0.263116       0.138028        -0.4573     -0.0495615        1.11334         1.0163 
           4.8        88.7264        1.19463       0.245953       0.116868      -0.439961   -0.000693105        1.13975       0.853946 
             5        93.0818        1.16122       0.230029      0.0973311      -0.421807      0.0474318        1.15308       0.676462 
           5.2        97.3073        1.13046       0.215308      0.0793562      -0.403254      0.0942488         1.1553       0.488817 
           5.4        101.386        1.10217       0.201753      0.0628844      -0.384661       0.139294        1.14838       0.295565 
           5.6        105.299        1.07624        0.18933      0.0478616      -0.366361       0.182161         1.1342       0.100969 
           5.8        109.021        1.05261       0.178012       0.034243      -0.348645       0.222493        1.11459      -0.091058 
             6        112.526        1.03123       0.167774      0.0219915      -0.331782       0.259973        1.09122      -0.276925 
           6.2        115.786        1.01207       0.158595      0.0110687      -0.315998       0.294342        1.06568      -0.453402 
           6.4        118.775       0.995092       0.150453     0.00143522      -0.301487       0.325403        1.03938      -0.617729 
           6.6         121.47       0.980254       0.143318    -0.00695499      -0.288398       0.353027        1.01353      -0.767669 
           6.8        123.857       0.967477        0.13715     -0.0141617      -0.276812       0.377195       0.989105      -0.901776 
             7        125.916       0.956712       0.131926     -0.0202159      -0.266806       0.397839       0.966871        -1.0186 
           7.2        127.626       0.947937       0.127641     -0.0251299      -0.258454       0.414837        0.94744       -1.11668 
           7.4        128.983        0.94107       0.124265     -0.0289525      -0.251772        0.42822       0.931258       -1.19531 
           7.6        130.002       0.935955       0.121733     -0.0317755      -0.246688       0.438206       0.918506       -1.25501 
           7.8        130.723       0.932355        0.11994     -0.0337454      -0.243046       0.445219       0.909101       -1.29757 
             8        131.199       0.929982       0.118752     -0.0350332      -0.240611       0.449825       0.902666       -1.32585 
           8.2        131.491        0.92853       0.118019     -0.0358164      -0.239103       0.452634       0.898616       -1.34326 
           8.4        131.656       0.927709       0.117603     -0.0362572      -0.238241       0.454219       0.896276       -1.35316 
           8.6        131.741       0.927284       0.117384     -0.0364863      -0.237793       0.455042       0.895049       -1.35831 
           8.8        131.782       0.927083        0.11728      -0.036594      -0.237579       0.455431       0.894467       -1.36075 
             9        131.799       0.926997       0.117235     -0.0366407      -0.237487       0.455597       0.894216       -1.36179 
           9.2        131.806       0.926964       0.117218     -0.0366579      -0.237451       0.455662       0.894116        -1.3622 
           9.4        131.808       0.926953       0.117212     -0.0366636      -0.237439       0.455683       0.894083       -1.36234 
           9.6        131.809        0.92695        0.11721     -0.0366657      -0.237435        0.45569       0.894074       -1.36238 
           9.8        131.809       0.926949       0.117209     -0.0366659      -0.237434       0.455691       0.894069       -1.36239 
            10        131.809       0.926949       0.117209     -0.0366661      -0.237434       0.455691       0.894069       -1.36239 
          10.2        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          10.4        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          10.6        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          10.8        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
            11        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          11.2        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          11.4        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          11.6        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          11.8        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
            12        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          12.2        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          12.4        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
          12.6        131.809       0.926949       0.117209      -0.036666      -0.237434       0.455691       0.894068       -1.36239 
