            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        2.74471        2.78679       0.934327       0.925935       0.691241       0.656639      -0.119368      -0.202059
           0.4        5.52689        2.71615       0.873863       0.858399       0.440655       0.389422      -0.751082      -0.773724
           0.6        8.38368        2.63814       0.818664       0.797166       0.238745       0.183552       -1.06197      -0.959851
           0.8        11.3515        2.55386       0.768115       0.741345      0.0752599      0.0249573       -1.17047      -0.921268
             1        14.4656         2.4644       0.721277       0.689736     -0.0586606     -0.0977218       -1.15159      -0.754234
           1.2        17.7587        2.37093       0.677243       0.641193      -0.169556      -0.192561       -1.04984      -0.514241
           1.4        21.2605        2.27475       0.635283       0.594806      -0.261779      -0.264825      -0.892069      -0.234761
           1.6         24.996        2.17724       0.594922       0.549945      -0.338071      -0.317806      -0.696192      0.0613425
           1.8        28.9845        2.07975       0.555875       0.506224      -0.400182      -0.353582      -0.475919        0.35614
             2        33.2377        1.98359       0.518015       0.463448      -0.449323      -0.373571      -0.242926       0.634227
           2.2        37.7593        1.88987       0.481297       0.421557      -0.486465      -0.378896    -0.00758206       0.882019
           2.4        42.5444        1.79952       0.445748       0.380597      -0.512494      -0.370612       0.220893        1.08775
           2.6        47.5791        1.71324        0.41142       0.340682      -0.528321      -0.349849       0.434611        1.24193
           2.8        52.8418        1.63151       0.378381       0.301971      -0.534904      -0.317883       0.627171        1.33769
             3        58.3036        1.55463       0.346704        0.26465      -0.533259      -0.276149        0.79382        1.37119
           3.2        63.9305        1.48271        0.31645       0.228907       -0.52444      -0.226227       0.931475        1.34169
           3.4        69.6848        1.41573       0.287671       0.194923      -0.509517        -0.1698        1.03864        1.25142
           3.6        75.5268        1.35355       0.260408       0.162856      -0.489544      -0.108585        1.11526        1.10526
           3.8        81.4173        1.29595       0.234686       0.132834      -0.465536     -0.0442792        1.16245       0.910259
             4        87.3187        1.24266       0.210519       0.104949      -0.438439      0.0215192        1.18231       0.674932
           4.2         93.197        1.19339       0.187905      0.0792487      -0.409132      0.0873505        1.17761       0.408672
           4.4        99.0242        1.14781       0.166825      0.0557355      -0.378379       0.151975        1.15155       0.120964
           4.6        104.778        1.10562       0.147243      0.0343733      -0.346847       0.214377         1.1075      -0.179141
           4.8        110.443        1.06649       0.129106      0.0150835      -0.315082       0.273789         1.0488      -0.483603
             5        116.009        1.03016       0.112342    -0.00223704       -0.28353       0.329665       0.978597      -0.785532
           5.2        121.468       0.996353       0.096877     -0.0176976       -0.25253       0.381634       0.899716       -1.07929
           5.4        126.806       0.964909       0.082638     -0.0313989      -0.222373       0.429415       0.814714       -1.36003
           5.6        131.991       0.935771      0.0695887     -0.0434074       -0.19338       0.472662       0.726097       -1.62291
           5.8         136.97       0.909014      0.0577357     -0.0537708      -0.165941       0.511077       0.636679       -1.86341
             6        141.694        0.88469      0.0470773     -0.0625926      -0.140379       0.544624       0.549033       -2.07899
