                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              8.53044             0.983985             0.885388             0.782343             0.499366             0.113922             -0.51485             -1.18763 
                 0.4              17.0744             0.947053             0.787994             0.606791             0.178579            -0.326455            -0.813789            -0.746505 
                 0.6              25.6362             0.913293             0.704615             0.462836           -0.0291349            -0.525751            -0.679054             0.155407 
                 0.8              34.2025             0.882278             0.632336             0.342257            -0.165184            -0.593687            -0.417373             0.921181 
                   1               42.736             0.853603               0.5688             0.239113            -0.254597            -0.587895            -0.141971              1.44409 
                 1.2              51.1714             0.826987             0.512337             0.149478            -0.312422            -0.538977             0.108245              1.74616 
                 1.4              59.4165             0.802308             0.461901            0.0709451            -0.348017            -0.464272             0.321582              1.87186 
                 1.6              67.3579             0.779574             0.416888           0.00209116            -0.367637             -0.37475             0.496335              1.86297 
                 1.8              74.8713             0.758869             0.376961           -0.0579409            -0.375807            -0.278176              0.63474              1.75502 
                   2              81.8341             0.740293             0.341906            -0.109749            -0.376022            -0.180473             0.740738              1.57823 
                 2.2              88.1399             0.723931             0.311529            -0.153843            -0.371049           -0.0862482             0.819046              1.35865 
                 2.4              93.7124             0.709806             0.285601            -0.190771            -0.363076           0.00106611             0.874653              1.11871 
                 2.6              98.5141             0.697874             0.263816            -0.221162            -0.353768            0.0791821             0.912439             0.876893 
                 2.8              102.546             0.688027             0.245807            -0.245711            -0.344318             0.146863             0.936822             0.647359 
                   3               105.83             0.680119              0.23122            -0.265077             -0.33553             0.203546             0.951459             0.440576 
                 3.2              108.412             0.673976             0.219725            -0.279898            -0.327902             0.249207             0.959319              0.26375 
                 3.4              110.357             0.669389             0.210968            -0.290834            -0.321693             0.284393             0.962797             0.120628 
                 3.6              111.756             0.666122              0.20457            -0.298564            -0.316959             0.310165             0.963745            0.0115141 
                 3.8              112.709             0.663918             0.200119            -0.303758            -0.313585             0.328014             0.963484           -0.0665053 
                   4               113.32             0.662522             0.197191            -0.307062            -0.311351             0.339637             0.962847            -0.118556 
                 4.2              113.688             0.661695             0.195383            -0.309032            -0.309977             0.346722             0.962236            -0.150888 
                 4.4              113.894             0.661242             0.194342            -0.310131            -0.309202             0.350738             0.961806            -0.169466 
                 4.6              114.001             0.661013             0.193786              -0.3107            -0.308798             0.352852             0.961552            -0.179316 
                 4.8              114.052             0.660907             0.193511            -0.310972            -0.308607             0.353875             0.961421             -0.18412 
                   5              114.075             0.660863             0.193388            -0.311089            -0.308523             0.354326             0.961357            -0.186264 
                 5.2              114.083             0.660846             0.193337            -0.311135            -0.308491             0.354508             0.961332            -0.187123 
                 5.4              114.087             0.660841             0.193318            -0.311152            -0.308478             0.354577             0.961323            -0.187448 
                 5.6              114.088             0.660839             0.193312            -0.311158            -0.308476             0.354598             0.961321            -0.187543 
                 5.8              114.088             0.660838             0.193311            -0.311159            -0.308474             0.354604             0.961319            -0.187583 
                   6              114.088             0.660838              0.19331             -0.31116            -0.308474             0.354605             0.961318            -0.187593 
                 6.2              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354605             0.961318            -0.187594 
                 6.4              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 6.6              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 6.8              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                   7              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 7.2              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 7.4              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 7.6              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                 7.8              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
                   8              114.088             0.660838              0.19331            -0.311159            -0.308474             0.354606             0.961318            -0.187595 
