                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              11.6187             0.970191             0.849422             0.716362             0.370201           -0.0794313            -0.705067              -1.1725 
                 0.4              23.2607               0.9223             0.726627             0.500232             0.020098            -0.487196            -0.737695           -0.0939607 
                 0.6              34.9379             0.879106             0.624453              0.32998            -0.176455            -0.591974            -0.380261             0.993416 
                 0.8              46.6395             0.839656             0.537531             0.191315            -0.285306            -0.555683           0.00170201              1.60292 
                   1              58.3253             0.803175             0.462044            0.0751028            -0.341299            -0.450422             0.317339              1.79484 
                 1.2              69.9209             0.769137             0.395448           -0.0242518            -0.363443            -0.309661             0.553313              1.68538 
                 1.4              81.3204             0.737253             0.336151             -0.11004            -0.362787            -0.150584             0.715457              1.36218 
                 1.6              92.3919             0.707406             0.283188             -0.18415            -0.346355            0.0163834             0.812806             0.884276 
                 1.8              102.987               0.6796             0.235975            -0.247667            -0.319091             0.183509             0.853898              0.29456 
                   2               112.94             0.653921             0.194189            -0.301193            -0.284852             0.343904             0.846707            -0.367681 
                 2.2              122.075             0.630562             0.157718            -0.345112            -0.247045             0.490861             0.800215             -1.05723 
                 2.4              130.237             0.609752             0.126478            -0.380007            -0.208762             0.619006             0.725709             -1.72557 
                 2.6              137.346              0.59159             0.100177            -0.406863            -0.172358             0.725681             0.634906             -2.33318 
                 2.8              143.393             0.576021            0.0783525            -0.426867            -0.139313             0.810613             0.537829             -2.85402 
                   3              148.399             0.562955            0.0605722            -0.441156             -0.11056             0.874817             0.442747              -3.2727 
                 3.2              152.406              0.55229            0.0464506             -0.45085           -0.0866452             0.920412             0.356334             -3.58532 
                 3.4              155.491             0.543887             0.035594            -0.457038           -0.0677135             0.950553             0.283253             -3.80029 
                 3.6              157.761              0.53755            0.0275697            -0.460738           -0.0535201             0.968982             0.225733             -3.93584 
                 3.8              159.348             0.533012            0.0219035            -0.462815           -0.0434839             0.979392             0.183604             -4.01441 
                   4              160.398             0.529949            0.0181055            -0.463916           -0.0368137              0.98485              0.15488             -4.05668 
                 4.2               161.05             0.528012            0.0156997            -0.464475           -0.0326562              0.98754             0.136626             -4.07819 
                 4.4               161.43              0.52687            0.0142687            -0.464752            -0.030236             0.988807             0.125828             -4.08875 
                 4.6              161.636             0.526248            0.0134738            -0.464886           -0.0289255             0.989377             0.119894             -4.09375 
                 4.8              161.739             0.525934            0.0130638             -0.46495           -0.0282683              0.98963             0.116879             -4.09608 
                   5              161.787             0.525789            0.0128684            -0.464978           -0.0279634             0.989736             0.115462             -4.09711 
                 5.2              161.807             0.525727            0.0127836             -0.46499           -0.0278355              0.98978             0.114861             -4.09754 
                 5.4              161.814             0.525704            0.0127499            -0.464994           -0.0277856             0.989793             0.114619             -4.09772 
                 5.6              161.817             0.525696             0.012738            -0.464996           -0.0277694             0.989799              0.11454             -4.09777 
                 5.8              161.818             0.525693            0.0127342            -0.464997           -0.0277646             0.989798             0.114515             -4.09778 
                   6              161.818             0.525693            0.0127329            -0.464997           -0.0277629             0.989799             0.114506              -4.0978 
                 6.2              161.818             0.525693             0.012733            -0.464996           -0.0277625             0.989798             0.114502              -4.0978 
                 6.4              161.818             0.525693            0.0127332            -0.464996           -0.0277623             0.989798             0.114502              -4.0978 
                 6.6              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114502              -4.0978 
                 6.8              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114502              -4.0978 
                   7              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114503              -4.0978 
                 7.2              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114503              -4.0978 
                 7.4              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114503              -4.0978 
                 7.6              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114503              -4.0978 
                 7.8              161.818             0.525693            0.0127332            -0.464996           -0.0277624             0.989798             0.114503              -4.0978 
                   8              161.818                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
