            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        7.66238       0.972081       0.918237       0.839731       0.628677       0.307423      -0.237725       -1.01763
           0.4        15.3908       0.945672       0.844452       0.700677       0.354422      -0.124832      -0.710013        -1.1623
           0.6        23.2458       0.920618       0.777497       0.578989        0.15122      -0.383581      -0.787223      -0.605761
           0.8        31.2774       0.896614       0.715985       0.470877   -0.000333079      -0.526344      -0.669083       0.127374
             1        39.5209       0.873298        0.65861       0.373176       -0.11359      -0.588953      -0.459463       0.817796
           1.2        47.9936       0.850364       0.604373       0.283662      -0.197197      -0.593246      -0.213547        1.37551
           1.4        56.6929        0.82761       0.552665       0.201013      -0.256718      -0.553267      0.0366001        1.76297
           1.6        65.5954       0.804957       0.503222       0.124597      -0.295988      -0.479201       0.270355        1.96701
           1.8        74.6575       0.782424       0.456012      0.0542096      -0.318016      -0.379443       0.473978        1.98961
             2        83.8167       0.760102       0.411146     -0.0101379      -0.325454      -0.261451       0.638897        1.84388
           2.2        92.9944       0.738126       0.368797     -0.0683509      -0.320789      -0.131996       0.760822        1.55112
           2.4        102.099       0.716661       0.329147      -0.120351      -0.306416     0.00278555        0.83899        1.13809
           2.6        111.033       0.695878       0.292358      -0.166114      -0.284609       0.137446       0.875425       0.634856
           2.8        119.693       0.675951       0.258555      -0.205711      -0.257494       0.267294       0.874274      0.0730498
             3         127.98       0.657044       0.227816      -0.239304      -0.227018       0.388422       0.841151      -0.515554
           3.2        135.797       0.639315       0.200184      -0.267162      -0.194924       0.497776       0.782688       -1.10036
           3.4        143.055       0.622907       0.175657      -0.289656      -0.162738       0.593206       0.706062       -1.65368
           3.6        149.682       0.607937       0.154177       -0.30728      -0.131726       0.673636       0.618532       -2.15322
           3.8         155.63       0.594484       0.135623       -0.32064      -0.102847       0.739066       0.526748       -2.58434
             4         160.88        0.58257       0.119809       -0.33039     -0.0767248       0.790407       0.436179       -2.94052
           4.2         165.43       0.572179       0.106515      -0.337183      -0.053709       0.829151        0.35097        -3.2219
           4.4          169.3        0.56327      0.0955106      -0.341633     -0.0339409        0.85711       0.274033       -3.43359
           4.6        172.515       0.555792      0.0865787      -0.344308      -0.017436       0.876231       0.207327        -3.5842
           4.8        175.109       0.549687      0.0795117      -0.345722    -0.00411173       0.888457       0.151917       -3.68458
             5        177.131       0.544866      0.0740846      -0.346321     0.00624084       0.895647       0.107898       -3.74683
           5.2        178.647       0.541206      0.0700651      -0.346461      0.0139446       0.899447      0.0745599       -3.78243
           5.4        179.733       0.538553      0.0672081       -0.34639      0.0194116       0.901179      0.0505404       -3.80115
           5.6        180.472       0.536725      0.0652691      -0.346264       0.023095         0.9018      0.0341339       -3.81018
           5.8        180.948       0.535538      0.0640227       -0.34615      0.0254403       0.901912      0.0235547       -3.81418
             6        181.236       0.534812      0.0632671      -0.346073      0.0268448       0.901849      0.0171413       -3.81583
           6.2          181.4         0.5344      0.0628387      -0.346026      0.0276339        0.90176       0.013503       -3.81647
           6.4        181.486       0.534182      0.0626122      -0.346003      0.0280456       0.901691      0.0115828        -3.8167
           6.6        181.527       0.534075      0.0625016      -0.345993       0.028245       0.901651       0.010644        -3.8168
           6.8        181.546       0.534027      0.0624521      -0.345988      0.0283343       0.901633      0.0102239       -3.81685
             7        181.554       0.534008       0.062432      -0.345987      0.0283695       0.901621      0.0100528       -3.81685
           7.2        181.557          0.534      0.0624241      -0.345987      0.0283828       0.901621     0.00999178       -3.81687
           7.4        181.558       0.533998      0.0624217      -0.345986      0.0283873        0.90162     0.00996963       -3.81687
           7.6        181.558       0.533997      0.0624208      -0.345986      0.0283888       0.901619     0.00996215       -3.81687
           7.8        181.558       0.533997      0.0624207      -0.345986      0.0283892        0.90162     0.00996059       -3.81688
             8        181.558       0.533997      0.0624206      -0.345986      0.0283891       0.901619     0.00996053       -3.81688
           8.2        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618      0.0099607       -3.81687
           8.4        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996054       -3.81687
           8.6        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
           8.8        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
             9        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
           9.2        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
           9.4        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
           9.6        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
           9.8        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
            10        181.558       0.533997      0.0624208      -0.345986      0.0283889       0.901618     0.00996055       -3.81687
