            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        6.04799       0.988805       0.966765       0.934173       0.840632       0.690972       0.393633      -0.115585
           0.4        12.1084       0.978118       0.935685       0.873786       0.703646       0.442305     -0.0239893      -0.725141
           0.6        18.1937        0.96807       0.907022       0.819102       0.587263       0.245138      -0.300212      -0.998257
           0.8        24.3166       0.958634       0.880599       0.769549       0.488136      0.0888919      -0.475915       -1.06021
             1        30.4903       0.949691       0.855982       0.724124       0.402612     -0.0359808      -0.581159      -0.991892
           1.2        36.7281       0.941086       0.832687       0.681807       0.327599      -0.136724      -0.635906      -0.841952
           1.4        43.0432       0.932681         0.8103       0.641768       0.260832      -0.218296      -0.652928      -0.639856
           1.6        49.4489       0.924369       0.788514       0.603416        0.20079      -0.283941      -0.640621      -0.404956
           1.8        55.9575       0.916071       0.767117       0.566358       0.146487      -0.335783      -0.604905      -0.151475
             2        62.5802       0.907735       0.745972       0.530346      0.0972961      -0.375272       -0.55035       0.109084
           2.2        69.3261       0.899321       0.724986       0.495232       0.052809       -0.40346      -0.480773       0.366835
           2.4        76.2016       0.890805        0.70411       0.460941      0.0127656      -0.421174      -0.399565       0.613014
           2.6        83.2096       0.882172       0.683319       0.427449     -0.0230096      -0.429136      -0.309876       0.839801
           2.8        90.3491       0.873417       0.662613       0.394773     -0.0546392      -0.428026      -0.214691        1.04034
             3        97.6151       0.864539       0.642012       0.362966     -0.0822217      -0.418542      -0.116863         1.2088
           3.2        104.999       0.855548       0.621548       0.332092      -0.105857      -0.401421     -0.0190852        1.34063
           3.4        112.489       0.846459       0.601266       0.302233       -0.12566      -0.377461      0.0761576         1.4326
           3.6        120.072       0.837286       0.581213        0.27347      -0.141768      -0.347506       0.166643        1.48295
           3.8        127.732       0.828048       0.561435       0.245882       -0.15435      -0.312441        0.25047        1.49135
             4        135.454       0.818764       0.541986       0.219537      -0.163603      -0.273178       0.326072        1.45888
           4.2        143.221       0.809457       0.522909       0.194495      -0.169747      -0.230624       0.392264        1.38783
           4.4        151.014       0.800149       0.504252       0.170805      -0.173025      -0.185676       0.448211        1.28155
           4.6        158.817       0.790859       0.486052       0.148504      -0.173692      -0.139202       0.493437        1.14425
           4.8        166.611       0.781611       0.468345       0.127617      -0.172018     -0.0920136         0.5278       0.980758
             5        174.378       0.772425       0.451169       0.108152      -0.168276     -0.0448625       0.551461       0.796286
           5.2        182.103       0.763322       0.434543       0.090107      -0.162734      0.0015867       0.564839        0.59616
           5.4        189.771       0.754318       0.418487      0.0734614      -0.155661      0.0467479       0.568558       0.385651
           5.6        197.368       0.745432       0.403016      0.0581883       -0.14731      0.0901231         0.5634       0.169772
           5.8        204.879        0.73668        0.38814      0.0442511      -0.137919       0.131314       0.550272     -0.0468524
             6        212.291       0.728077       0.373866      0.0316049      -0.127717       0.169986       0.530142      -0.260025
           6.2        219.586       0.719645       0.360205       0.020204      -0.116914        0.20588       0.504022      -0.466035
           6.4        226.743       0.711408       0.347173       0.010005      -0.105713       0.238787       0.472946       -0.66162
           6.6        233.731       0.703395       0.334792    0.000961491     -0.0943083       0.268552       0.437974      -0.843991
           6.8        240.516       0.695645       0.323093    -0.00696982     -0.0828842       0.295071       0.400171       -1.01083
             7        247.052       0.688202       0.312111      -0.013839     -0.0716312       0.318279       0.360615       -1.16025
           7.2         253.29       0.681118       0.301892     -0.0196911     -0.0607216        0.33818       0.320369         -1.291
           7.4        259.176       0.674445       0.292477      -0.024588     -0.0503188       0.354856       0.280461       -1.40245
           7.6        264.656       0.668236       0.283902     -0.0285967     -0.0405715       0.368448       0.241847       -1.49469
           7.8        269.681        0.66254         0.2762     -0.0318011     -0.0316077       0.379185       0.205392       -1.56843
             8        274.211       0.657394       0.269382     -0.0342851      -0.023518       0.387352       0.171786       -1.62511
           8.2        278.222       0.652827       0.263444     -0.0361534     -0.0163628       0.393312       0.141559       -1.66675
           8.4        281.708       0.648843       0.258362     -0.0375042     -0.0101566       0.397447        0.11501       -1.69575
           8.6        284.669       0.645443       0.254098     -0.0384413    -0.00489548       0.400142      0.0922964       -1.71463
