            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.70355        0.99052       0.971792       0.943977        0.86353       0.733434       0.469627     0.00541032 
           0.4        5.42333       0.981299         0.9448       0.891099       0.741314       0.506266      0.0687225      -0.632283 
           0.6        8.17445       0.972384       0.919103       0.841405        0.63228       0.313718      -0.228377       -1.00628 
           0.8        10.9699       0.963754         0.8946       0.794586       0.534679       0.150197      -0.444845       -1.19136 
             1        13.8195       0.955347       0.871064       0.750114       0.446553      0.0103922      -0.599206       -1.24168 
           1.2        16.7299        0.94708       0.848238       0.707438       0.366165      -0.109976      -0.704902       -1.19395 
           1.4        19.7033        0.93888       0.825903       0.666109       0.292218      -0.213943      -0.771221       -1.07289 
           1.6        22.7383       0.930698       0.803915       0.625836       0.223876      -0.303496      -0.804695      -0.896296 
           1.8        25.8293       0.922511       0.782209       0.586486       0.160668       -0.37992      -0.810325      -0.678451 
             2        28.9671       0.914318       0.760783       0.548044       0.102349      -0.444122      -0.792368      -0.431797 
           2.2        32.1391       0.906138        0.73968       0.510578      0.0487983      -0.496862      -0.754755      -0.167579 
           2.4        35.3296       0.898003       0.718978       0.474203   -6.33034e-05       -0.53888      -0.701233       0.104118 
           2.6        38.5197       0.889953       0.698769       0.439063     -0.0443159      -0.570969      -0.635395       0.374457 
           2.8        41.6883       0.882036       0.679157       0.405313     -0.0840669      -0.594004      -0.560644       0.635994 
             3        44.8122       0.874302       0.660252       0.373108      -0.119462      -0.608935      -0.480143       0.882748 
           3.2        47.8666       0.866805       0.642162       0.342599      -0.150686      -0.616774      -0.396741        1.11027 
           3.4        50.8257       0.859601       0.624992       0.313922      -0.177968      -0.618579      -0.312945        1.31556 
           3.6        53.6638       0.852742        0.60884       0.287201      -0.201565      -0.615424      -0.230901        1.49698 
           3.8        56.3556       0.846279       0.593793       0.262534      -0.221767      -0.608379       -0.15237        1.65406 
