                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.12319             0.993191             0.979698             0.959609             0.900904             0.805214             0.606662             0.249144 
                 0.4              4.26147             0.986541             0.960099             0.921012             0.809736             0.632315             0.285736            -0.299513 
                 0.6               6.4295             0.980082             0.941285             0.884321             0.726259             0.479663             0.026875            -0.685487 
                 0.8              8.64094             0.973804             0.923193             0.849365             0.649599             0.344532            -0.181021            -0.944929 
                   1               10.908             0.967651             0.905651             0.815765              0.57854             0.223864            -0.347888              -1.1066 
                 1.2              13.2407             0.961553             0.888446             0.783079             0.511879             0.114952            -0.481386             -1.19094 
                 1.4              15.6468              0.95544             0.871376             0.750916             0.448662            0.0158169             -0.58677             -1.21159 
                 1.6              18.1306             0.949259             0.854294                0.719             0.388268           -0.0747632            -0.667421             -1.17785 
                 1.8              20.6935             0.942978             0.837117             0.687175             0.330388            -0.157395             -0.72554             -1.09682 
                   2              23.3335             0.936582             0.819815               0.6554             0.274945            -0.232295             -0.76277            -0.974874 
                 2.2              26.0454             0.930075             0.802404              0.62371             0.222007            -0.299479            -0.780608            -0.818418 
                 2.4              28.8208             0.923469              0.78493             0.592201              0.17172              -0.3589            -0.780635            -0.634131 
                 2.6              31.6492             0.916791             0.767464             0.560999             0.124252            -0.410548            -0.764627            -0.428902 
                 2.8              34.5176             0.910069             0.750088             0.530254            0.0797605            -0.454504            -0.734551            -0.209639 
                   3              37.4115             0.903337             0.732889              0.50012             0.038367            -0.490969             -0.69253            0.0170124 
                 3.2              40.3152             0.896634             0.715962             0.470747          0.000146506             -0.52026            -0.640757             0.244938 
                 3.4              43.2119             0.889997             0.699394             0.442278            -0.034878            -0.542812            -0.581426             0.468741 
                 3.6              46.0847             0.883463             0.683271             0.414839           -0.0667377            -0.559153            -0.516632             0.683933 
                 3.8              48.9168             0.877068             0.667669              0.38854           -0.0955103            -0.569884            -0.448333             0.886954 
                   4              51.6914             0.870847             0.652659             0.363475            -0.121312            -0.575648            -0.378287              1.07518 
                 4.2              54.3921             0.864832             0.638302              0.33972            -0.144291            -0.577114            -0.308037              1.24688 
                 4.4              57.0024             0.859055             0.624656             0.317342            -0.164613            -0.574954             -0.23892              1.40107 
                 4.6               59.505             0.853549             0.611778             0.296404            -0.182452            -0.569834            -0.172079              1.53737 
                 4.8              61.8832             0.848344             0.599719             0.276962            -0.197988            -0.562404             -0.10847              1.65598 
                   5              64.1209             0.843468             0.588526             0.259058            -0.211408            -0.553288           -0.0488435              1.75758 
                 5.2              66.2036             0.838948             0.578234             0.242719            -0.222903            -0.543063           0.00623702              1.84323 
                 5.4              68.1185             0.834802             0.568869             0.227961            -0.232661            -0.532255            0.0563853              1.91428 
                 5.6              69.8553             0.831049             0.560453             0.214785             -0.24086            -0.521331             0.101367              1.97222 
                 5.8              71.4059               0.8277             0.552992              0.20318            -0.247671              -0.5107             0.141065              2.01864 
                   6              72.7594             0.824775             0.546515             0.193167             -0.25323            -0.500741             0.175344              2.05496 
                 6.2              73.9041             0.822294             0.541053             0.184772            -0.257653            -0.491809             0.204064              2.08251 
                 6.4              74.8352             0.820269             0.536613             0.177982            -0.261063            -0.484175             0.227258              2.10265 
                 6.6              75.5589             0.818685             0.533156             0.172724            -0.263593            -0.477996             0.245188              2.11679 
                 6.8              76.0929             0.817509             0.530599              0.16885            -0.265393            -0.473284             0.258371              2.12631 
                   7              76.4645             0.816687             0.528813             0.166155            -0.266608            -0.469918             0.267527              2.13243 
                 7.2              76.7068             0.816147             0.527645             0.164396            -0.267385            -0.467681             0.273492              2.13617 
                 7.4              76.8541             0.815818             0.526934             0.163326             -0.26785            -0.466304             0.277117              2.13835 
                 7.6               76.937             0.815633             0.526533             0.162725            -0.268109            -0.465522             0.279157              2.13954 
                 7.8                76.98             0.815536             0.526325             0.162414            -0.268242            -0.465114             0.280212              2.14014 
                   8              77.0003             0.815491             0.526226             0.162267            -0.268305            -0.464922             0.280711              2.14042 
                 8.2               77.009             0.815472             0.526184             0.162203            -0.268333             -0.46484             0.280925              2.14055 
                 8.4              77.0124             0.815464             0.526168             0.162179            -0.268343            -0.464807             0.281008              2.14059 
                 8.6              77.0136             0.815461             0.526163             0.162171            -0.268347            -0.464797             0.281037              2.14061 
                 8.8              77.0139             0.815461             0.526161             0.162168            -0.268348            -0.464794             0.281046              2.14062 
                   9               77.014             0.815461             0.526161             0.162167            -0.268348            -0.464793             0.281047              2.14062 
                 9.2               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464792             0.281048              2.14062 
                 9.4               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                 9.6               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                 9.8               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                  10               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                10.2               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                10.4               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                10.6               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                10.8               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                  11               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                11.2               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                11.4               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                11.6               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                11.8               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
                  12               77.014              0.81546              0.52616             0.162167            -0.268348            -0.464793             0.281048              2.14062 
