                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.65252             0.981866             0.946464             0.894407             0.748943             0.520767            0.0946823            -0.588641 
                 0.4              11.3466             0.964526             0.896856             0.799199             0.544879             0.169906            -0.411651             -1.13741 
                 0.6              17.1226             0.948002             0.850983             0.713393             0.379196           -0.0833846            -0.660556             -1.12254 
                 0.8              23.0189             0.932162             0.808239              0.63533             0.243523            -0.264488            -0.747604             -0.82471 
                   1                29.07             0.916772             0.767821             0.563174             0.130956            -0.391812            -0.732046            -0.396825 
                 1.2               35.305              0.90158             0.728976             0.495353            0.0365426             -0.47742            -0.649291            0.0784677 
                 1.4               41.746             0.886373             0.691128             0.430765           -0.0428877             -0.52879            -0.521446             0.551866 
                 1.6              48.4062             0.871009             0.653923             0.368776            -0.109229            -0.550689            -0.364124             0.988793 
                 1.8               55.289             0.855408             0.617199             0.309132            -0.163602            -0.546579            -0.189968              1.36222 
                   2               62.387             0.839546             0.580942             0.251842            -0.206753            -0.519466           -0.0100407              1.65105 
                 2.2              69.6823             0.823443             0.545239             0.197075            -0.239317             -0.47236             0.165865              1.84044 
                 2.4              77.1472             0.807152             0.510236             0.145077            -0.261961            -0.408434             0.329392              1.92233 
                 2.6              84.7457             0.790748             0.476112            0.0961204             -0.27546            -0.331039             0.473858              1.89554 
                 2.8              92.4346              0.77432             0.443055            0.0504613            -0.280707            -0.243606             0.594453              1.76521 
                   3              100.166             0.757966             0.411248           0.00830806            -0.278703            -0.149543             0.688264              1.54186 
                 3.2              107.887             0.741788             0.380849           -0.0301883            -0.270516           -0.0520824             0.754172              1.23993 
                 3.4              115.547             0.725886             0.351995           -0.0649515            -0.257244            0.0458153             0.792637             0.876425 
                 3.6              123.093             0.710353             0.324785           -0.0959749            -0.239964              0.14157             0.805394             0.469456 
                 3.8              130.478             0.695276             0.299288            -0.123323              -0.2197             0.233033             0.795124            0.0370309 
                   4              137.654             0.680732             0.275541            -0.147126            -0.197393              0.31852             0.765121            -0.404032 
                 4.2              144.581             0.666792             0.253553            -0.167557             -0.17388             0.396786             0.718984            -0.838723 
                 4.4              151.215             0.653521             0.233331            -0.184816            -0.149902             0.466956             0.660411             -1.25405 
                 4.6              157.508             0.640995             0.214877            -0.199122            -0.126119             0.528483             0.593109             -1.63916 
                 4.8              163.414              0.62929             0.198189            -0.210723            -0.103107             0.581161             0.520688             -1.98569 
                   5              168.894             0.618473             0.183247            -0.219908           -0.0813411             0.625172             0.446488             -2.28844 
                 5.2              173.916             0.608588             0.169999            -0.226986           -0.0611629             0.661044             0.373311              -2.5456 
                 5.4              178.463             0.599652             0.158362            -0.232272           -0.0427796             0.689546             0.303307             -2.75815 
                 5.6              182.527             0.591663             0.148239            -0.236062           -0.0263016             0.711526             0.238012             -2.92869 
                 5.8              186.108             0.584605              0.13953            -0.238623           -0.0117658             0.727864             0.178504             -3.06093 
                   6              189.199             0.578479             0.132167             -0.24019          0.000783251             0.739369             0.125723              -3.1586 
                 6.2               191.79             0.573305             0.126101            -0.240991             0.011289             0.746834            0.0805293             -3.22599 
                 6.4              193.882             0.569078             0.121267            -0.241246            0.0197598              0.75113             0.043411             -3.26845 
                 6.6              195.501             0.565766             0.117564             -0.24117            0.0262917             0.753178            0.0143734             -3.29222 
                 6.8              196.693             0.563294             0.114859            -0.240937            0.0310766             0.753823          -0.00714204             -3.30351 
                   7              197.523             0.561551             0.112984            -0.240675              0.03439             0.753757           -0.0221644             -3.30763 
                 7.2              198.067             0.560396             0.111759            -0.240454            0.0365468             0.753443           -0.0320079             -3.30837 
                 7.4                198.4             0.559682              0.11101            -0.240298            0.0378614             0.753126           -0.0380363             -3.30793 
