                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              4.24698             0.987644             0.963342              0.92741             0.824707             0.660649             0.337455            -0.212309 
                 0.4              8.51392             0.975801             0.928969             0.860661             0.674483             0.389445            -0.109654            -0.846671 
                 0.6              12.8207             0.964569             0.897038             0.799782             0.546657             0.175036            -0.398675             -1.10481 
                 0.8              17.1869             0.953899             0.867294             0.744029             0.437283           0.00524423            -0.576459             -1.12978 
                   1              21.6316             0.943648             0.839239             0.692272             0.342339            -0.130375            -0.676246             -1.01138 
                 1.2              26.1726              0.93364             0.812337             0.643395             0.258543            -0.239444            -0.719484            -0.802562 
                 1.4               30.826             0.923718             0.786135             0.596514             0.183588            -0.326939            -0.719598            -0.535355 
                 1.6              35.6046             0.913766             0.760313              0.55103             0.116029            -0.395914            -0.685401            -0.231631 
                 1.8              40.5176             0.903701             0.734673             0.506598            0.0550374            -0.448236             -0.62338            0.0912565 
                   2              45.5689             0.893479             0.709115             0.463058          0.000175335            -0.485126            -0.538965             0.418007 
                 2.2              50.7567             0.883083             0.683615             0.420393           -0.0487677            -0.507521            -0.437178             0.734577 
                 2.4              56.0734             0.872515             0.658203             0.378678           -0.0918902              -0.5163            -0.322885              1.02817 
                 2.6               61.505             0.861796             0.632951              0.33805            -0.129269            -0.512426            -0.200841              1.28765 
                 2.8              67.0328             0.850965              0.60796             0.298682            -0.161005            -0.497004            -0.075607              1.50396 
                   3              72.6333             0.840066             0.583342             0.260759            -0.187264            -0.471298            0.0486253               1.6706 
                 3.2              78.2797              0.82915              0.55922             0.224458            -0.208285            -0.436719             0.168165              1.78379 
                 3.4               83.943             0.818276             0.535711             0.189939            -0.224389            -0.394764              0.27996              1.84246 
                 3.6              89.5929               0.8075             0.512926             0.157329            -0.235961            -0.346966             0.381673              1.84801 
                 3.8              95.1993             0.796879             0.490962             0.126722            -0.243443            -0.294837             0.471689              1.80396 
                   4              100.733             0.786466               0.4699            0.0981762            -0.247305            -0.239809             0.549098              1.71542 
                 4.2              106.166             0.776309             0.449802            0.0717071             -0.24804             -0.18319             0.613625              1.58861 
                 4.4              111.476              0.76645              0.43071             0.047296            -0.246132            -0.126131             0.665521              1.43028 
                 4.6               116.64             0.756924             0.412649            0.0248901            -0.242051           -0.0696092             0.705465              1.24732 
                 4.8              121.643             0.747759             0.395626           0.00441129            -0.236232           -0.0144105             0.734432              1.04634 
                   5               126.47              0.73898             0.379639            -0.014236            -0.229075            0.0388385             0.753589             0.833465 
                 5.2              131.108             0.730606             0.364677           -0.0311591            -0.220943            0.0896554              0.76421             0.614232 
                 5.4              135.545              0.72266              0.35073           -0.0464621            -0.212158             0.137677             0.767597             0.393514 
                 5.6              139.763             0.715165             0.337795           -0.0602422            -0.203012             0.182611             0.765043             0.175663 
                 5.8              143.743              0.70815             0.325877           -0.0725858            -0.193767             0.224224             0.757801           -0.0354947 
                   6              147.462             0.701646             0.314984           -0.0835673            -0.184661             0.262335              0.74707            -0.236618 
                 6.2                150.9             0.695684             0.305127           -0.0932586            -0.175901             0.296817             0.733986            -0.424836 
                 6.4              154.034              0.69029             0.296313             -0.10173            -0.167667             0.327605             0.719589            -0.597848 
                 6.6              156.848             0.685484              0.28854            -0.109049            -0.160105              0.35469               0.7048            -0.753906 
                 6.8               159.33             0.681273             0.281788            -0.115294            -0.153312             0.378164              0.69038            -0.892074 
                   7              161.467             0.677666              0.27605            -0.120513            -0.147374             0.398054              0.67694             -1.01139 
                 7.2              163.238              0.67468             0.271333            -0.124732            -0.142367             0.414335             0.664963             -1.11087 
                 7.4              164.643             0.672308              0.26761            -0.128004            -0.138327             0.427102             0.654827             -1.19023 
                 7.6              165.698             0.670517             0.264816            -0.130416            -0.135233             0.436607             0.646733             -1.25028 
                 7.8              166.444             0.669241             0.262837            -0.132098            -0.133006             0.443279             0.640697               -1.293 
                   8              166.938             0.668391             0.261525            -0.133196             -0.13151             0.447661              0.63653             -1.32138 
                 8.2              167.241             0.667866             0.260718            -0.133863            -0.130581             0.450335             0.633888             -1.33884 
                 8.4              167.412             0.667567             0.260259            -0.134239            -0.130049             0.451845             0.632354             -1.34877 
                 8.6              167.502             0.667411              0.26002            -0.134435            -0.129772             0.452629             0.631546             -1.35394 
                 8.8              167.544             0.667337             0.259906            -0.134527             -0.12964                0.453              0.63116             -1.35639 
                   9              167.562             0.667305             0.259857            -0.134567            -0.129583              0.45316             0.630994             -1.35744 
                 9.2              167.569             0.667293             0.259838            -0.134582             -0.12956             0.453221             0.630928             -1.35785 
                 9.4              167.572             0.667289             0.259832            -0.134586            -0.129553             0.453242             0.630906             -1.35799 
                 9.6              167.572             0.667287              0.25983            -0.134588            -0.129551             0.453249               0.6309             -1.35803 
                 9.8              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                  10              167.573             0.667287              0.25983            -0.134589             -0.12955             0.453249             0.630896             -1.35804 
                10.2              167.573             0.667287              0.25983            -0.134588             -0.12955              0.45325             0.630896             -1.35804 
                10.4              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                10.6              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                10.8              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                  11              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                11.2              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                11.4              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                11.6              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                11.8              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                  12              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                12.2              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                12.4              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                12.6              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                12.8              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                  13              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                13.2              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                13.4              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                13.6              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                13.8              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
                  14              167.573             0.667287              0.25983            -0.134588             -0.12955             0.453249             0.630896             -1.35804 
