                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.27396             0.984847             0.955157             0.911395             0.787694             0.592002             0.216572            -0.403316 
                 0.4              10.5724              0.97036              0.91342             0.830876             0.610835             0.280618            -0.264507             -1.00743 
                 0.6              15.9197             0.956628             0.874851             0.758125             0.464284            0.0460397            -0.538104             -1.13829 
                 0.8              21.3398             0.943578             0.839069             0.692034             0.342095            -0.130091            -0.674242             -1.00567 
                   1              26.8557             0.931033             0.805449             0.631161             0.238828            -0.262236            -0.719252            -0.731852 
                 1.2               32.489             0.918788             0.773352             0.574152             0.150274            -0.360467            -0.701853            -0.385377 
                 1.4              38.2589             0.906656             0.742242             0.519962            0.0735501            -0.431265            -0.639852          -0.00672597 
                 1.6              44.1807             0.894495             0.711744             0.467894           0.00683872            -0.478705            -0.545192             0.376644 
                 1.8              50.2651              0.88221             0.681626             0.417554           -0.0509457            -0.505464            -0.426925             0.743281 
                   2              56.5169             0.869745             0.651775              0.36877            -0.100446            -0.513517            -0.292748              1.07506 
                 2.2               62.934             0.857076             0.622163             0.321528            -0.142074            -0.504574            -0.149652              1.35664 
                 2.4              69.5075             0.844207             0.592829             0.275922            -0.176138            -0.480327          -0.00413237              1.57564 
                 2.6              76.2214             0.831161             0.563852             0.232105            -0.202947            -0.442575             0.137886               1.7232 
                 2.8              83.0541             0.817977             0.535343             0.190264            -0.222857            -0.393274             0.271187              1.79433 
                   3              89.9784             0.804706             0.507424             0.150592            -0.236303            -0.334506             0.391454               1.7881 
                 3.2              96.9638             0.791405             0.480223             0.113265            -0.243797            -0.268431             0.495391              1.70738 
                 3.4              103.977             0.778137             0.453863            0.0784268            -0.245931            -0.197219             0.580782              1.55841 
                 3.6              110.982             0.764966             0.428452            0.0461866            -0.243345            -0.122958             0.646485              1.35009 
                 3.8              117.946             0.751952             0.404085            0.0166075            -0.236711           -0.0475964             0.692333              1.09313 
                   4              124.834             0.739156             0.380835           -0.0102939            -0.226709            0.0271312             0.719017             0.799279 
                 4.2              131.617             0.726631             0.358755           -0.0345485            -0.214001            0.0997368             0.727897             0.480414 
                 4.4              138.269             0.714419             0.337868           -0.0562356            -0.199207             0.169037             0.720828             0.147833 
                 4.6              144.769             0.702556             0.318178            -0.075467            -0.182888             0.234143              0.69995            -0.188341 
                 4.8              151.105             0.691063             0.299663            -0.092396            -0.165536             0.294463             0.667499            -0.519585 
                   5              157.268             0.679956             0.282282            -0.107193            -0.147565             0.349653             0.625669            -0.839077 
                 5.2              163.253             0.669239             0.265985            -0.120028            -0.129312             0.399566              0.57648             -1.14162 
                 5.4              169.051             0.658924             0.250733            -0.131061            -0.111066             0.444147             0.521783              -1.4231 
                 5.6              174.633             0.649047             0.236528            -0.140418           -0.0931228             0.483303              0.46341             -1.67966 
                 5.8              179.951             0.639695             0.223427            -0.148204           -0.0758179             0.516998             0.403429             -1.90799 
                   6              184.961             0.630953              0.21148            -0.154571           -0.0594482             0.545466             0.343804             -2.10699 
                 6.2              189.639             0.622859             0.200666            -0.159704           -0.0441819             0.569159             0.285926             -2.27762 
                 6.4              193.969             0.615425             0.190942            -0.163775           -0.0301138              0.58854             0.230776              -2.4213 
                 6.6              197.933             0.608659             0.182269            -0.166923           -0.0173051             0.604047              0.17912             -2.53977 
                 6.8              201.511             0.602571             0.174614            -0.169281          -0.00579627             0.616115             0.131545              -2.6351 
                   7              204.662             0.597203             0.167997            -0.170927           0.00431689             0.625008            0.0887712             -2.70832 
                 7.2               207.34              0.59261             0.162452            -0.171952            0.0129146             0.630987            0.0516148             -2.76038 
                 7.4              209.515             0.588834             0.157993            -0.172474            0.0199134             0.634485            0.0207685             -2.79361 
                 7.6              211.195             0.585872             0.154572            -0.172637             0.025328             0.636103          -0.00349932              -2.8118 
                 7.8              212.418             0.583677             0.152091            -0.172587            0.0292764             0.636511           -0.0214241             -2.81955 
                   8              213.254             0.582152               0.1504            -0.172454            0.0319724             0.636313           -0.0337731              -2.8214 
                 8.2              213.787             0.581164             0.149323            -0.172317            0.0336871              0.63594           -0.0416696             -2.82075 
                 8.4              214.102             0.580573             0.148687            -0.172214            0.0346992             0.635613           -0.0463435             -2.81958 
                 8.6              214.274             0.580249              0.14834            -0.172151            0.0352492             0.635394           -0.0488891             -2.81865 
                 8.8               214.36             0.580086             0.148166            -0.172116            0.0355248             0.635271           -0.0501662             -2.81808 
                   9              214.399             0.580011             0.148087            -0.172099            0.0356504             0.635213           -0.0507471             -2.81781 
                 9.2              214.415              0.57998             0.148055            -0.172092            0.0357011             0.635186           -0.0509872             -2.81769 
                 9.4              214.421             0.579969             0.148042             -0.17209            0.0357208             0.635177           -0.0510763             -2.81764 
                 9.6              214.423             0.579965             0.148038            -0.172089            0.0357276             0.635176           -0.0511056             -2.81763 
                 9.8              214.424             0.579964             0.148037            -0.172088            0.0357292             0.635173           -0.0511152             -2.81762 
                  10              214.424             0.579964             0.148037            -0.172088              0.03573             0.635174           -0.0511179             -2.81763 
                10.2              214.424             0.579964             0.148037            -0.172088            0.0357302             0.635175           -0.0511186             -2.81763 
                10.4              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511186             -2.81763 
                10.6              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                10.8              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                  11              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                11.2              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                11.4              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                11.6              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                11.8              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                  12              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                12.2              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                12.4              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                12.6              214.424             0.579964             0.148037            -0.172088            0.0357303             0.635175           -0.0511187             -2.81763 
                12.8              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  13              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.2              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.4              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.6              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.8              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  14              214.424                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
