            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        8.63391       0.960936       0.886713       0.779774        0.50515       0.103517      -0.497407       -1.21289 
           0.4         17.278       0.925491       0.790363       0.602265        0.18775      -0.341531      -0.793679      -0.764983 
           0.6        25.9338       0.893305       0.707785       0.456905     -0.0180884      -0.542231      -0.661264       0.148523 
           0.8        34.5858       0.863893        0.63611       0.335391       -0.15321      -0.609794       -0.40315        0.92316 
             1        43.1957       0.836788       0.573025       0.231693      -0.242281      -0.602731      -0.131225         1.4512 
           1.2        51.6984       0.811646       0.516899       0.141792      -0.300112      -0.552159       0.116018        1.75541 
           1.4        60.0029       0.788295       0.466724      0.0631949      -0.335901      -0.475727       0.326962        1.88122 
           1.6        67.9981       0.766701       0.421929     -0.0055985      -0.355784      -0.384584       0.499852        1.87122 
           1.8        75.5622       0.746927       0.382208     -0.0655107      -0.364204      -0.286585        0.63683        1.76152 
             2        82.5756       0.729067       0.347369       -0.11719      -0.364598      -0.187689       0.741738        1.58269 
           2.2        88.9344       0.713208        0.31724      -0.161182      -0.359703     -0.0924997         0.8192        1.36106 
           2.4        94.5639        0.69939       0.291599      -0.198056      -0.351689    -0.00442926       0.874129        1.11915 
           2.6        99.4277       0.687588       0.270148      -0.228454      -0.342219      0.0742645       0.911345       0.875521 
           2.8        103.527       0.677713        0.25252      -0.253075      -0.332493       0.142375       0.935225       0.644354 
             3        106.883        0.66965       0.238352      -0.272571      -0.323334       0.199369       0.949399       0.436132 
           3.2        109.537       0.663266       0.227287      -0.287564      -0.315282        0.24525       0.956827       0.258074 
           3.4        111.552       0.658393       0.218944      -0.298691       -0.30864       0.280589       0.959906       0.113942 
           3.6        113.012       0.654837       0.212917      -0.306608      -0.303505       0.306464       0.960496     0.00404366 
           3.8        114.015       0.652371       0.208773      -0.311971      -0.299789       0.324381       0.959931     -0.0745462 
             4        114.665       0.650758       0.206082      -0.315412      -0.297287       0.336045       0.959052      -0.126983 
           4.2         115.06        0.64977       0.204441      -0.317485      -0.295719       0.343154       0.958262      -0.159558 
           4.4        115.284       0.649207       0.203509      -0.318655      -0.294815       0.347184       0.957711      -0.178277 
           4.6        115.402       0.648909       0.203018      -0.319268      -0.294333       0.349304       0.957382      -0.188202 
           4.8        115.459       0.648764        0.20278      -0.319565      -0.294098       0.350329       0.957209      -0.193043 
             5        115.484         0.6487       0.202674      -0.319695      -0.293992       0.350781       0.957124      -0.195203 
           5.2        115.494       0.648674       0.202632      -0.319747       -0.29395       0.350964       0.957089       -0.19607 
           5.4        115.498       0.648665       0.202616      -0.319766      -0.293933       0.351032       0.957077      -0.196396 
           5.6        115.499       0.648661       0.202611      -0.319773      -0.293929       0.351053       0.957073      -0.196492 
           5.8        115.499       0.648661        0.20261      -0.319774      -0.293927       0.351059       0.957071      -0.196533 
             6        115.499        0.64866       0.202609      -0.319775      -0.293927        0.35106        0.95707      -0.196542 
           6.2        115.499        0.64866        0.20261      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           6.4        115.499        0.64866        0.20261      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           6.6        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           6.8        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
             7        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           7.2        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           7.4        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           7.6        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
           7.8        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
             8        115.499        0.64866       0.202609      -0.319774      -0.293927       0.351061       0.957069      -0.196544 
