                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              8.10764           -0.0320014           0.00260912         -0.000364161          8.27342e-05         -7.18686e-05          0.000316915          -0.00208292 
                 0.4              16.2735           -0.0619878           0.00962144          -0.00251854          0.000941426         -0.000440333          0.000132517          0.000757328 
                 0.6              24.5496           -0.0901825            0.0200239          -0.00743987           0.00394796          -0.00273367           0.00224354          -0.00119937 
                 0.8              32.9761            -0.116951            0.0331268           -0.0155767             0.010431          -0.00920464            0.0105942           -0.0186245 
                   1              41.5769            -0.142696            0.0485472           -0.0271922            0.0215576           -0.0221909            0.0277175           -0.0372628 
                 1.2              50.3572            -0.167751            0.0661086           -0.0425673             0.038674           -0.0457568            0.0673473            -0.121699 
                 1.4              59.3017            -0.192322            0.0856972           -0.0619165            0.0628478           -0.0828161             0.135184            -0.267779 
                 1.6              68.3757            -0.216491             0.107191           -0.0854125            0.0951835            -0.137168              0.24314            -0.511475 
                 1.8               77.527             -0.24024             0.130412            -0.113105             0.136614            -0.212853             0.407489            -0.927217 
                   2              86.6892            -0.263487             0.155107            -0.144857             0.187588            -0.312448             0.637807             -1.54179 
                 2.2              95.7857            -0.286111             0.180974            -0.180373             0.248222            -0.438169             0.946399              -2.4197 
                 2.4              104.733            -0.307979             0.207662            -0.219197             0.318129            -0.590654              1.33969             -3.59563 
                 2.6              113.442             -0.32895             0.234795            -0.260735             0.396472            -0.769136              1.81962             -5.08969 
                 2.8              121.818            -0.348875             0.261963             -0.30425             0.481908            -0.970987              2.38042             -6.88432 
                   3              129.757            -0.367598             0.288736            -0.348924             0.572872             -1.19325              3.01827             -8.99393 
                 3.2              137.158            -0.384945             0.314629            -0.393744             0.667111             -1.43025              3.71664             -11.3618 
                 3.4              143.934            -0.400774             0.339187            -0.437674             0.762154             -1.67536              4.45527             -13.9153 
                 3.6              150.026            -0.414999             0.362036             -0.47978             0.855632             -1.92205              5.21459             -16.5952 
                 3.8              155.401              -0.4276             0.382926            -0.519331             0.945523             -2.16423              5.97392             -19.3208 
                   4               160.04            -0.438566             0.401644            -0.555672              1.02994             -2.39601              6.71285              -22.012 
                 4.2              163.927            -0.447872             0.417966            -0.588127              1.10692             -2.61127              7.41021             -24.5876 
                 4.4              167.067            -0.455515             0.431712            -0.616079              1.17457             -2.80392              8.04475             -26.9675 
                 4.6              169.499            -0.461542             0.442797            -0.639089               1.2313             -2.96824              8.59419             -29.0554 
                 4.8              171.294            -0.466076             0.451297            -0.657061               1.2764             -3.10106              9.04565             -30.8003 
                   5              172.549            -0.469303             0.457442             -0.67025              1.30996             -3.20116               9.3896             -32.1398 
                 5.2              173.378            -0.471464             0.461607            -0.679297              1.33326             -3.27146              9.63409             -33.1046 
                 5.4              173.891            -0.472818             0.464239            -0.685066              1.34824             -3.31704              9.79371             -33.7379 
                 5.6              174.187            -0.473608             0.465783            -0.688472              1.35714             -3.34433              9.89013             -34.1246 
                 5.8              174.347            -0.474036             0.466622            -0.690331              1.36202             -3.35936              9.94345             -34.3396 
                   6              174.426            -0.474248              0.46704             -0.69126              1.36448             -3.36697              9.97085             -34.4532 
                 6.2              174.462            -0.474346             0.467231            -0.691683              1.36558             -3.37035              9.98263             -34.4988 
                 6.4              174.477            -0.474386              0.46731            -0.691858              1.36604             -3.37176              9.98755             -34.5179 
                 6.6              174.483            -0.474401              0.46734            -0.691925              1.36622             -3.37231              9.98962             -34.5271 
                 6.8              174.485            -0.474407             0.467351             -0.69195              1.36629             -3.37254              9.99055             -34.5316 
                   7              174.485            -0.474408             0.467355            -0.691958              1.36631             -3.37261              9.99075             -34.5321 
                 7.2              174.485            -0.474409             0.467355            -0.691958              1.36631             -3.37257               9.9905             -34.5301 
                 7.4              174.485            -0.474409             0.467356             -0.69196              1.36632             -3.37264              9.99096             -34.5337 
                 7.6              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99086             -34.5329 
                 7.8              174.485            -0.474409             0.467355            -0.691959              1.36631             -3.37262              9.99078             -34.5324 
                   8              174.485            -0.474409             0.467355            -0.691959              1.36631             -3.37262              9.99078             -34.5324 
                 8.2              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                 8.4              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                 8.6              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                 8.8              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                   9              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                 9.2              174.485            -0.474409             0.467355             -0.69196              1.36632             -3.37263              9.99088             -34.5331 
                 9.4              174.485                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                 9.6              174.485                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                 9.8              174.485                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  10              174.485                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
