                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              2.95988           -0.0108618          0.000304062         -1.70865e-05          1.59204e-05         -9.32291e-05           0.00065299          -0.00513669 
                 0.4              5.94339           -0.0214397           0.00117443         -0.000109369             1.74e-05         -2.76409e-05          0.000216269          -0.00195407 
                 0.6              8.97243           -0.0317154           0.00254819         -0.000341541          4.76194e-05          7.63034e-05         -0.000503477           0.00314985 
                 0.8              12.0656           -0.0417316           0.00437629         -0.000772498          0.000197204         -9.69361e-05           0.00037504          -0.00353059 
                   1              15.2367           -0.0515686           0.00662388          -0.00142392          0.000422947         -8.47107e-05         -0.000488595           0.00404689 
                 1.2              18.4938           -0.0613174           0.00928559          -0.00234867          0.000844865         -0.000367862         -4.30764e-05           0.00229187 
                 1.4              21.8386           -0.0710472            0.0123621          -0.00357496            0.0014555         -0.000659694         -0.000453379            0.0075073 
                 1.6              25.2657           -0.0807946            0.0158622          -0.00515963           0.00238748          -0.00143384          0.000990039         -0.000239524 
                 1.8              28.7624           -0.0905578            0.0197796          -0.00713064           0.00365438          -0.00245157           0.00202791          -0.00173834 
                   2              32.3094            -0.100304             0.024097          -0.00952267             0.005363          -0.00409109           0.00481073           -0.0134381 
                 2.2              35.8806            -0.109974            0.0287724            -0.012327           0.00746564           -0.0058438           0.00527225          -0.00239661 
                 2.4              39.4447            -0.119495            0.0337562            -0.015558            0.0101161          -0.00850498           0.00842411          -0.00668637 
                 2.6              42.9659            -0.128781            0.0389746           -0.0191782             0.013293           -0.0119342            0.0128777           -0.0137269 
                 2.8              46.4058            -0.137745            0.0443428           -0.0231406            0.0170213           -0.0164572            0.0209274           -0.0415925 
                   3              49.7252            -0.146297            0.0497599           -0.0273452            0.0211168            -0.021242            0.0268398            -0.043909 
                 3.2              52.8858            -0.154355            0.0551272           -0.0317116            0.0255682           -0.0266975            0.0341105            -0.049714 
                 3.4              55.8518            -0.161849            0.0603456           -0.0361413            0.0302913           -0.0328615            0.0437111           -0.0673509 
                 3.6              58.5929            -0.168718            0.0653204            -0.040522            0.0351356           -0.0394497            0.0546533           -0.0907502 
                 3.8              61.0851            -0.174922            0.0699671           -0.0447365            0.0398941           -0.0458528            0.0638583            -0.098176 
                   4              63.3128             -0.18044            0.0742291           -0.0487251            0.0445882           -0.0527286            0.0766298            -0.131193 
                 4.2              65.2684            -0.185266            0.0780513           -0.0523808             0.048961           -0.0591479            0.0881488            -0.158055 
                 4.4              66.9505            -0.189408            0.0814059           -0.0556546            0.0529456            -0.065039            0.0983203            -0.176924 
                 4.6              68.3618            -0.192881            0.0842711           -0.0584969            0.0564528           -0.0702641             0.107226            -0.191775 
                 4.8              69.5098            -0.195707             0.086641           -0.0608848            0.0594568           -0.0749204             0.116225             -0.21569 
                   5              70.4104            -0.197929            0.0885293           -0.0628125             0.061918           -0.0788077              0.12389            -0.235853 
                 5.2               71.088            -0.199605             0.089966           -0.0642868            0.0637888           -0.0816386             0.128598            -0.242049 
                 5.4              71.5741             -0.20081            0.0910086           -0.0653644            0.0651646           -0.0837216             0.131969            -0.245368 
                 5.6              71.9048            -0.201633            0.0917248           -0.0661109            0.0661327           -0.0852528             0.134852            -0.251646 
                 5.8              72.1168            -0.202162            0.0921865           -0.0665939            0.0667626           -0.0862643              0.13686            -0.256821 
                   6              72.2442             -0.20248            0.0924656           -0.0668882            0.0671574           -0.0869695             0.138797            -0.266248 
                 6.2              72.3155            -0.202658            0.0926214           -0.0670491            0.0673515           -0.0871753              0.13843            -0.259204 
                 6.4              72.3523            -0.202749            0.0927011           -0.0671315            0.0674558           -0.0873361             0.138774            -0.260729 
                 6.6              72.3698            -0.202793            0.0927404           -0.0671746            0.0675188           -0.0874657             0.139164            -0.262339 
                 6.8              72.3774            -0.202813            0.0927579           -0.0671956            0.0675599           -0.0876155              0.14005            -0.269168 
                   7              72.3803            -0.202819            0.0927622           -0.0671941            0.0675283           -0.0873897             0.138413             -0.25603 
                 7.2              72.3814            -0.202822            0.0927665           -0.0672038            0.0675662            -0.087599              0.13984            -0.267338 
                 7.4              72.3817            -0.202823            0.0927669            -0.067203             0.067558           -0.0875388             0.139371            -0.263316 
                 7.6              72.3818            -0.202823            0.0927662           -0.0672012             0.067553           -0.0875258             0.139365            -0.263771 
                 7.8              72.3818            -0.202823            0.0927665            -0.067202            0.0675558           -0.0875381             0.139426            -0.264089 
                   8              72.3818            -0.202823            0.0927658           -0.0671998             0.067547           -0.0874939             0.139165            -0.262309 
                 8.2              72.3818            -0.202823            0.0927659           -0.0671999            0.0675471           -0.0874938             0.139161            -0.262259 
                 8.4              72.3818            -0.202823            0.0927659           -0.0671999            0.0675473           -0.0874943             0.139161            -0.262235 
                 8.6              72.3818            -0.202823            0.0927659           -0.0671999            0.0675473           -0.0874943             0.139161            -0.262235 
                 8.8              72.3818            -0.202823            0.0927659           -0.0671999            0.0675473           -0.0874943             0.139161            -0.262235 
                   9              72.3818            -0.202823            0.0927659           -0.0671999            0.0675473           -0.0874943             0.139161            -0.262235 
                 9.2              72.3818            -0.202823            0.0927659           -0.0671999            0.0675473           -0.0874943             0.139161            -0.262235 
