                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              4.98432          -0.00932105          0.000240697         -2.41415e-06         -3.76893e-05          0.000209635          -0.00134575           0.00994194 
                 0.4              9.97884           -0.0182341          0.000923269          -7.2305e-05         -2.82699e-05          0.000217158           -0.0014722            0.0114214 
                 0.6              14.9939           -0.0266169           0.00196287          -0.00025124          6.69089e-05         -0.000145289           0.00094668          -0.00751586 
                 0.8              20.0401           -0.0344782           0.00327328         -0.000523324          9.92032e-05           7.6362e-05         -0.000631344            0.0041812 
                   1              25.1281           -0.0419231           0.00481664          -0.00093319          0.000238015          3.72776e-05         -0.000835973            0.0066425 
                 1.2              30.2691           -0.0490812           0.00657218          -0.00148424          0.000476522         -0.000202132           0.00018621          -0.00117077 
                 1.4              35.4742           -0.0560724           0.00854292          -0.00219128          0.000811128         -0.000447474          0.000644915          -0.00320206 
                 1.6              40.7543           -0.0629856            0.0107365          -0.00306594           0.00124165         -0.000657203           0.00054202          -0.00205848 
                 1.8                46.12           -0.0698882            0.0131732          -0.00414792           0.00185245          -0.00108354          0.000876891          -0.00193786 
                   2              51.5808           -0.0768249            0.0158681          -0.00546134           0.00267015          -0.00174856           0.00177307           -0.0050558 
                 2.2              57.1443           -0.0838262            0.0188354          -0.00702833            0.0036978           -0.0024752           0.00170833          0.000985068 
                 2.4              62.8161           -0.0909146            0.0220967          -0.00890316            0.0050879          -0.00392053           0.00469983           -0.0139756 
                 2.6              68.5986           -0.0981008            0.0256605            -0.011094           0.00676175          -0.00535831           0.00526927          -0.00623275 
                 2.8              74.4909            -0.105391            0.0295434           -0.0136547           0.00887835          -0.00747648           0.00771066           -0.0091542 
                   3              80.4885            -0.112783            0.0337553           -0.0166207            0.0114938           -0.0102574            0.0109388           -0.0108295 
                 3.2              86.5837            -0.120269            0.0383003           -0.0200247            0.0146938           -0.0139838            0.0165622           -0.0245891 
                 3.4              92.7667            -0.127839            0.0431816           -0.0239001            0.0185458           -0.0186766            0.0235551           -0.0381926 
                 3.6              99.0251            -0.135475            0.0483914           -0.0282578            0.0230593           -0.0241726            0.0303125           -0.0389859 
                 3.8              105.346            -0.143164             0.053936           -0.0331656            0.0285029           -0.0316726            0.0436351           -0.0742438 
                   4              111.716            -0.150886            0.0597958           -0.0386058            0.0347839           -0.0404531             0.058094            -0.101579 
                 4.2              118.119            -0.158623            0.0659618           -0.0446085            0.0420458           -0.0510978            0.0765226            -0.138199 
                 4.4              124.541            -0.166357            0.0724165           -0.0511749            0.0503189           -0.0636299            0.0984438            -0.179098 
                 4.6              130.966            -0.174067            0.0791431           -0.0583185            0.0597129           -0.0785224              0.12601            -0.235734 
                 4.8              137.377            -0.181734            0.0861183           -0.0660299            0.0702566           -0.0959017             0.159627            -0.310017 
                   5              143.761            -0.189341            0.0933205           -0.0743091            0.0820333            -0.116189              0.20131            -0.412752 
                 5.2              150.101             -0.19687             0.100722           -0.0831286             0.095013            -0.139241             0.249674            -0.531019 
                 5.4              156.386            -0.204301             0.108288           -0.0924467             0.109137            -0.164892             0.303688            -0.656679 
                 5.6              162.601            -0.211623             0.116001            -0.102262             0.124506            -0.193758             0.366859            -0.811937 
                 5.8              168.733             -0.21882             0.123831             -0.11255             0.141168            -0.226377              0.44312             -1.02686 
                   6               174.77            -0.225874             0.131735            -0.123229             0.158902            -0.261795             0.526514             -1.25601 
                 6.2              180.694            -0.232767             0.139678            -0.134246             0.177642             -0.29995             0.617101             -1.49985 
                 6.4              186.484            -0.239478             0.147619            -0.145544             0.197333            -0.340982             0.716588             -1.77159 
                 6.6              192.116            -0.245976             0.155504            -0.157039             0.217877            -0.385063             0.828154             -2.10271 
                 6.8              197.555            -0.252229             0.163268            -0.168607             0.238972            -0.431113             0.945978             -2.45057 
                   7              202.764            -0.258194             0.170833            -0.180103             0.260309             -0.47835              1.06763             -2.80583 
                 7.2              207.699            -0.263827             0.178121             -0.19139             0.281628            -0.526298              1.19264             -3.17217 
                 7.4              212.313            -0.269083              0.18505            -0.202324             0.302693            -0.574844              1.32402             -3.58574 
                 7.6              216.563            -0.273914             0.191526              -0.2127             0.322963            -0.622077               1.4526             -3.98826 
                 7.8               220.41            -0.278282             0.197468            -0.222355             0.342057            -0.667007              1.57551             -4.37092 
                   8              223.825             -0.28216             0.202819            -0.231167             0.359714            -0.709143              1.69274             -4.74508 
                 8.2              226.796            -0.285536             0.207537            -0.239031             0.375661            -0.747643              1.80114             -5.09515 
                 8.4              229.327            -0.288413               0.2116            -0.245868             0.389636            -0.781589              1.89697             -5.40377 
                 8.6              231.431             -0.29081              0.21502            -0.251678              0.40163            -0.811046              1.98138             -5.68222 
                 8.8               233.13            -0.292748             0.217806            -0.256438             0.411473            -0.835074              2.04855              -5.8888 
                   9              234.458            -0.294267             0.220009            -0.260244             0.419471            -0.855161              2.10805             -6.09674 
                 9.2              235.455            -0.295409             0.221673            -0.263118             0.425464            -0.869845              2.14882             -6.21789 
                 9.4              236.171            -0.296234             0.222882            -0.265225             0.429926            -0.881099              2.18208             -6.33207 
                 9.6               236.66            -0.296798             0.223713            -0.266682              0.43304            -0.889089              2.20654             -6.42253 
                 9.8              236.974            -0.297162             0.224248            -0.267614              0.43499            -0.893836               2.2193             -6.45641 
                  10              237.164            -0.297383             0.224577            -0.268198             0.436268            -0.897263               2.2307             -6.50502 
                10.2              237.271            -0.297507              0.22476            -0.268517             0.436939            -0.898907              2.23519             -6.51757 
                10.4              237.327            -0.297573             0.224857            -0.268692             0.437323            -0.899945              2.23867             -6.53238 
                10.6              237.354            -0.297604             0.224904            -0.268776             0.437506            -0.900431              2.24023             -6.53851 
                10.8              237.366            -0.297617             0.224923            -0.268805             0.437552            -0.900451              2.23966             -6.53181 
                  11              237.371            -0.297623             0.224932            -0.268824             0.437603            -0.900642              2.24061             -6.53803 
                11.2              237.372            -0.297625             0.224935            -0.268829              0.43762            -0.900728              2.24124             -6.54335 
                11.4              237.373            -0.297626             0.224936            -0.268831             0.437626            -0.900752              2.24134             -6.54387 
                11.6              237.373            -0.297626             0.224937            -0.268833             0.437631            -0.900771              2.24142             -6.54429 
                11.8              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900778              2.24147             -6.54466 
                  12              237.373            -0.297626             0.224937            -0.268833             0.437632            -0.900775              2.24145             -6.54447 
                12.2              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54459 
                12.4              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                12.6              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                12.8              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                  13              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                13.2              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                13.4              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                13.6              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                13.8              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
                  14              237.373            -0.297626             0.224937            -0.268833             0.437633            -0.900777              2.24146             -6.54456 
