            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        2.70355       -0.00948       0.000232   -3.90196e-06   -3.09804e-05    0.000199379    -0.00144902      0.0119114
           0.4        5.42333      -0.018701       0.000903   -7.64424e-05     1.8424e-05   -4.82844e-05    0.000271953    -0.00181738
           0.6        8.17445      -0.027616       0.001951    -0.00022524    -2.5952e-06    0.000239923    -0.00166089      0.0126197
           0.8        10.9699      -0.036246       0.003338   -0.000520564    0.000124642   -7.39937e-05    0.000216504    -0.00121777
             1        13.8195      -0.044653       0.005023    -0.00094784    0.000251404   -6.02805e-05   -0.000176574     0.00175837
           1.2        16.7299       -0.05292       0.006998    -0.00154762     0.00049119   -0.000228682    0.000362407    -0.00256147
           1.4        19.7033       -0.06112       0.009263    -0.00234158    0.000858821   -0.000496281    0.000916709     -0.0055209
           1.6        22.7383      -0.069302       0.011821    -0.00334769     0.00135786    -0.00075947    0.000748081    -0.00218333
           1.8        25.8293      -0.077489       0.014676    -0.00459321     0.00203514    -0.00112954    0.000431997     0.00273319
             2        28.9671      -0.085682       0.017829    -0.00611351     0.00298906    -0.00199475     0.00221743    -0.00692383
           2.2        32.1391      -0.093862       0.021266    -0.00790787     0.00415702    -0.00278718     0.00178791     0.00341359
           2.4        35.3296      -0.101997       0.024969    -0.00999928     0.00565953    -0.00415839     0.00365019    -0.00273517
           2.6        38.5197      -0.110047        0.02891     -0.0123856     0.00749476    -0.00593818     0.00603954    -0.00904283
           2.8        41.6883      -0.117964       0.033049     -0.0150453     0.00962153    -0.00783454     0.00672056     0.00240094
             3        44.8122      -0.125698       0.037346     -0.0179809      0.0121673     -0.0106441       0.011115     -0.0107911
           3.2        47.8666      -0.133195       0.041747     -0.0211505      0.0150687     -0.0140581      0.0169588       -0.03007
           3.4        50.8257      -0.140399       0.046189     -0.0244933      0.0182253     -0.0176856      0.0218188      -0.037057
           3.6        53.6638      -0.147258       0.050614     -0.0279696      0.0216514     -0.0218047      0.0276107     -0.0455237
           3.8        56.3556      -0.153721       0.054956      -0.031512      0.0252679     -0.0262864      0.0340037     -0.0544361
             4        58.8787      -0.159743       0.059151       -0.03505      0.0289874       -0.03098      0.0405013     -0.0606369
           4.2        61.2139      -0.165288       0.063142     -0.0385232      0.0327673     -0.0360227       0.048684     -0.0776516
           4.4        63.3462      -0.170331       0.066878     -0.0418615      0.0364807     -0.0409933      0.0560838     -0.0861438
           4.6        65.2657      -0.174855       0.070315      -0.045004      0.0400538      -0.045902      0.0638603     -0.0989463
           4.8        66.9673      -0.178858       0.073427     -0.0479174      0.0434747     -0.0509404      0.0736816      -0.128826
             5        68.4506      -0.182343       0.076188     -0.0505405      0.0465597     -0.0552593      0.0801724      -0.134596
           5.2        69.7185      -0.185321       0.078588     -0.0528604      0.0493573     -0.0594347      0.0881246      -0.156853
           5.4        70.7749      -0.187804       0.080618     -0.0548471      0.0517707     -0.0629889      0.0942408      -0.168163
           5.6        71.6278      -0.189813       0.082282     -0.0564975      0.0538102     -0.0660784      0.0998698      -0.180004
           5.8        72.2913      -0.191379       0.083592     -0.0578093      0.0554526     -0.0686568       0.105229      -0.197248
             6        72.7854      -0.192547       0.084573     -0.0587848      0.0566197     -0.0701626       0.106306      -0.187845
           6.2        73.1357      -0.193379       0.085279     -0.0595003      0.0575201     -0.0715369       0.108715      -0.191689
           6.4        73.3708      -0.193938       0.085755     -0.0599835      0.0581256     -0.0724406       0.110165      -0.193021
           6.6        73.5191      -0.194291       0.086056     -0.0602899      0.0585191     -0.0731168        0.11207      -0.203396
           6.8        73.6065      -0.194501       0.086238     -0.0604831      0.0587936     -0.0736888       0.113994      -0.213448
             7        73.6544      -0.194615       0.086335     -0.0605802      0.0589087     -0.0738274        0.11402      -0.211924
           7.2        73.6786      -0.194673       0.086386     -0.0606368      0.0590011     -0.0740839       0.115232      -0.220052
           7.4        73.6897      -0.194699       0.086407     -0.0606539      0.0590054     -0.0740071       0.114626      -0.215818
           7.6        73.6944       -0.19471       0.086416     -0.0606612      0.0590033     -0.0739257        0.11387      -0.208941
           7.8        73.6962      -0.194714       0.086419      -0.060663      0.0590017     -0.0739162       0.113895      -0.209956
             8        73.6968      -0.194716       0.086421     -0.0606652      0.0590013     -0.0738772       0.113462        -0.2056
           8.2        73.6969      -0.194716       0.086421      -0.060666      0.0590094     -0.0739441       0.114025      -0.210673
           8.4         73.697      -0.194716       0.086421      -0.060666      0.0590094     -0.0739433       0.114009      -0.210442
