                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              7.10335           -0.0247927           0.00158847         -0.000178164          5.58548e-05         -0.000181491           0.00124695            -0.010046 
                 0.4              14.2524           -0.0482495           0.00593258          -0.00123511          0.000390886         -0.000286721           0.00103731          -0.00752518 
                 0.6              21.4898            -0.070414            0.0124617          -0.00369909           0.00159437          -0.00104671           0.00180837          -0.00975865 
                 0.8              28.8522           -0.0915137            0.0207635          -0.00783253           0.00418693          -0.00278994           0.00127108           0.00847156 
                   1              36.3675            -0.111866            0.0306242           -0.0138464            0.0088762           -0.0073933           0.00744111          -0.00778927 
                 1.2              44.0528            -0.131774            0.0419741           -0.0219296            0.0161764           -0.0154206            0.0173798           -0.0172316 
                 1.4              51.9132            -0.151465            0.0548256           -0.0323398            0.0268631           -0.0289565            0.0382645           -0.0581688 
                 1.6              59.9407            -0.171069            0.0691989           -0.0453252            0.0416636            -0.049648            0.0728641            -0.126789 
                 1.8              68.1154            -0.190634            0.0850921           -0.0611225            0.0613902           -0.0797404             0.127257            -0.239505 
                   2              76.4055            -0.210146             0.102462           -0.0799171            0.0868458            -0.121792              0.20965            -0.426016 
                 2.2              84.7691            -0.229544             0.121217            -0.101817              0.11875            -0.178473             0.329755            -0.726512 
                 2.4              93.1557            -0.248744             0.141217            -0.126818             0.157561            -0.251634             0.493008             -1.14825 
                 2.6              101.507             -0.26764             0.162285            -0.154827              0.20362            -0.343348             0.708719             -1.73424 
                 2.8              109.761            -0.286122             0.184207             -0.18565             0.257019            -0.455098             0.984624               -2.521 
                   3              117.849            -0.304071             0.206734            -0.218978             0.317529            -0.587496                1.326             -3.53831 
                 3.2              125.702            -0.321367             0.229593            -0.254396             0.384608            -0.740145              1.73445             -4.79872 
                 3.4              133.252            -0.337895             0.252494            -0.291405              0.45743            -0.911823              2.20926             -6.31003 
                 3.6               140.43            -0.353542             0.275135            -0.329437             0.534947              -1.1007              2.74867             -8.08517 
                 3.8              147.171            -0.368196             0.297195            -0.367814             0.615656             -1.30297              3.34113              -10.078 
                   4               153.42            -0.381765             0.318372             -0.40586             0.698017             -1.51487              3.97692             -12.2642 
                 4.2              159.133            -0.394173             0.338382            -0.442877             0.780297             -1.73177              4.64268             -14.6053 
                 4.4              164.283            -0.405373             0.356986            -0.478213             0.860725             -1.94835              5.32033             -17.0287 
                 4.6              168.858            -0.415354             0.374009            -0.511332             0.937762             -2.15996              5.99477             -19.4833 
                 4.8              172.861            -0.424126             0.389332            -0.541793              1.01002               -2.362              6.64906             -21.8983 
                   5              176.308            -0.431724             0.402895            -0.569291              1.07643             -2.55079              7.26989             -24.2231 
                 5.2              179.221            -0.438194             0.414668            -0.593585              1.13607             -2.72288               7.8436             -26.3987 
                 5.4              181.625            -0.443581             0.424641              -0.6145              1.18818              -2.8753              8.35799             -28.3696 
                 5.6              183.551            -0.447939             0.432835            -0.631933              1.23222             -3.00586              8.80444             -30.1035 
                 5.8               185.04            -0.451346             0.439321            -0.645907              1.26795             -3.11298              9.17469             -31.5562 
                   6              186.145            -0.453902             0.444238            -0.656615               1.2956             -3.19673              9.46687             -32.7125 
                 6.2              186.928            -0.455732             0.447785            -0.664404               1.3159             -3.25869              9.68479             -33.5818 
                 6.4              187.454            -0.456973             0.450205            -0.669757              1.32994             -3.30189              9.83793             -34.1981 
                 6.6              187.788            -0.457768              0.45176            -0.673216              1.33907             -3.33016              9.93891             -34.6082 
                 6.8              187.986            -0.458243             0.452692            -0.675295              1.34458             -3.34726              10.0002             -34.8576 
                   7              188.096            -0.458508             0.453211            -0.676454              1.34765             -3.35675              10.0339             -34.9922 
                 7.2              188.153            -0.458645             0.453481            -0.677056              1.34924             -3.36172              10.0516             -35.0638 
                 7.4               188.18            -0.458711             0.453609            -0.677345              1.35001             -3.36413              10.0603             -35.0998 
                 7.6              188.192            -0.458739             0.453665            -0.677468              1.35034             -3.36511              10.0637             -35.1125 
                 7.8              188.197             -0.45875             0.453687            -0.677518              1.35047             -3.36555              10.0654             -35.1203 
                   8              188.198            -0.458754             0.453695            -0.677535              1.35052             -3.36569              10.0659             -35.1227 
                 8.2              188.199            -0.458756             0.453697            -0.677541              1.35053             -3.36573               10.066             -35.1225 
                 8.4              188.199            -0.458756             0.453698            -0.677544              1.35054             -3.36578              10.0663             -35.1249 
                 8.6              188.199            -0.458756             0.453699            -0.677545              1.35055             -3.36582              10.0665             -35.1264 
                 8.8              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36582              10.0666             -35.1266 
                   9              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36582              10.0666             -35.1266 
                 9.2              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                 9.4              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                 9.6              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                 9.8              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                  10              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                10.2              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                10.4              188.199            -0.458756             0.453698            -0.677545              1.35055             -3.36581              10.0665             -35.1263 
                10.6              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                10.8              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  11              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.2              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.4              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.6              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.8              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  12              188.199                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
