            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        5.65252      -0.018134       0.000866   -7.01765e-05    4.76538e-06    2.74055e-05    -0.00022258     0.00180444
           0.4        11.3466      -0.035474       0.003278   -0.000501785    5.68533e-05    0.000316002    -0.00243763      0.0196266
           0.6        17.1226      -0.051998       0.006977    -0.00157801    0.000521092   -0.000286551    0.000608891    -0.00398569
           0.8        23.0189      -0.067838       0.011753    -0.00342152     0.00148317    -0.00118657     0.00334258     -0.0220243
             1          29.07      -0.083228       0.017505    -0.00613185     0.00306946    -0.00205615     0.00191426    -0.00299462
           1.2         35.305       -0.09842       0.024236    -0.00987564     0.00569902    -0.00422092     0.00338386    0.000618252
           1.4         41.746      -0.113627       0.032009     -0.0148465     0.00975765    -0.00841812     0.00934322     -0.0148685
           1.6        48.4062      -0.128991       0.040896     -0.0212318      0.0155539     -0.0148158      0.0173306     -0.0229604
           1.8         55.289      -0.144592       0.050975      -0.029272      0.0236231     -0.0246123      0.0306754     -0.0380677
             2         62.387      -0.160454       0.062304     -0.0392131      0.0345876     -0.0393664      0.0540623     -0.0796918
           2.2        69.6823      -0.176557        0.07491      -0.051281      0.0490977     -0.0607971      0.0924448      -0.164923
           2.4        77.1472      -0.192848        0.08878     -0.0656448      0.0677071     -0.0902741       0.148483      -0.293397
           2.6        84.7457      -0.209252       0.103868      -0.082437      0.0909899       -0.12952       0.226756      -0.473405
           2.8        92.4346       -0.22568       0.120095      -0.101737       0.119486      -0.180498        0.33398      -0.728715
             3        100.166      -0.242034        0.13735      -0.123565       0.153705      -0.245655       0.481824       -1.12617
           3.2        107.887      -0.258212       0.155485      -0.147819       0.193732      -0.325439       0.669021       -1.62973
           3.4        115.547      -0.274114       0.174337      -0.174371       0.239755      -0.421722        0.90685        -2.3115
           3.6        123.093      -0.289647       0.193726      -0.203003       0.291622      -0.534843        1.19739       -3.17364
           3.8        130.478      -0.304724        0.21346      -0.233436       0.349015      -0.664853        1.54349       -4.23571
             4        137.654      -0.319268       0.233345      -0.265347       0.411476      -0.811472        1.94805       -5.52677
           4.2        144.581      -0.333208       0.253177      -0.298332       0.478132      -0.972325        2.40129       -6.98445
           4.4        151.215      -0.346479       0.272768      -0.332036       0.548444       -1.14742        2.91172       -8.69761
           4.6        157.508      -0.359005       0.291892      -0.365953       0.621188       -1.33323        3.46611        -10.597
           4.8        163.414       -0.37071       0.310319       -0.39955       0.695067       -1.52624        4.05356       -12.6431
             5        168.894      -0.381527       0.327828      -0.432286       0.768726       -1.72281        4.66412       -14.8134
           5.2        173.916      -0.391412       0.344235      -0.463667       0.840812        -1.9189        5.28418       -17.0559
           5.4        178.463      -0.400348       0.359406      -0.493282       0.910114       -2.11062        5.89994       -19.3153
           5.6        182.527      -0.408337        0.37325       -0.52081       0.975605       -2.29448        6.49801       -21.5322
           5.8        186.108      -0.415395       0.385715      -0.546025        1.03654         -2.468        7.06986       -23.6781
             6        189.199      -0.421521        0.39673      -0.568678        1.09213       -2.62868        7.60763       -25.7315
           6.2         191.79      -0.426695       0.406186      -0.588412        1.14119       -2.77204        8.09126       -27.5848
           6.4        193.882      -0.430922       0.414033      -0.605032        1.18308       -2.89611        8.51544       -29.2333
           6.6        195.501      -0.434234       0.420266      -0.618404        1.21719       -2.99816        8.86721       -30.6073
           6.8        196.693      -0.436706       0.424977      -0.628638        1.24363       -3.07831        9.14756       -31.7221
             7        197.523      -0.438449       0.428331      -0.635994        1.26279       -3.13686         9.3536       -32.5438
           7.2        198.067      -0.439604       0.430571      -0.640947        1.27581       -3.17695        9.49585       -33.1159
           7.4          198.4      -0.440318       0.431964      -0.644048        1.28402       -3.20248        9.58766       -33.4931
           7.6        198.591      -0.440728       0.432766      -0.645838        1.28876       -3.21722        9.64035       -33.7062
           7.8        198.691      -0.440946       0.433194      -0.646799        1.29133        -3.2253        9.66991       -33.8307
             8         198.74      -0.441052       0.433402      -0.647264        1.29256       -3.22913        9.68347       -33.8842
           8.2        198.762      -0.441098       0.433491      -0.647459        1.29306       -3.23057        9.68787       -33.8966
           8.4         198.77      -0.441118       0.433531      -0.647551        1.29332       -3.23143        9.69137       -33.9135
           8.6        198.773      -0.441125       0.433545      -0.647584        1.29341       -3.23179        9.69302       -33.9235
           8.8        198.775      -0.441127       0.433549      -0.647593        1.29344       -3.23186        9.69327       -33.9245
             9        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69314       -33.9226
           9.2        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187         9.6932       -33.9232
           9.4        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
           9.6        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
           9.8        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
            10        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          10.2        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          10.4        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          10.6        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          10.8        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
            11        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          11.2        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          11.4        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          11.6        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
          11.8        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
            12        198.775      -0.441128       0.433551      -0.647597        1.29345       -3.23187        9.69319        -33.923
