            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        5.03563      -0.022862       0.001347   -0.000144318     6.0176e-05   -0.000234558     0.00154883     -0.0119277
           0.4        10.0821      -0.044365       0.004992   -0.000957296    0.000265964   -0.000133566    0.000472612    -0.00447295
           0.6        15.1454      -0.064501       0.010402    -0.00284562     0.00113018   -0.000684249     0.00130135    -0.00884631
           0.8        20.2226      -0.083359       0.017126    -0.00593046     0.00294256    -0.00189941     0.00133728      0.0008538
             1        25.2975      -0.101073       0.024826     -0.0102162     0.00601795    -0.00471748     0.00513475     -0.0110232
           1.2        30.3393      -0.117763       0.033256     -0.0156525      0.0105568    -0.00963156      0.0128834     -0.0343596
           1.4        35.3017      -0.133476       0.042181     -0.0220683      0.0163981     -0.0158917       0.019001      -0.026768
           1.6        40.1255      -0.148204         0.0514     -0.0293507      0.0237329     -0.0249487      0.0320159     -0.0457744
           1.8         44.743      -0.161875       0.060671     -0.0372497       0.032312     -0.0364667      0.0508281     -0.0844696
             2        49.0836      -0.174397        0.06975     -0.0454815      0.0418006     -0.0499227      0.0736365      -0.129896
           2.2        53.0809      -0.185677         0.0784     -0.0537462       0.051843     -0.0650285       0.101382      -0.193581
           2.4        56.6812       -0.19565       0.086408     -0.0617169      0.0618722     -0.0804041       0.128694      -0.244083
           2.6        59.8511      -0.204299       0.093625     -0.0691576      0.0715705     -0.0959062        0.15824      -0.310243
           2.8        62.5779      -0.211655       0.099963     -0.0758875      0.0806099      -0.110871       0.188241      -0.383728
             3         64.858      -0.217759       0.105359     -0.0817409       0.088594      -0.124082       0.213383      -0.432567
           3.2        66.6999      -0.222673       0.109798     -0.0866501      0.0954228      -0.135674       0.236623      -0.485884
           3.4         68.129      -0.226488       0.113309     -0.0906058       0.101063      -0.145705       0.259098      -0.553575
           3.6        69.1877      -0.229321        0.11595     -0.0936045       0.105323      -0.153003       0.273268      -0.580118
           3.8         69.932      -0.231322       0.117836     -0.0957658       0.108417       -0.15832       0.283455      -0.597136
             4         70.426      -0.232657       0.119106     -0.0972373       0.110569      -0.162251       0.292617      -0.626945
           4.2        70.7336      -0.233492       0.119905     -0.0981673       0.111932      -0.164724       0.298187      -0.643399
           4.4        70.9122      -0.233978        0.12037     -0.0987031       0.112685      -0.165904       0.299595      -0.638547
           4.6        71.0083      -0.234241       0.120625     -0.0990092       0.113176      -0.167043       0.303837      -0.663373
           4.8        71.0561      -0.234372       0.120751     -0.0991549       0.113379      -0.167334       0.303925      -0.659223
             5        71.0778      -0.234432        0.12081     -0.0992278       0.113502      -0.167635       0.305026      -0.664945
           5.2        71.0867      -0.234456       0.120832     -0.0992488        0.11351      -0.167515        0.30389      -0.655481
           5.4          71.09      -0.234465       0.120841     -0.0992612       0.113539      -0.167637       0.304665       -0.66164
           5.6        71.0911      -0.234467        0.12084     -0.0992478       0.113459      -0.167145       0.301266      -0.635181
           5.8        71.0914      -0.234469       0.120845     -0.0992653       0.113539      -0.167596       0.304231      -0.657508
             6        71.0915      -0.234469       0.120844     -0.0992603       0.113513      -0.167434       0.303093      -0.648436
           6.2        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           6.4        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649501
           6.6        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           6.8        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
             7        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           7.2        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           7.4        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           7.6        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
           7.8        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
             8        71.0915      -0.234469       0.120844     -0.0992604       0.113514      -0.167447       0.303207      -0.649508
