            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        11.7562      -0.051904       0.006824     -0.0015259    0.000480981   -0.000150407    -0.00022247     0.00212071
           0.4        23.5317      -0.098027       0.023662    -0.00960402     0.00558056    -0.00427605     0.00424309    -0.00631993
           0.6        35.3344      -0.139425       0.046623     -0.0258833      0.0203963      -0.020856       0.025608     -0.0314303
           0.8        47.1514      -0.177097       0.073418     -0.0499464      0.0479644     -0.0598154      0.0916989      -0.164587
             1        58.9408      -0.211865       0.102759     -0.0808837      0.0893374      -0.127732       0.224509       -0.46662
           1.2         70.629      -0.244307       0.133891      -0.117833       0.144695      -0.229342       0.446915       -1.03708
           1.4        82.1116      -0.274751        0.16625      -0.159913        0.21336      -0.365941       0.768592       -1.91009
           1.6        93.2597       -0.30334       0.199339      -0.206269       0.294434      -0.538514        1.20423       -3.18829
           1.8        103.928      -0.330082       0.232631       -0.25588       0.386146      -0.744003        1.74823       -4.85367
             2        113.956      -0.354888       0.265564      -0.307658       0.486492      -0.978864        2.39656       -6.92313
           2.2         123.17      -0.377555       0.297435      -0.360193       0.592531       -1.23618        3.13029        -9.3318
           2.4        131.417      -0.397841       0.327445      -0.411777       0.700462       -1.50664        3.92502       -12.0198
           2.6        138.619      -0.415627       0.354953      -0.460827       0.806319       -1.77914        4.74523       -14.8551
           2.8        144.767      -0.430948       0.379601       -0.50624       0.907075       -2.04478        5.56196       -17.7348
             3        149.881       -0.44387       0.401141      -0.547132        1.00013       -2.29541        6.34636       -20.5391
           3.2        153.998       -0.45447       0.419389      -0.582753        1.08317       -2.52394        7.07566       -23.1952
           3.4        157.188      -0.462863       0.434258      -0.612532         1.1542       -2.72342        7.72413       -25.5981
           3.6        159.552      -0.469227       0.445816      -0.636215        1.21188       -2.88849        8.26994       -27.6513
           3.8        161.219      -0.473812       0.454316      -0.653972         1.2559       -3.01658        8.69977       -29.2889
             4        162.331      -0.476928       0.460186      -0.666433        1.28727       -3.10918        9.01498       -30.5072
           4.2        163.029      -0.478915       0.463974       -0.67457        1.30799       -3.17101         9.2275       -31.3353
           4.4        163.439      -0.480097       0.466246      -0.679493        1.32064       -3.20911        9.35983       -31.8572
           4.6        163.664      -0.480749       0.467505      -0.682235        1.32771        -3.2305        9.43424       -32.1504
           4.8        163.777      -0.481081       0.468148      -0.683637        1.33134       -3.24147        9.47252       -32.3017
             5        163.831      -0.481238       0.468453      -0.684307        1.33309       -3.24684        9.49161       -32.3796
           5.2        163.853      -0.481304        0.46858      -0.684584        1.33379       -3.24895        9.49871       -32.4058
           5.4        163.862      -0.481331       0.468633      -0.684704        1.33412       -3.25002         9.5029       -32.4257
           5.6        163.865      -0.481339       0.468648      -0.684732        1.33418       -3.25011         9.5027        -32.421
           5.8        163.866      -0.481343       0.468657      -0.684757        1.33427        -3.2505        9.50487       -32.4356
             6        163.867      -0.481343       0.468656      -0.684751        1.33423        -3.2503        9.50354       -32.4256
           6.2        163.867      -0.481343       0.468656      -0.684752        1.33423       -3.25031        9.50358       -32.4258
           6.4        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50378       -32.4275
           6.6        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50377       -32.4275
           6.8        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50377       -32.4275
             7        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
           7.2        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
           7.4        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
           7.6        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
           7.8        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
             8        163.867      -0.481343       0.468656      -0.684752        1.33424       -3.25033        9.50376       -32.4273
