                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.945883             0.997601             0.992827             0.985707             0.964574             0.929852             0.855452             0.717949 
                 0.4              1.87354             0.995249             0.985834             0.971881             0.930888             0.864491             0.725939             0.478308 
                 0.6              2.76597             0.992986             0.979148             0.958758              0.89945             0.804718             0.612125             0.279406 
                 0.8              3.60854             0.990849             0.972872             0.946528             0.870624             0.750992             0.513818             0.117714 
                   1              4.38981             0.988868             0.967084             0.935326             0.844624              0.70345             0.430164           -0.0114158 
                 1.2              5.10211             0.987062             0.961833             0.925228             0.821518             0.661958             0.359856            -0.113065 
                 1.4              5.74163              0.98544             0.957141             0.916254             0.801253             0.626172              0.30134            -0.192222 
                 1.6               6.3082             0.984004                0.953             0.908378             0.783673             0.595599             0.252981            -0.253431 
                 1.8              6.80463             0.982745             0.949385             0.901534             0.768553             0.569664             0.213186            -0.300604 
                   2              7.23601             0.981651             0.946254             0.895629             0.755629             0.547763             0.180494             -0.33697 
                 2.2              7.60884             0.980705             0.943556             0.890558             0.744617             0.529301             0.153607            -0.365109 
                 2.4              7.93041              0.97989             0.941233             0.886207             0.735235             0.513722             0.131408            -0.387035 
                 2.6              8.20828             0.979185             0.939231             0.882466             0.727215             0.500512             0.112946            -0.404302 
                 2.8              8.44997             0.978573             0.937493             0.879225             0.720304              0.48921            0.0974213            -0.418096 
                   3              8.66271             0.978033             0.935965             0.876383             0.714271             0.479406            0.0841578            -0.429325 
                 3.2              8.85327              0.97755             0.934598             0.873845             0.708905             0.470736            0.0725914            -0.438677 
                 3.4              9.02765             0.977108             0.933349             0.871529             0.704028             0.462896            0.0622635            -0.446664 
                 3.6              9.19091             0.976694             0.932181             0.869367             0.699489             0.455636            0.0528138            -0.453658 
                 3.8              9.34695             0.976298             0.931066             0.867305             0.695176             0.448768            0.0439772            -0.459915 
                   4              9.49875             0.975913             0.929982             0.865305             0.691004             0.442154            0.0355623            -0.465609 
                 4.2               9.6489             0.975532             0.928911             0.863331               0.6869             0.435677            0.0274126            -0.470868 
                 4.4              9.79969              0.97515             0.927837             0.861354             0.682801             0.429235            0.0193995            -0.475783 
                 4.6              9.95038             0.974768             0.926765             0.859382             0.678727             0.422862            0.0115615            -0.480336 
                 4.8               10.096             0.974398             0.925729             0.857481              0.67481             0.416762           0.00414463            -0.484402 
                   5              10.2303             0.974058             0.924776             0.855733              0.67122             0.411193          -0.00255161            -0.487863 
                 5.2               10.347             0.973762             0.923948             0.854217             0.668112             0.406391          -0.00826923            -0.490654 
                 5.4              10.4421             0.973521             0.923273             0.852983              0.66559             0.402506           -0.0128556             -0.49278 
                 5.6              10.5142             0.973338             0.922762             0.852048             0.663681             0.399573           -0.0162947            -0.494307 
                 5.8              10.5651             0.973209             0.922402              0.85139              0.66234             0.397516           -0.0186942            -0.495338 
                   6              10.5981             0.973125             0.922168             0.850962             0.661469             0.396183           -0.0202451            -0.495988 
                 6.2              10.6179             0.973075             0.922028             0.850706             0.660948             0.395386           -0.0211697             -0.49637 
                 6.4              10.6288             0.973048             0.921951             0.850566             0.660663              0.39495           -0.0216747            -0.496576 
                 6.6              10.6342             0.973034             0.921912             0.850496             0.660521             0.394732            -0.021927            -0.496679 
                 6.8              10.6366             0.973028             0.921895             0.850465             0.660457             0.394634           -0.0220404            -0.496725 
                   7              10.6376             0.973025             0.921888             0.850452              0.66043             0.394594           -0.0220869            -0.496744 
                 7.2               10.638             0.973024             0.921886             0.850447             0.660421             0.394579           -0.0221035            -0.496751 
                 7.4              10.6381             0.973024             0.921885             0.850445             0.660418             0.394575           -0.0221091            -0.496753 
                 7.6              10.6381             0.973024             0.921885             0.850445             0.660417             0.394573           -0.0221106            -0.496754 
                 7.8              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573            -0.022111            -0.496754 
                   8              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 8.2              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 8.4              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 8.6              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 8.8              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                   9              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 9.2              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 9.4              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 9.6              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                 9.8              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
                  10              10.6381             0.973024             0.921884             0.850445             0.660417             0.394573           -0.0221111            -0.496754 
