                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              1.18029             0.997007             0.991056             0.982196             0.955964             0.913019              0.82161             0.654066 
                 0.4              2.33814             0.994071             0.982349             0.965028             0.914404                0.833             0.665408             0.371061 
                 0.6              3.45264             0.991245             0.974031              0.94878             0.875896             0.760738             0.531361              0.14582 
                 0.8              4.50577             0.988574             0.966227             0.933675             0.840823             0.696576             0.418339           -0.0289755 
                   1              5.48344             0.986095             0.959033             0.919867              0.80938             0.640455             0.324454            -0.161588 
                 1.2              6.37618             0.983831             0.952504             0.907438             0.781587             0.592001             0.247391            -0.260238 
                 1.4              7.17925             0.981795             0.946666             0.896404             0.757318             0.550611             0.184697            -0.332422 
                 1.6              7.89239             0.979986             0.941508             0.886721             0.736339             0.515547             0.133985            -0.384553 
                 1.8              8.51901             0.978397             0.936996             0.878301             0.718341             0.486013            0.0930752            -0.421833 
                   2              9.06536             0.977012             0.933079             0.871029             0.702977             0.461212             0.060062             -0.44832 
                 2.2               9.5395              0.97581             0.929691             0.864769             0.689888              0.44039            0.0333334            -0.467073 
                 2.4              9.95051             0.974767             0.926764              0.85938             0.678723             0.422857             0.011555             -0.48034 
                 2.6              10.3079             0.973861             0.924225             0.854724             0.669152             0.407995          -0.00636511            -0.489742 
                 2.8              10.6211             0.973067             0.922005             0.850666             0.660866              0.39526           -0.0213156            -0.496429 
                   3              10.8993             0.972362             0.920038             0.847077             0.653585             0.384169           -0.0340204            -0.501207 
                 3.2              11.1511             0.971723              0.91826             0.843844             0.647061             0.374311           -0.0450618            -0.504626 
                 3.4              11.3842             0.971132             0.916618             0.840863             0.641075             0.365336           -0.0549037             -0.50705 
                 3.6               11.605             0.970572             0.915064             0.838048             0.635451             0.356962           -0.0639005            -0.508715 
                 3.8              11.8188              0.97003             0.913562             0.835334             0.630052             0.348978           -0.0723091            -0.509758 
                   4              12.0296             0.969495             0.912083             0.832666             0.624769              0.34122           -0.0803174            -0.510258 
                 4.2              12.2412             0.968959             0.910601             0.829998              0.61951             0.333548            -0.088077            -0.510248 
                 4.4               12.457             0.968412             0.909092             0.827287              0.61419             0.325841            -0.095708            -0.509728 
                 4.6              12.6759             0.967856             0.907563             0.824546             0.608836             0.318141            -0.103166            -0.508692 
                 4.8              12.8906             0.967312             0.906066             0.821867             0.603627             0.310703            -0.110207            -0.507196 
                   5              13.0916             0.966802             0.904667             0.819369              0.59879             0.303845            -0.116556            -0.505379 
                 5.2              13.2695             0.966351             0.903431             0.817165             0.594541             0.297857            -0.121983            -0.503446 
                 5.4              13.4174             0.965976             0.902403             0.815336             0.591028             0.292935            -0.126363            -0.501614 
                 5.6              13.5325             0.965684             0.901605             0.813917             0.588309             0.289143            -0.129686             -0.50005 
                 5.8              13.6159             0.965473             0.901027              0.81289             0.586347             0.286415            -0.132049            -0.498843 
                   6               13.672             0.965331             0.900638               0.8122              0.58503             0.284589            -0.133618            -0.497996 
                 6.2              13.7069             0.965242             0.900396             0.811771             0.584211             0.283456            -0.134586            -0.497455 
                 6.4              13.7269             0.965191             0.900258             0.811525             0.583743             0.282808            -0.135137            -0.497141 
                 6.6              13.7374             0.965165             0.900185             0.811396             0.583497             0.282467            -0.135427            -0.496974 
                 6.8              13.7425             0.965152              0.90015             0.811334             0.583379             0.282304            -0.135565            -0.496893 
                   7              13.7447             0.965146             0.900135             0.811307             0.583327             0.282233            -0.135625            -0.496858 
                 7.2              13.7455             0.965144             0.900129             0.811297             0.583307             0.282205            -0.135649            -0.496845 
                 7.4              13.7458             0.965143             0.900127             0.811293               0.5833             0.282196            -0.135657             -0.49684 
                 7.6              13.7459             0.965143             0.900126             0.811292             0.583298             0.282193             -0.13566            -0.496838 
                 7.8               13.746             0.965143             0.900126             0.811292             0.583298             0.282192             -0.13566            -0.496838 
                   8               13.746             0.965143             0.900126             0.811292             0.583298             0.282192             -0.13566            -0.496838 
                 8.2               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 8.4               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 8.6               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 8.8               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                   9               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 9.2               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 9.4               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 9.6               13.746             0.965143             0.900126             0.811292             0.583297             0.282192            -0.135661            -0.496838 
                 9.8               13.746                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  10               13.746                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
