            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        1.30511       0.996865       0.990617       0.981261        0.95351       0.907575       0.808861         0.6241
           0.4        2.59496       0.993767       0.981386       0.962876         0.9086       0.819374       0.632143       0.288893
           0.6         3.8549       0.990741       0.972409       0.945048       0.865714       0.736186       0.470804    -0.00537378
           0.8        5.07147       0.987819       0.963779       0.927957       0.825215       0.658598       0.325228      -0.259893
             1        6.23295       0.985029       0.955574       0.911751       0.787374       0.586991        0.19528       -0.47702
           1.2        7.32984       0.982394       0.947857       0.896547       0.752369       0.521546      0.0803936      -0.659943
           1.4        8.35521       0.979931        0.94067       0.882423       0.720282       0.462254     -0.0203393      -0.812363
           1.6        9.30482       0.977651       0.934037       0.869418       0.691108       0.408945      -0.108063      -0.938197
           1.8        10.1772       0.975555       0.927964       0.857536       0.664763       0.361314      -0.184063       -1.04133
             2        10.9731       0.973643        0.92244       0.846749       0.641103       0.318961       -0.24968        -1.1254
           2.2        11.6955       0.971908        0.91744       0.837002       0.619937       0.281424      -0.306231       -1.19373
           2.4        12.3487       0.970339        0.91293       0.828227       0.601052       0.248219      -0.354953       -1.24917
           2.6        12.9377       0.968925       0.908872       0.820342       0.584224       0.218865      -0.396974       -1.29417
           2.8        13.4683        0.96765       0.905225       0.813265        0.56923         0.1929      -0.433295       -1.33075
             3        13.9463       0.966502       0.901945       0.806908       0.555856       0.169892      -0.464797       -1.36058
           3.2        14.3777       0.965466        0.89899       0.801187       0.543891       0.149435      -0.492252       -1.38503
           3.4        14.7686       0.964527       0.896315       0.796015       0.533136        0.13115      -0.516343       -1.40518
           3.6        15.1253        0.96367       0.893879       0.791307       0.523396       0.114674      -0.537675       -1.42195
           3.8        15.4538       0.962881       0.891638       0.786981       0.514487      0.0996755      -0.556784       -1.43605
             4          15.76       0.962146       0.889551       0.782956       0.506234      0.0858453      -0.574134       -1.44805
           4.2         16.049       0.961451       0.887584       0.779164       0.498491      0.0729227      -0.590108       -1.45838
           4.4        16.3253       0.960788       0.885705       0.775545       0.491132      0.0606913      -0.605013       -1.46736
           4.6        16.5922       0.960147       0.883892       0.772055       0.484059      0.0489818      -0.619083       -1.47523
