                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.759829             0.998346             0.995048             0.990121             0.975444             0.951212             0.898839             0.800966 
                 0.4              1.51293             0.996706              0.99016             0.980417             0.951605              0.90448             0.804428             0.621511 
                 0.6              2.25275             0.995096             0.985378             0.970971             0.928663              0.86011             0.717136              0.46152 
                 0.8              2.97307             0.993528             0.980741             0.961855             0.906774             0.818344             0.637135             0.320389 
                   1              3.66821             0.992015             0.976283             0.953134             0.886064              0.77935             0.564423             0.197126 
                 1.2              4.33314             0.990567             0.972035             0.944862              0.86663             0.743233             0.498842            0.0904479 
                 1.4              4.96369             0.989195             0.968021              0.93708             0.848536             0.710029             0.440111          -0.00111709 
                 1.6              5.55664             0.987904             0.964259             0.929818             0.831815             0.679717             0.387846           -0.0791437 
                 1.8              6.10982               0.9867             0.960761             0.923091              0.81647              0.65222             0.341591            -0.145232 
                   2              6.62216             0.985584             0.957531             0.916903             0.802475             0.627414             0.300838            -0.200942 
                 2.2              7.09366             0.984558             0.954567             0.911243             0.789777             0.605139             0.265057             -0.24775 
                 2.4              7.52527             0.983618              0.95186             0.906092             0.778305             0.585207              0.23371            -0.287006 
                 2.6               7.9187             0.982762             0.949399             0.901421             0.767974             0.567413             0.206279            -0.319918 
                 2.8              8.27622             0.981983             0.947167             0.897197             0.758689             0.551551             0.182274            -0.347536 
                   3              8.60041             0.981278             0.945147             0.893383             0.750353             0.537419              0.16125            -0.370759 
                 3.2               8.8939             0.980639             0.943321             0.889944             0.742875             0.524826             0.142814            -0.390335 
                 3.4              9.15928             0.980061             0.941673             0.886846              0.73617             0.513605             0.126625            -0.406885 
                 3.6              9.39894             0.979539             0.940187             0.884057             0.730159             0.503604              0.11239            -0.420918 
                 3.8              9.61509             0.979069             0.938848             0.881549             0.724775             0.494692            0.0998611            -0.432846 
                   4              9.80979             0.978645             0.937644             0.879296             0.719955             0.486751            0.0888226            -0.443013 
                 4.2              9.98501             0.978264             0.936561             0.877274             0.715641             0.479674            0.0790868            -0.451705 
                 4.4              10.1427              0.97792             0.935588             0.875458             0.711779             0.473363            0.0704862            -0.459161 
                 4.6              10.2847             0.977611             0.934712             0.873825             0.708315             0.467723            0.0628668            -0.465585 
                 4.8              10.4129             0.977332             0.933922             0.872354             0.705201             0.462668              0.05609            -0.471152 
                   5               10.529             0.977079             0.933207             0.871023              0.70239             0.458118            0.0500333            -0.476008 
                 5.2              10.6349             0.976849             0.932555             0.869812             0.699838             0.453997            0.0445841            -0.480278 
                 5.4              10.7319             0.976638             0.931958             0.868703             0.697504             0.450239            0.0396446            -0.484065 
                 5.6              10.8218             0.976442             0.931406             0.867678              0.69535             0.446777              0.03512            -0.487463 
                 5.8              10.9061             0.976258             0.930888             0.866717             0.693333             0.443543            0.0309149             -0.49056 
                   6              10.9856             0.976085               0.9304             0.865812             0.691437             0.440509            0.0269894            -0.493395 
                 6.2              11.0592             0.975925             0.929948             0.864974             0.689685              0.43771            0.0233849            -0.495952 
                 6.4              11.1252             0.975782             0.929542             0.864224             0.688117             0.435209             0.020179            -0.498187 
                 6.6              11.1818             0.975658             0.929195             0.863581             0.686775             0.433071            0.0174478            -0.500062 
                 6.8              11.2279             0.975558             0.928913             0.863058             0.685684             0.431337            0.0152399            -0.501558 
                   7              11.2631             0.975481             0.928696             0.862659             0.684852             0.430014            0.0135591            -0.502685 
                 7.2              11.2883             0.975426             0.928542             0.862373             0.684257              0.42907            0.0123622            -0.503481 
                 7.4               11.305              0.97539              0.92844             0.862184             0.683862             0.428443            0.0115693            -0.504005 
                 7.6              11.3153             0.975368             0.928377             0.862068             0.683621              0.42806             0.011084            -0.504325 
                 7.8              11.3211             0.975355             0.928341             0.862002             0.683484             0.427844            0.0108107            -0.504504 
                   8               11.324             0.975349             0.928323             0.861968             0.683414             0.427732            0.0106702            -0.504597 
                 8.2              11.3254             0.975346             0.928315             0.861953             0.683382             0.427681            0.0106051            -0.504639 
                 8.4               11.326             0.975344             0.928311             0.861946             0.683368             0.427659            0.0105776            -0.504657 
                 8.6              11.3262             0.975344              0.92831             0.861944             0.683363             0.427651            0.0105676            -0.504664 
                 8.8              11.3263             0.975344             0.928309             0.861943             0.683361             0.427648            0.0105642            -0.504666 
                   9              11.3263             0.975344             0.928309             0.861943             0.683361             0.427648            0.0105631            -0.504667 
                 9.2              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105628            -0.504667 
                 9.4              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                 9.6              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                 9.8              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                  10              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                10.2              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                10.4              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                10.6              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                10.8              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                  11              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                11.2              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                11.4              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                11.6              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                11.8              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
                  12              11.3263             0.975344             0.928309             0.861943             0.683361             0.427647            0.0105627            -0.504667 
