                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2               2.0511             0.995535              0.98668             0.973537             0.934869             0.872054             0.740404             0.503579 
                 0.4              4.08415             0.991109             0.973624             0.947952             0.873865             0.756624             0.522954             0.129148 
                 0.6              6.08155             0.986761              0.96094             0.923434             0.817248             0.653607             0.343897            -0.142006 
                 0.8              8.02661             0.982527             0.948725             0.900144             0.765161             0.562595             0.198942             -0.32848 
                   1              9.90401              0.97844             0.937062             0.878208             0.717632             0.482937            0.0835643            -0.447741 
                 1.2              11.7002              0.97453              0.92602             0.857717             0.674594             0.413807          -0.00672176            -0.515428 
                 1.4              13.4038             0.970821             0.915654             0.838727             0.635897             0.354267           -0.0761659             -0.54497 
                 1.6              15.0059             0.967334             0.905999             0.821261             0.601328             0.303321            -0.128641            -0.547458 
                 1.8              16.5004              0.96408             0.897076             0.805309             0.570623             0.259968            -0.167563            -0.531721 
                   2              17.8838             0.961069             0.888886             0.790834             0.543483             0.223232            -0.195857            -0.504531 
                 2.2              19.1557               0.9583             0.881416              0.77777              0.51959             0.192194            -0.215962            -0.470888 
                 2.4              20.3183             0.955769             0.874638             0.766033             0.498614              0.16601            -0.229861            -0.434331 
                 2.6              21.3758             0.953467             0.868515             0.755527             0.480232             0.143927            -0.239129            -0.397253 
                 2.8              22.3341             0.951381                0.863             0.746143             0.464136             0.125282            -0.244993            -0.361181 
                   3              23.1999             0.949496             0.858046             0.737778             0.450042             0.109513            -0.248388             -0.32703 
                 3.2              23.9803             0.947797             0.853604              0.73033             0.437697            0.0961433            -0.250019            -0.295292 
                 3.4              24.6819              0.94627             0.849628             0.723705             0.426881             0.084783            -0.250413            -0.266188 
                 3.6              25.3114               0.9449             0.846076             0.717822             0.417405            0.0751098             -0.24996            -0.239767 
                 3.8              25.8745             0.943674              0.84291             0.712606             0.409106            0.0668599            -0.248948            -0.215978 
                   4              26.3768              0.94258             0.840096              0.70799             0.401843            0.0598136            -0.247591            -0.194695 
                 4.2              26.8239             0.941607             0.837598             0.703911             0.395488             0.053786             -0.24604            -0.175749 
                 4.4              27.2213             0.940742             0.835385             0.700309             0.389926            0.0486174            -0.244405            -0.158936 
                 4.6              27.5745             0.939973             0.833422             0.697126              0.38505            0.0441696            -0.242757            -0.144031 
                 4.8               27.889             0.939288             0.831677             0.694306              0.38076            0.0403227            -0.241142            -0.130801 
                   5              28.1703             0.938676              0.83012             0.691796             0.376966            0.0369728            -0.239585            -0.119016 
                 5.2              28.4232             0.938126             0.828723             0.689548             0.373588            0.0340322            -0.238095            -0.108461 
                 5.4              28.6522             0.937627             0.827459              0.68752             0.370556            0.0314263            -0.236677           -0.0989395 
                 5.6              28.8619             0.937171             0.826304              0.68567             0.367803            0.0290891            -0.235321           -0.0902607 
                 5.8              29.0565             0.936747             0.825233             0.683958             0.365266            0.0269587            -0.234016           -0.0822333 
                   6              29.2382             0.936351             0.824235             0.682364             0.362915            0.0250053            -0.232757           -0.0747724 
                 6.2              29.4053             0.935987             0.823317             0.680903             0.360767            0.0232385            -0.231566           -0.0679393 
                 6.4              29.5542             0.935663             0.822501             0.679604             0.358865            0.0216877            -0.230479           -0.0618741 
                 6.6              29.6813             0.935387             0.821805             0.678497             0.357248            0.0203805            -0.229531           -0.0567119 
                 6.8              29.7843             0.935162             0.821241             0.677602             0.355944            0.0193331             -0.22875           -0.0525417 
                   7               29.863             0.934991              0.82081             0.676919             0.354951            0.0185401            -0.228146           -0.0493642 
                 7.2              29.9193             0.934869             0.820502             0.676431             0.354243            0.0179764             -0.22771           -0.0470951 
                 7.4              29.9568             0.934787             0.820297             0.676106             0.353771            0.0176022            -0.227417           -0.0455837 
                 7.6                29.98             0.934736              0.82017             0.675905              0.35348            0.0173718            -0.227235            -0.044651 
                 7.8              29.9933             0.934707             0.820098              0.67579             0.353314            0.0172402            -0.227131           -0.0441177 
                   8              30.0003             0.934692              0.82006              0.67573             0.353227            0.0171712            -0.227076           -0.0438377 
                 8.2              30.0036             0.934685             0.820041             0.675701             0.353185            0.0171381             -0.22705           -0.0437034 
                 8.4              30.0051             0.934682             0.820033             0.675688             0.353166            0.0171234            -0.227038           -0.0436439 
                 8.6              30.0057             0.934681              0.82003             0.675683             0.353159            0.0171177            -0.227034           -0.0436211 
                 8.8              30.0059              0.93468             0.820029             0.675681             0.353157            0.0171157            -0.227032           -0.0436128 
                   9              30.0059              0.93468             0.820029             0.675681             0.353156            0.0171151            -0.227032           -0.0436102 
                 9.2              30.0059              0.93468             0.820029             0.675681             0.353156            0.0171149            -0.227032           -0.0436095 
                 9.4              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                 9.6              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                 9.8              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                  10              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                10.2              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                10.4              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                10.6              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                10.8              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                  11              30.0059              0.93468             0.820029             0.675681             0.353155            0.0171149            -0.227032           -0.0436094 
                11.2              30.0059                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.4              30.0059                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.6              30.0059                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.8              30.0059                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  12              30.0059                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
