            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2         2.1283       0.995934       0.987842       0.975741       0.939982       0.881006       0.755353       0.522326 
           0.4        4.24614       0.991889       0.975821       0.951865        0.88215       0.768398       0.533931       0.112494 
           0.6         6.3432       0.987883       0.963994       0.928485       0.826713       0.662455       0.335227      -0.233432 
           0.8        8.40936       0.983936       0.952415       0.905702       0.773839        0.56335       0.158415      -0.520139 
             1        10.4349       0.980067       0.941134       0.883611       0.723658        0.47115     0.00240415      -0.752842 
           1.2        12.4107       0.976293       0.930198       0.862296       0.676261       0.385829      -0.134098      -0.937074 
           1.4         14.328        0.97263        0.91965        0.84183       0.631704       0.307279      -0.252534       -1.07849 
           1.6        16.1791       0.969095       0.909526       0.822277       0.590009       0.235318      -0.354433       -1.18271 
           1.8        17.9568       0.965699       0.899858       0.803688       0.551169       0.169706      -0.441373       -1.25514 
             2         19.655       0.962455       0.890673       0.786103       0.515149       0.110155      -0.514928       -1.30093 
           2.2        21.2688       0.959372       0.881991       0.769549       0.481885      0.0563327      -0.576643        -1.3248 
           2.4        22.7945       0.956458       0.873823        0.75404       0.451291     0.00787664      -0.628002       -1.33107 
           2.6        24.2298       0.953716       0.866176       0.739573       0.423254     -0.0356012      -0.670404       -1.32354 
           2.8        25.5744       0.951148       0.859044       0.726131       0.397639      -0.074508      -0.705148       -1.30551 
             3         26.829       0.948751       0.852418       0.713683       0.374294      -0.109257       -0.73341       -1.27976 
           3.2        27.9961       0.946522       0.846277       0.702187       0.353057      -0.140254      -0.756239        -1.2486 
           3.4        29.0788       0.944453       0.840602       0.691593       0.333762      -0.167886      -0.774549       -1.21388 
           3.6        30.0808       0.942539       0.835368        0.68185       0.316253      -0.192508       -0.78912       -1.17707 
           3.8        31.0055       0.940773       0.830552        0.67291       0.300384      -0.214435      -0.800613       -1.13934 
             4        31.8562       0.939148       0.826135       0.664731       0.286034      -0.233937       -0.80958       -1.10165 
           4.2        32.6353        0.93766       0.822101       0.657277       0.273094      -0.251245      -0.816484       -1.06474 
           4.4        33.3448       0.936304       0.818436        0.65052       0.261479      -0.266552      -0.821712       -1.02924 
           4.6        33.9864       0.935079       0.815129       0.644433       0.251113      -0.280025      -0.825592      -0.995676 
           4.8        34.5617        0.93398        0.81217       0.638998        0.24193      -0.291807      -0.828402      -0.964453 
             5        35.0723       0.933004       0.809548       0.634189       0.233866      -0.302034      -0.830379      -0.935879 
           5.2        35.5207       0.932148        0.80725       0.629979       0.226852      -0.310835       -0.83172       -0.91015 
           5.4        35.9097       0.931405       0.805259       0.626336       0.220818      -0.318336       -0.83259      -0.887361 
           5.6        36.2431       0.930768       0.803554        0.62322       0.215683      -0.324667      -0.833122       -0.86749 
           5.8        36.5254       0.930229       0.802112       0.620587       0.211361      -0.329956      -0.833419       -0.85043 
             6        36.7617       0.929778       0.800907       0.618388       0.207765      -0.334332      -0.833563      -0.835993 
           6.2        36.9572       0.929404        0.79991        0.61657       0.204801       -0.33792      -0.833608      -0.823935 
           6.4        37.1175       0.929098       0.799093       0.615081        0.20238      -0.340838      -0.833597      -0.813977 
           6.6         37.248       0.928849       0.798428        0.61387       0.200414      -0.343199      -0.833556      -0.805821 
           6.8        37.3538       0.928646       0.797889       0.612889       0.198824      -0.345103      -0.833502      -0.799178 
             7        37.4389       0.928484       0.797456         0.6121       0.197548      -0.346628      -0.833444      -0.793813 
           7.2        37.5063       0.928355       0.797113       0.611475       0.196538      -0.347832       -0.83339       -0.78955 
           7.4        37.5585       0.928255       0.796847       0.610992       0.195758      -0.348761      -0.833343      -0.786244 
           7.6        37.5975       0.928181       0.796649       0.610631       0.195175      -0.349455      -0.833305      -0.783767 
           7.8        37.6254       0.928128       0.796507       0.610373       0.194758       -0.34995      -0.833276      -0.781995 
             8        37.6443       0.928091       0.796411       0.610198       0.194476      -0.350285      -0.833256      -0.780793 
           8.2        37.6564       0.928068       0.796349       0.610086       0.194296      -0.350499      -0.833242      -0.780025 
           8.4        37.6636       0.928055       0.796313        0.61002        0.19419      -0.350625      -0.833235       -0.77957 
