            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2       0.161952       0.999526        0.99858        0.99716       0.992907       0.985825       0.970298       0.940733
           0.4       0.319105       0.999067       0.997202       0.994406       0.986046       0.972136       0.941736       0.884001
           0.6       0.467283       0.998633       0.995904       0.991812       0.979596       0.959287       0.915039       0.831209
           0.8       0.603456       0.998235       0.994712        0.98943       0.973685       0.947529       0.890704       0.783288
             1       0.726125       0.997876       0.993638       0.987286       0.968374       0.936978       0.868945       0.740605
           1.2       0.835482       0.997557       0.992682       0.985376       0.963651       0.927604       0.849676       0.702939
           1.4       0.933337        0.99727       0.991826       0.983669       0.959433       0.919243       0.832537       0.669542
           1.6         1.0228       0.997009       0.991045       0.982108       0.955584        0.91162       0.816953       0.639261
           1.8        1.10776        0.99676       0.990302       0.980627       0.951935       0.904401       0.802229       0.610727
             2        1.19222       0.996513       0.989565       0.979155       0.948313       0.897241       0.787662       0.582573
           2.2         1.2797       0.996258       0.988801       0.977631       0.944569       0.889846       0.772651        0.55364
           2.4        1.37274       0.995985       0.987989       0.976012       0.940593       0.882001       0.756769       0.523114
           2.6        1.47297       0.995692       0.987114       0.974268       0.936319       0.873575       0.739757       0.490516
           2.8        1.58136       0.995375       0.986169       0.972383       0.931707       0.864492       0.721473       0.455598
             3        1.69611        0.99504       0.985169        0.97039       0.926834       0.854909       0.702243       0.419006
           3.2        1.81219         0.9947       0.984158       0.968374       0.921917       0.845249       0.682923       0.382381
           3.4        1.92312       0.994376       0.983192        0.96645       0.917228       0.836048       0.664583       0.347743
           3.6        2.02267       0.994085       0.982325       0.964724        0.91303       0.827819       0.648229       0.316966
           3.8        2.10617        0.99384       0.981598       0.963276       0.909514       0.820935       0.634584       0.291366
             4        2.17145        0.99365        0.98103       0.962146        0.90677       0.815567       0.623967       0.271496
           4.2        2.21884       0.993511       0.980618       0.961325        0.90478       0.811675       0.616283       0.257143
           4.4        2.25071       0.993418       0.980341       0.960773       0.903443       0.809062       0.611128       0.247528
           4.6         2.2705        0.99336       0.980169       0.960431       0.902613        0.80744       0.607933       0.241572
           4.8         2.2818       0.993327       0.980071       0.960235        0.90214       0.806515        0.60611       0.238178
             5         2.2877        0.99331       0.980019       0.960133       0.901892       0.806032       0.605159       0.236406
           5.2        2.29051       0.993301       0.979995       0.960084       0.901775       0.805802       0.604706       0.235563
           5.4        2.29172       0.993298       0.979985       0.960063       0.901724       0.805703       0.604511       0.235199
           5.6        2.29219       0.993296        0.97998       0.960055       0.901704       0.805664       0.604435       0.235059
           5.8        2.29235       0.993296       0.979979       0.960053       0.901698       0.805651       0.604409       0.235011
             6         2.2924       0.993296       0.979979       0.960052       0.901696       0.805647       0.604401       0.234996
           6.2        2.29241       0.993296       0.979979       0.960052       0.901695       0.805646       0.604399       0.234992
           6.4        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           6.6        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           6.8        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
             7        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           7.2        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           7.4        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           7.6        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
           7.8        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
             8        2.29242       0.993296       0.979978       0.960051       0.901695       0.805646       0.604399       0.234991
