                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2             0.945883          -0.00239857          2.22408e-05         -3.81404e-07          9.69954e-09         -3.29039e-10          1.29807e-11         -2.88459e-12 
                 0.4              1.87354          -0.00475093          8.72573e-05         -2.96389e-06          1.49298e-07         -1.00314e-08          8.44063e-10         -1.03885e-10 
                 0.6              2.76597          -0.00701397          0.000190183         -9.53712e-06          7.09241e-07         -7.03541e-08           8.7511e-09         -1.33105e-09 
                 0.8              3.60854          -0.00915056          0.000323698         -2.11772e-05          2.05461e-06         -2.65894e-07          4.31492e-08         -8.45743e-09 
                   1              4.38981           -0.0111317          0.000479036         -3.81252e-05          4.49973e-06         -7.08402e-07          1.39845e-07         -3.32222e-08 
                 1.2              5.10211            -0.012938          0.000647106         -5.98581e-05          8.21109e-06         -1.50244e-06          3.44722e-07         -9.52414e-08 
                 1.4              5.74163           -0.0145597          0.000819496          -8.5306e-05          1.31687e-05         -2.71161e-06          7.00138e-07         -2.17716e-07 
                 1.6               6.3082           -0.0159964          0.000989206         -0.000113133          1.91877e-05         -4.34086e-06          1.23141e-06         -4.20721e-07 
                 1.8              6.80463           -0.0172552           0.00115103            -0.000142          2.59789e-05         -6.33976e-06          1.93999e-06         -7.14952e-07 
                   2              7.23601           -0.0183491           0.00130159         -0.000170754          3.32199e-05         -8.62075e-06          2.80521e-06         -1.09937e-06 
                 2.2              7.60884           -0.0192945           0.00143917         -0.000198531           4.0614e-05         -1.10826e-05          3.79212e-06         -1.56271e-06 
                 2.4              7.93041             -0.02011           0.00156339         -0.000224781          4.79275e-05          -1.3631e-05          4.86122e-06         -2.08792e-06 
                 2.6              8.20828           -0.0208146           0.00167487         -0.000249247          5.50061e-05         -1.61924e-05          5.97701e-06         -2.65715e-06 
                 2.8              8.44997           -0.0214275           0.00177495         -0.000271918          6.17763e-05         -1.87208e-05          7.11378e-06         -3.25562e-06 
                   3              8.66271           -0.0219669           0.00186545         -0.000292977          6.82364e-05         -2.11991e-05          8.25834e-06         -3.87459e-06 
                 3.2              8.85327           -0.0224502           0.00194842         -0.000312741          7.44418e-05         -2.36357e-05          9.41008e-06         -4.51206e-06 
                 3.4              9.02765           -0.0228924           0.00202594         -0.000331588          8.04826e-05          -2.6057e-05          1.05784e-05         -5.17218e-06 
                 3.6              9.19091           -0.0233064           0.00209987         -0.000349904          8.64642e-05         -2.84999e-05          1.17794e-05          -5.8635e-06 
