                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              4.25734          -0.00509767          8.87337e-05         -2.71449e-06          1.19815e-07         -6.93585e-09          4.96903e-10         -5.21257e-11 
                 0.4              8.50677           -0.0101859          0.000354275         -2.16555e-05          1.90992e-06         -2.20921e-07          3.16798e-08         -5.42697e-09 
                 0.6              12.7403            -0.015255          0.000794643         -7.27469e-05            9.609e-06         -1.66462e-06          3.57512e-07         -9.17244e-08 
                 0.8              16.9499           -0.0202955           0.00140652         -0.000171306          3.01039e-05         -6.93818e-06          1.98247e-06         -6.76705e-07 
                   1              21.1273           -0.0252974           0.00218523         -0.000331744          7.26657e-05         -2.08751e-05          7.43475e-06         -3.16336e-06 
                 1.2              25.2641           -0.0302508           0.00312478         -0.000567265          0.000148585         -5.10427e-05          2.17387e-05         -1.10605e-05 
                 1.4              29.3521           -0.0351457           0.00421783         -0.000889591          0.000270715         -0.000108046          5.34616e-05         -3.16024e-05 
                 1.6              33.3828            -0.039972           0.00545579          -0.00130871          0.000452949         -0.000205603          0.000115704         -7.77875e-05 
                 1.8              37.3479           -0.0447197            0.0068288          -0.00183262          0.000709614         -0.000360366          0.000226885         -0.000170652 
                   2              41.2389           -0.0493788           0.00832581          -0.00246715           0.00105484         -0.000591493          0.000411199         -0.000341507 
                 2.2              45.0473           -0.0539389           0.00993459          -0.00321574           0.00150188         -0.000919939          0.000698591          -0.00063377 
                 2.4              48.7645           -0.0583897            0.0116418          -0.00407928           0.00206239          -0.00136751           0.00112416          -0.00110401 
                 2.6              52.3813           -0.0627205            0.0134328          -0.00505597           0.00274577          -0.00195568           0.00172691          -0.00182174 
                 2.8              55.8892           -0.0669208            0.0152921          -0.00614126           0.00355852          -0.00270429           0.00254786          -0.00286777 
                   3              59.2795           -0.0709803            0.0172037          -0.00732805           0.00450377          -0.00363026           0.00362775          -0.00433094 
                 3.2              62.5444           -0.0748896            0.0191509          -0.00860677           0.00558101          -0.00474632           0.00500427          -0.00630332 
                 3.4              65.6776           -0.0786413            0.0211177          -0.00996613           0.00678621          -0.00606039           0.00670986          -0.00887505 
                 3.6              68.6743           -0.0822294            0.0230887           -0.0113935           0.00811212          -0.00757503           0.00876948           -0.0121285 
                 3.8              71.5315           -0.0856506            0.0250499           -0.0128756           0.00954878          -0.00928755            0.0111994           -0.0161336 
                   4              74.2478            -0.088903            0.0269885           -0.0143987            0.0110839             -0.01119            0.0140059           -0.0209427 
                 4.2              76.8229           -0.0919864             0.028893           -0.0159494            0.0127034           -0.0132698            0.0171851           -0.0265878 
                 4.4              79.2571            -0.094901             0.030753           -0.0175141            0.0143916           -0.0155097            0.0207222           -0.0330761 
                 4.6              81.5509           -0.0976476            0.0325588           -0.0190792            0.0161314           -0.0178877            0.0245912           -0.0403875 
                 4.8              83.7047            -0.100227            0.0343014           -0.0206311            0.0179043            -0.020378            0.0287546           -0.0484726 
                   5              85.7186            -0.102638            0.0359717           -0.0221563            0.0196905           -0.0229502            0.0331632           -0.0572494 
