                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2               2.0511          -0.00446505          7.47093e-05         -2.28274e-06          1.02755e-07         -6.14556e-09          4.59935e-10         -1.95104e-11 
                 0.4              4.08415           -0.0088908          0.000296213         -1.80218e-05          1.61532e-06         -1.92368e-07          2.86528e-08         -5.13253e-09 
                 0.6              6.08155            -0.013239          0.000656793         -5.95026e-05          7.94163e-06          -1.4083e-06          3.12354e-07         -8.32837e-08 
                 0.8              8.02661           -0.0174732            0.0011441         -0.000136801           2.4098e-05         -5.64007e-06          1.65103e-06         -5.81064e-07 
                   1              9.90401           -0.0215601            0.0017419         -0.000256996          5.58594e-05         -1.61317e-05          5.82677e-06          -2.5303e-06 
                 1.2              11.7002           -0.0254702           0.00243101         -0.000423715          0.000108799         -3.71186e-05          1.58388e-05         -8.12544e-06 
                 1.4              13.4038           -0.0291788           0.00319048         -0.000637057          0.000187398         -7.32429e-05           3.5804e-05         -2.10421e-05 
                 1.6              15.0059           -0.0326665           0.00399876         -0.000893884          0.000294376         -0.000128806          7.04917e-05           -4.638e-05 
                 1.8              16.5004           -0.0359197            0.0048349          -0.00118843          0.000430355         -0.000207058          0.000124602         -9.01462e-05 
                   2              17.8838           -0.0389313           0.00567963          -0.00151312          0.000593871         -0.000309687          0.000201986         -0.000158384 
                 2.2              19.1557           -0.0417002           0.00651626          -0.00185948          0.000781716         -0.000436636           0.00030504         -0.000256204 
                 2.4              20.3183           -0.0442311           0.00733122            -0.002219          0.000989476         -0.000586226          0.000434401         -0.000386999 
                 2.6              21.3758           -0.0465331           0.00811419          -0.00258381           0.00121211         -0.000755505          0.000588976         -0.000552015 
                 2.8              22.3341           -0.0486192           0.00885803          -0.00294713           0.00144453         -0.000940735          0.000766255         -0.000750365 
                   3              23.1999            -0.050504           0.00955812          -0.00330333           0.00168189          -0.00113777          0.000962673         -0.000979255 
                 3.2              23.9803           -0.0522027            0.0102119            -0.003648           0.00191985          -0.00134243           0.00117404          -0.00123444 
                 3.4              24.6819           -0.0537302            0.0108183           -0.0039777           0.00215462          -0.00155068           0.00139585           -0.0015106 
                 3.6              25.3114           -0.0551005            0.0113771          -0.00428985           0.00238296          -0.00175875           0.00162352          -0.00180179 
                 3.8              25.8745           -0.0563262            0.0118889          -0.00458256           0.00260219          -0.00196328           0.00185264          -0.00210181 
                   4              26.3768           -0.0574198            0.0123551          -0.00485468           0.00281024          -0.00216141            0.0020792          -0.00240464 
                 4.2              26.8239           -0.0583931            0.0127774          -0.00510575           0.00300566           -0.0023509           0.00229982          -0.00270487 
