                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              2.62785          -0.00501975          9.20449e-05         -3.05003e-06          1.48067e-07         -9.51818e-09          7.63753e-10         -8.58324e-11 
                 0.4              5.24269           -0.0100146           0.00036636         -2.42195e-05          2.34571e-06         -3.00831e-07          4.81452e-08         -9.25334e-09 
                 0.6              7.83166           -0.0149601          0.000817535         -8.07354e-05          1.16808e-05         -2.23779e-06          5.35006e-07         -1.53549e-07 
                 0.8              10.3822           -0.0198322           0.00143674         -0.000188093          3.60757e-05         -9.16218e-06          2.90385e-06         -1.10474e-06 
                   1              12.8822           -0.0246078           0.00221198         -0.000359315          8.55105e-05         -2.69467e-05           1.0597e-05         -5.00224e-06 
                 1.2              15.3203           -0.0292649           0.00312847          -0.00060437           0.00017105         -6.41038e-05          2.99803e-05         -1.68305e-05 
                 1.4              17.6857           -0.0337833           0.00416909         -0.000929752          0.000303768         -0.000131419          7.09521e-05         -4.59812e-05 
                 1.6              19.9687           -0.0381443           0.00531492          -0.00133829          0.000493688         -0.000241155          0.000147005         -0.000107566 
                 1.8              22.1606           -0.0423314           0.00654577          -0.00182914          0.000748825         -0.000405935          0.000274614         -0.000222997 
                   2               24.254           -0.0463302           0.00784089          -0.00239802           0.00107446          -0.00063748          0.000471993         -0.000419482 
                 2.2              26.2429           -0.0501295           0.00917958          -0.00303766           0.00147267          -0.00094539          0.000757372         -0.000728308 
                 2.4              28.1231           -0.0537211            0.0105421          -0.00373848           0.00194228           -0.0013362           0.00114715          -0.00118216 
                 2.6              29.8922           -0.0571004            0.0119101          -0.00448928           0.00247906          -0.00181276           0.00165418           -0.0018119 
                 2.8              31.5497           -0.0602666            0.0132675          -0.00527826           0.00307638          -0.00237427           0.00228671          -0.00264363 
                   3              33.0972           -0.0632227             0.014601          -0.00609365           0.00372583          -0.00301654            0.0030478          -0.00369634 
                 3.2              34.5378           -0.0659744            0.0158996          -0.00692445           0.00441807          -0.00373269           0.00393551          -0.00498069 
                 3.4              35.8754           -0.0685296            0.0171551          -0.00776057           0.00514333          -0.00451373           0.00494332          -0.00649844 
                 3.6               37.115           -0.0708974             0.018361          -0.00859309           0.00589185          -0.00534928            0.0060608          -0.00824276 
                 3.8              38.2608           -0.0730862            0.0195122          -0.00941381           0.00665384          -0.00622761            0.0072738           -0.0101979 
                   4               39.317           -0.0751036            0.0206043           -0.0102151           0.00741951          -0.00713592           0.00856477           -0.0123393 
                 4.2              40.2867           -0.0769561            0.0216333           -0.0109898           0.00817909          -0.00806049            0.0099131           -0.0146341 
                 4.4              41.1727           -0.0786485            0.0225953           -0.0117309           0.00892265          -0.00898665            0.0112952           -0.0170411 
                 4.6               41.977           -0.0801849            0.0234867           -0.0124319           0.00964055          -0.00989937            0.0126854           -0.0195124 
                 4.8              42.7016            -0.081569            0.0243045           -0.0130868            0.0103236           -0.0107837            0.0140572           -0.0219957 
                   5              43.3485           -0.0828047            0.0250464           -0.0136906            0.0109635           -0.0116257            0.0153843           -0.0244369 
                 5.2              43.9204           -0.0838972            0.0257117           -0.0142397            0.0115537           -0.0124132            0.0166431           -0.0267852 
                 5.4              44.4208            -0.084853            0.0263009            -0.014732            0.0120893           -0.0131366            0.0178137           -0.0289958 
                 5.6               44.854           -0.0856805            0.0268164           -0.0151672            0.0125678           -0.0137897            0.0188817           -0.0310339 
                 5.8               45.225           -0.0863892            0.0272618           -0.0155467            0.0129888           -0.0143695            0.0198383           -0.0328759 
                   6              45.5395           -0.0869901            0.0276424           -0.0158733             0.013354           -0.0148762            0.0206808           -0.0345104 
                 6.2              45.8038           -0.0874949            0.0279641           -0.0161513            0.0136666           -0.0153129            0.0214114           -0.0359369 
                 6.4              46.0241           -0.0879157            0.0282338           -0.0163854            0.0139315           -0.0156847            0.0220367           -0.0371643 
                 6.6              46.2068           -0.0882647            0.0284584           -0.0165814             0.014154           -0.0159985            0.0225669           -0.0382096 
                 6.8               46.358           -0.0885534            0.0286449           -0.0167446            0.0143401           -0.0162619            0.0230135           -0.0390932 
                   7              46.4821           -0.0887906            0.0287986           -0.0168795            0.0144944           -0.0164809            0.0233858            -0.039832 
                 7.2              46.5825           -0.0889824            0.0289231           -0.0169892              0.01462           -0.0166597            0.0236905           -0.0404382 
                 7.4               46.662           -0.0891342            0.0290218           -0.0170762              0.01472           -0.0168022             0.023934           -0.0409235 
                 7.6              46.7228           -0.0892503            0.0290975           -0.0171431            0.0147969           -0.0169119            0.0241217           -0.0412981 
                 7.8              46.7673           -0.0893354             0.029153           -0.0171921            0.0148534           -0.0169927              0.02426           -0.0415744 
                   8              46.7983           -0.0893946            0.0291917           -0.0172264            0.0148928           -0.0170491            0.0243567           -0.0417679 
                 8.2              46.8188           -0.0894337            0.0292172           -0.0172489            0.0149189           -0.0170864            0.0244206           -0.0418957 
                 8.4              46.8314           -0.0894577            0.0292329           -0.0172629            0.0149349           -0.0171094            0.0244601           -0.0419748 
                 8.6              46.8386           -0.0894715            0.0292419           -0.0172709            0.0149442           -0.0171226            0.0244827           -0.0420201 
                 8.8              46.8425            -0.089479            0.0292468           -0.0172752            0.0149491           -0.0171297            0.0244949           -0.0420446 
                   9              46.8444           -0.0894826            0.0292492           -0.0172773            0.0149516           -0.0171332            0.0245009           -0.0420565 
                 9.2              46.8452           -0.0894842            0.0292502           -0.0172782            0.0149526           -0.0171347            0.0245034           -0.0420616 
                 9.4              46.8455           -0.0894849            0.0292506           -0.0172786             0.014953           -0.0171353            0.0245046           -0.0420639 
                 9.6              46.8457           -0.0894851            0.0292508           -0.0172787            0.0149532           -0.0171356             0.024505           -0.0420647 
                 9.8              46.8457           -0.0894852            0.0292508           -0.0172788            0.0149532           -0.0171356            0.0245051           -0.0420649 
                  10              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171356            0.0245051           -0.0420649 
                10.2              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                10.4              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                10.6              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                10.8              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                  11              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                11.2              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                11.4              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                11.6              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                11.8              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                  12              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                12.2              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                12.4              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                12.6              46.8457           -0.0894852            0.0292509           -0.0172788            0.0149533           -0.0171357            0.0245051            -0.042065 
                12.8              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  13              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.2              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.4              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.6              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                13.8              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  14              46.8457                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
