            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2      0.0685564        -0.0002         -1e-06     3.2406e-06    -1.2406e-05    5.76528e-05   -0.000314079     0.00195464
           0.4       0.135158      -0.000395              0    -6.3455e-08    4.63455e-06   -4.47192e-05    0.000390476     -0.0035258
           0.6         0.1981      -0.000579              0    2.01145e-06   -8.11446e-06    4.20064e-05   -0.000268116     0.00204317
           0.8       0.256142      -0.000749          1e-06    3.63759e-07   -1.63759e-06    1.06874e-05    -8.7488e-05    0.000823465
             1       0.308673      -0.000903          3e-06   -6.11387e-06    3.11387e-05   -0.000183336     0.00124049    -0.00953793
           1.2       0.355781       -0.00104          1e-06    4.48544e-06   -2.28544e-05    0.000143554    -0.00105893     0.00891126
           1.4       0.398235      -0.001165          4e-06   -4.86946e-06    2.26946e-05   -0.000126441    0.000824314    -0.00617494
           1.6       0.437348      -0.001279          3e-06    1.80226e-06   -1.10226e-05    7.49498e-05   -0.000573577     0.00490987
           1.8       0.474754      -0.001388          3e-06    2.54677e-06   -9.46772e-06    4.38833e-05   -0.000247439     0.00165732
             2       0.512132      -0.001498          5e-06   -1.55845e-06    7.58446e-06   -4.66706e-05    0.000335714     -0.0027408
           2.2       0.550937      -0.001611          5e-06    5.47761e-07   -2.47761e-06    1.67942e-05    -0.00014253     0.00137178
           2.4       0.592226      -0.001732          6e-06    9.66036e-07   -7.66036e-06    5.83163e-05   -0.000476304     0.00424806
           2.6       0.636697      -0.001862          7e-06   -2.36838e-07    2.36838e-06   -2.10993e-05    0.000186406    -0.00173874
           2.8       0.684779      -0.002003          9e-06   -2.98203e-06    1.28203e-05   -6.93539e-05    0.000447303    -0.00335036
             3       0.735707      -0.002152        1.1e-05   -7.28009e-06    3.78009e-05   -0.000231413     0.00163258     -0.0130816
           3.2       0.787305      -0.002302          9e-06    7.72616e-06   -4.12616e-05    0.000253881    -0.00179204      0.0143189
           3.4       0.836726      -0.002447        1.2e-05    8.36315e-07   -6.36315e-06    4.64992e-05   -0.000371352     0.00325876
           3.6       0.881181      -0.002577        1.3e-05    2.73992e-06   -1.73992e-05    0.000116526   -0.000872128     0.00728908
           3.8       0.918553      -0.002686        1.4e-05    2.17208e-06   -1.17208e-05    7.31502e-05   -0.000530472     0.00436249
             4       0.947792      -0.002772        1.6e-05   -2.02915e-06    1.02915e-05   -6.52016e-05    0.000472625    -0.00386573
           4.2       0.968996      -0.002834        1.7e-05   -3.95236e-06    2.25236e-05   -0.000151467     0.00115183    -0.00981105
           4.4       0.983188      -0.002875        1.6e-05    2.45288e-06   -1.25287e-05    7.58895e-05   -0.000546161      0.0045204
           4.6       0.991916      -0.002901        1.7e-05    1.34105e-06   -1.14105e-05    8.27503e-05    -0.00063965     0.00540581
           4.8       0.996822      -0.002915        1.7e-05   -1.65315e-07    2.65315e-06   -2.58721e-05    0.000227732    -0.00207615
             5       0.999328      -0.002923        1.9e-05   -7.89719e-06    4.19719e-05   -0.000265767     0.00193305     -0.0159115
           5.2        1.00048      -0.002926        1.8e-05   -3.78622e-06    2.08622e-05   -0.000133788    0.000967023    -0.00784042
           5.4        1.00096      -0.002927        1.6e-05     6.2547e-06    -3.4547e-05    0.000213896    -0.00150939      0.0120129
           5.6        1.00114      -0.002928        1.8e-05   -2.71901e-06    1.21901e-05   -6.87383e-05    0.000453545     -0.0034436
           5.8        1.00119      -0.002928        1.7e-05    2.28392e-06   -1.48392e-05    9.75223e-05   -0.000713853     0.00583605
             6        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000116128    0.000455767
           6.2        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128     0.00048277
           6.4        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           6.6        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           6.8        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
             7        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           7.2        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           7.4        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           7.6        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
           7.8        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
             8        1.00121      -0.002928        1.7e-05    1.28685e-06   -5.86848e-06    2.57771e-05   -0.000117128    0.000481773
