            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2       0.161952      -0.000474          2e-06   -6.65384e-06    3.35384e-05   -0.000198857     0.00136747     -0.0107372
           0.4       0.319105      -0.000933          1e-06     3.2192e-06    -1.6192e-05    9.56293e-05   -0.000654053     0.00510308
           0.6       0.467283      -0.001367          5e-06     -4.807e-06      2.407e-05   -0.000145941      0.0010324    -0.00833207
           0.8       0.603456      -0.001765          7e-06   -3.34395e-06    1.84395e-05   -0.000117624    0.000850966    -0.00691386
             1       0.726125      -0.002124          1e-05   -2.99546e-06    1.39546e-05   -8.27557e-05    0.000579633    -0.00465383
           1.2       0.835482      -0.002443        1.1e-05    3.72643e-06   -1.62643e-05    8.26101e-05    -0.00048806     0.00328696
           1.4       0.933337       -0.00273        1.6e-05   -2.41637e-06     7.1637e-06   -2.69248e-05    0.000119233    -0.00062001
           1.6         1.0228      -0.002991        1.8e-05   -4.85028e-07    3.85028e-06   -3.18828e-05    0.000268259    -0.00243023
           1.8        1.10776       -0.00324        2.2e-05   -2.23148e-06     7.3148e-06    -3.3935e-05    0.000196582    -0.00138612
             2        1.19222      -0.003487        2.6e-05   -6.31348e-06    3.11349e-05   -0.000187326     0.00130168     -0.0102962
           2.2         1.2797      -0.003742        2.7e-05     4.7048e-06    -2.3048e-05    0.000128104   -0.000840148     0.00636626
           2.4        1.37274      -0.004015        3.4e-05   -5.68818e-06    2.48818e-05   -0.000138729    0.000900727    -0.00669395
           2.6        1.47297      -0.004308        3.8e-05   -1.14654e-06     4.6544e-07    7.18266e-06   -9.17071e-05    0.000929627
           2.8        1.58136      -0.004625        4.4e-05   -3.27138e-06    1.47137e-05   -9.93424e-05    0.000775246    -0.00680479
             3        1.69611       -0.00496        4.9e-05     2.8656e-06    -1.9656e-05    0.000127227   -0.000948895     0.00800471
           3.2        1.81219        -0.0053        5.8e-05    -6.3822e-06     3.0822e-05   -0.000198307     0.00144813     -0.0118787
           3.4        1.92312      -0.005624        6.4e-05    -1.3148e-06      1.148e-06   -1.69195e-06    -3.4009e-05     0.00064468
           3.6        2.02267      -0.005915          7e-05    2.65754e-06   -2.15754e-05    0.000138342    -0.00101075     0.00831213
           3.8        2.10617       -0.00616        7.8e-05   -5.78016e-06    2.18016e-05   -0.000133273    0.000955569    -0.00782171
             4        2.17145       -0.00635          8e-05     6.3729e-06    -4.3729e-05    0.000279846    -0.00204822      0.0169283
           4.2        2.21884      -0.006489        8.5e-05    -3.7925e-08   -9.62075e-06    6.38173e-05   -0.000474985     0.00395786
           4.4        2.25071      -0.006582        8.7e-05    1.19211e-06   -1.39211e-05    8.00836e-05   -0.000543036     0.00426295
           4.6         2.2705       -0.00664        8.9e-05    -2.6184e-07    -9.3816e-06     6.6342e-05   -0.000524114     0.00459825
           4.8         2.2818      -0.006673          9e-05   -1.64816e-06    1.48155e-06   -1.89678e-05     0.00018676    -0.00181634
             5         2.2877       -0.00669        8.9e-05    5.71023e-06   -4.01023e-05    0.000250015    -0.00179458       0.014619
           5.2        2.29051      -0.006699        9.2e-05   -6.60272e-06    2.60272e-05   -0.000168298     0.00125242     -0.0105116
           5.4        2.29172      -0.006702        9.1e-05   -3.34223e-06    1.24223e-05   -9.39107e-05    0.000748788    -0.00647336
           5.6        2.29219      -0.006704        9.2e-05   -5.20872e-06    1.60872e-05   -9.59127e-05     0.00068001    -0.00553987
           5.8        2.29235      -0.006704        9.1e-05   -1.19531e-06   -5.04688e-06    3.73142e-05   -0.000288675     0.00242727
             6         2.2924      -0.006704        9.1e-05   -2.18861e-06    2.88608e-06   -2.10892e-05    0.000166834    -0.00144661
           6.2        2.29241      -0.006704        9.1e-05   -2.18861e-06    1.88608e-06   -7.08246e-06    1.06933e-05    0.000245574
           6.4        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           6.6        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           6.8        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
             7        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           7.2        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           7.4        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           7.6        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
           7.8        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
             8        2.29242      -0.006704          9e-05     2.8181e-06    -2.3181e-05    0.000133487   -0.000883234     0.00665296
